Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,biological_replicate,ecotype,sample_type
DRR395056,53019171,1176814930,22,577,DRX380835,"Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248892,SAMD00505466,simple,3702,Arabidopsis thaliana,SAMD00505466,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation rep1",BioSample_0001,3-day-old,1,Col-0,Whole plant
DRR395057,68001645,1504315316,22,741,DRX380836,"Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248893,SAMD00505467,simple,3702,Arabidopsis thaliana,SAMD00505467,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation rep2",BioSample_0002,3-day-old,2,Col-0,Whole plant
DRR395058,72133821,1590349341,22,784,DRX380837,"Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248894,SAMD00505469,simple,3702,Arabidopsis thaliana,SAMD00505469,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition rep1",BioSample_0004,3-day-old,1,Col-0,Whole plant
DRR395059,51754888,1164375558,22,571,DRX380838,"Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248895,SAMD00505470,simple,3702,Arabidopsis thaliana,SAMD00505470,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition rep2",BioSample_0005,3-day-old,2,Col-0,Whole plant
DRR395060,51976119,1251299756,24,603,DRX380839,"Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248896,SAMD00505472,simple,3702,Arabidopsis thaliana,SAMD00505472,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation rep1",BioSample_0007,3-day-old,1,Col-0,Whole plant
DRR395061,28036792,679369241,24,327,DRX380840,"Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248897,SAMD00505473,simple,3702,Arabidopsis thaliana,SAMD00505473,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation rep2",BioSample_0008,3-day-old,2,Col-0,Whole plant
DRR395062,57908762,1310776882,22,636,DRX380841,"Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248898,SAMD00505475,simple,3702,Arabidopsis thaliana,SAMD00505475,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition rep1",BioSample_0010,3-day-old,1,Col-0,Whole plant
DRR395063,31590654,734120903,23,355,DRX380842,"Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248899,SAMD00505476,simple,3702,Arabidopsis thaliana,SAMD00505476,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition rep2",BioSample_0011,3-day-old,2,Col-0,Whole plant
DRR395064,31116808,686215220,22,338,DRX380843,"Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248900,SAMD00505478,simple,3702,Arabidopsis thaliana,SAMD00505478,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation rep1",BioSample_0013,3-day-old,1,Col-0,Whole plant
DRR395065,43879369,970093574,22,478,DRX380844,"Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248901,SAMD00505479,simple,3702,Arabidopsis thaliana,SAMD00505479,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation rep2",BioSample_0014,3-day-old,2,Col-0,Whole plant
