Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,biological_replicate,ecotype
DRR222508,75917866,1618572711,21,799,DRX212793,RP_Col-0_rep1_1,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183680,SAMD00220200,simple,3702,Arabidopsis thaliana,SAMD00220200,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 1,Col-0_rep1,3-day-old,Wild-type biological replicate 1,Col-0
DRR222509,77493122,1655903116,21,781,DRX212794,RP_Col-0_rep1_2,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183680,SAMD00220200,simple,3702,Arabidopsis thaliana,SAMD00220200,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 1,Col-0_rep1,3-day-old,Wild-type biological replicate 1,Col-0
DRR222510,76219365,1628382008,21,764,DRX212795,RP_Col-0_rep1_3,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183680,SAMD00220200,simple,3702,Arabidopsis thaliana,SAMD00220200,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 1,Col-0_rep1,3-day-old,Wild-type biological replicate 1,Col-0
DRR222511,66252028,1417900896,21,689,DRX212796,RP_Col-0_rep1_4,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183680,SAMD00220200,simple,3702,Arabidopsis thaliana,SAMD00220200,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 1,Col-0_rep1,3-day-old,Wild-type biological replicate 1,Col-0
DRR222512,98095683,2093444989,21,1032,DRX212797,RP_Col-0_rep2_1,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183681,SAMD00220201,simple,3702,Arabidopsis thaliana,SAMD00220201,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 2,Col-0_rep2,3-day-old,Wild-type biological replicate 2,Col-0
DRR222513,100127564,2141766101,21,1009,DRX212798,RP_Col-0_rep2_2,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183681,SAMD00220201,simple,3702,Arabidopsis thaliana,SAMD00220201,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 2,Col-0_rep2,3-day-old,Wild-type biological replicate 2,Col-0
DRR222514,98604679,2108891391,21,988,DRX212799,RP_Col-0_rep2_3,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183681,SAMD00220201,simple,3702,Arabidopsis thaliana,SAMD00220201,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 2,Col-0_rep2,3-day-old,Wild-type biological replicate 2,Col-0
DRR222515,85770411,1837623230,21,892,DRX212800,RP_Col-0_rep2_4,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183681,SAMD00220201,simple,3702,Arabidopsis thaliana,SAMD00220201,UT_IQB,DRA010034,05,2021,Makar,"",Col-0_replicate 2,Col-0_rep2,3-day-old,Wild-type biological replicate 2,Col-0
DRR222516,66657919,1441061696,21,710,DRX212801,RP_sgs3_rep1_1,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183682,SAMD00220202,simple,3702,Arabidopsis thaliana,SAMD00220202,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 1,sgs3-11_rep1,3-day-old,sgs3-11_biological replicate 1,Col-0
DRR222517,68122057,1476472209,21,702,DRX212802,RP_sgs3_rep1_2,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP007250,PRJDB9689,1,"",DRS183682,SAMD00220202,simple,3702,Arabidopsis thaliana,SAMD00220202,UT_IQB,DRA010034,05,2021,Makar,"",sgs3-11_replicate 1,sgs3-11_rep1,3-day-old,sgs3-11_biological replicate 1,Col-0
