Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,disease,organism part,sample name,Experimental Factor: sampling time point,Experimental Factor: infect
ERR2189764,19885917,546239301,27,254,ERX2245879,EV-A71_5hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992216,SAMEA104367238,simple,9606,Homo sapiens,SAMEA104367238,ERA1125282,10,2018,Makar,"",EV-A71_5hpi.rep1,2018-10-20,2017-11-02,SAMEA104367238,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV-A71_5hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV-A71_5hpi.rep1,5,Enterovirus A71
ERR2189765,19153973,502096945,26,239,ERX2245880,EV-A71_5hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992217,SAMEA104367239,simple,9606,Homo sapiens,SAMEA104367239,ERA1125282,10,2018,Makar,"",EV-A71_5hpi.rep2,2018-10-20,2017-11-02,SAMEA104367239,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV-A71_5hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV-A71_5hpi.rep2,5,Enterovirus A71
ERR2189766,12163560,320992043,26,154,ERX2245881,EV-A71_7.5hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992218,SAMEA104367240,simple,9606,Homo sapiens,SAMEA104367240,ERA1125282,10,2018,Makar,"",EV-A71_7.5hpi.rep1,2018-10-20,2017-11-02,SAMEA104367240,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV-A71_7.5hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV-A71_7.5hpi.rep1,7.5,Enterovirus A71
ERR2189767,13625129,346665701,25,169,ERX2245882,EV-A71_7.5hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992219,SAMEA104367241,simple,9606,Homo sapiens,SAMEA104367241,ERA1125282,10,2018,Makar,"",EV-A71_7.5hpi.rep2,2018-10-20,2017-11-02,SAMEA104367241,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV-A71_7.5hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV-A71_7.5hpi.rep2,7.5,Enterovirus A71
ERR2189768,9305229,259957881,27,118,ERX2245883,EV_4hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992220,SAMEA104367242,simple,9606,Homo sapiens,SAMEA104367242,ERA1125282,10,2018,Makar,"",EV_4hpi.rep1,2018-10-20,2017-11-02,SAMEA104367242,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV_4hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV_4hpi.rep1,4,Echovirus 7
ERR2189769,9838707,283910813,28,127,ERX2245884,EV_4hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992221,SAMEA104367243,simple,9606,Homo sapiens,SAMEA104367243,ERA1125282,10,2018,Makar,"",EV_4hpi.rep2,2018-10-20,2017-11-02,SAMEA104367243,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV_4hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV_4hpi.rep2,4,Echovirus 7
ERR2189770,9936098,266753880,26,123,ERX2245885,EV_6hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992222,SAMEA104367244,simple,9606,Homo sapiens,SAMEA104367244,ERA1125282,10,2018,Makar,"",EV_6hpi.rep1,2018-10-20,2017-11-02,SAMEA104367244,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV_6hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV_6hpi.rep1,6,Echovirus 7
ERR2189771,10614205,320971124,30,142,ERX2245886,EV_6hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992223,SAMEA104367245,simple,9606,Homo sapiens,SAMEA104367245,ERA1125282,10,2018,Makar,"",EV_6hpi.rep2,2018-10-20,2017-11-02,SAMEA104367245,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:EV_6hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:EV_6hpi.rep2,6,Echovirus 7
ERR2189772,20896003,610109087,29,269,ERX2245887,PV1_4hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992224,SAMEA104367246,simple,9606,Homo sapiens,SAMEA104367246,ERA1125282,10,2018,Makar,"",PV1_4hpi.rep1,2018-10-20,2017-11-02,SAMEA104367246,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:PV1_4hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:PV1_4hpi.rep1,4,Human poliovirus 1
ERR2189773,19751216,585324739,29,258,ERX2245888,PV1_4hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992225,SAMEA104367247,simple,9606,Homo sapiens,SAMEA104367247,ERA1125282,10,2018,Makar,"",PV1_4hpi.rep2,2018-10-20,2017-11-02,SAMEA104367247,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:PV1_4hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:PV1_4hpi.rep2,4,Human poliovirus 1
ERR2189774,8398664,205679312,24,97,ERX2245889,PV1_6hpi.rep1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992226,SAMEA104367248,simple,9606,Homo sapiens,SAMEA104367248,ERA1125282,10,2018,Makar,"",PV1_6hpi.rep1,2018-10-20,2017-11-02,SAMEA104367248,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:PV1_6hpi.rep1,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:PV1_6hpi.rep1,6,Human poliovirus 1
ERR2189775,11743261,325336124,27,151,ERX2245890,PV1_6hpi.rep2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP105038,PRJEB23298,1,"",ERS1992227,SAMEA104367249,simple,9606,Homo sapiens,SAMEA104367249,ERA1125282,10,2018,Makar,"",PV1_6hpi.rep2,2018-10-20,2017-11-02,SAMEA104367249,University of Cambridge,University of Cambridge,2018-10-20T17:03:07Z,2017-11-02T11:07:01Z,public,E-MTAB-6180:PV1_6hpi.rep2,ArrayExpress,RD cell,mixed spindle cell and large multinucleated cells,human,rhabdomyosarcoma,muscle tissue,E-MTAB-6180:PV1_6hpi.rep2,6,Human poliovirus 1
