Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,cell line,cell type,common name,sample name,experimental factor: infection
ERR2603004,35927479,2694560925,75,1028,ERX2619660,"Cytoplasmic RNA-Seq of LoVo cells at time 0h (mock infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518595,SAMEA4698423,simple,9606,Homo sapiens,SAMEA4698423,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 1",2020-05-28,2018-05-30,SAMEA4698423,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r1,
ERR2603005,37777609,2833320675,75,1078,ERX2619661,"Cytoplasmic RNA-Seq of LoVo cells at time 0h (mock infection), replicate 2",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518596,SAMEA4698424,simple,9606,Homo sapiens,SAMEA4698424,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 2",2020-05-28,2018-05-30,SAMEA4698424,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r2,
ERR2603006,40164753,3012356475,75,1148,ERX2619662,"Cytoplasmic RNA-Seq of LoVo cells at time 0h (mock infection), replicate 3",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518597,SAMEA4698425,simple,9606,Homo sapiens,SAMEA4698425,ERA1502185,05,2020,Makar,"","Non-infected LoVo cells, Replicate 3",2020-05-28,2018-05-30,SAMEA4698425,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,0h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,0h-r3,
ERR2603007,39600070,2970005250,75,1133,ERX2619663,"Cytoplasmic RNA-Seq of LoVo cells at time 2h post-infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518598,SAMEA4698426,simple,9606,Homo sapiens,SAMEA4698426,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698426,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r1,"Listeria monocytogenes LL195, 2 h"
ERR2603008,37594263,2819569725,75,1078,ERX2619664,"Cytoplasmic RNA-Seq of LoVo cells at time 2h post-infection), replicate 2",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518599,SAMEA4698427,simple,9606,Homo sapiens,SAMEA4698427,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698427,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r2,"Listeria monocytogenes LL195, 2 h"
ERR2603009,37531987,2814899025,75,1071,ERX2619665,"Cytoplasmic RNA-Seq of LoVo cells at time 2h post-infection), replicate 3",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518600,SAMEA4698428,simple,9606,Homo sapiens,SAMEA4698428,ERA1502185,05,2020,Makar,"",LoVo cells 2h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698428,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,2h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,2h-r3,"Listeria monocytogenes LL195, 2 h"
ERR2603010,38937006,2920275450,75,1145,ERX2619666,"Cytoplasmic RNA-Seq of LoVo cells at time 5h post-infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518601,SAMEA4698429,simple,9606,Homo sapiens,SAMEA4698429,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698429,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r1,"Listeria monocytogenes LL195, 5 h"
ERR2603011,32659398,2449454850,75,932,ERX2619667,"Cytoplasmic RNA-Seq of LoVo cells at time 5h post-infection), replicate 2",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518602,SAMEA4698430,simple,9606,Homo sapiens,SAMEA4698430,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 2,2020-05-28,2018-05-30,SAMEA4698430,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r2,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r2,"Listeria monocytogenes LL195, 5 h"
ERR2603012,41386123,3103959225,75,1179,ERX2619668,"Cytoplasmic RNA-Seq of LoVo cells at time 5h post-infection), replicate 3",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518603,SAMEA4698431,simple,9606,Homo sapiens,SAMEA4698431,ERA1502185,05,2020,Makar,"",LoVo cells 5h after infection by Listeria monocytogenes strain LL195 - Replicate 3,2020-05-28,2018-05-30,SAMEA4698431,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,5h-r3,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,5h-r3,"Listeria monocytogenes LL195, 5 h"
ERR2603013,31214289,2341071675,75,895,ERX2619669,"Cytoplasmic RNA-Seq of LoVo cells at time 10h post-infection), replicate 1",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108595,PRJEB26593,1,"",ERS2518604,SAMEA4698432,simple,9606,Homo sapiens,SAMEA4698432,ERA1502185,05,2020,Makar,"",LoVo cells 10h after infection by Listeria monocytogenes strain LL195 - Replicate 1,2020-05-28,2018-05-30,SAMEA4698432,IBENS,"Institut de Biologie de Ecole normale superieure (IBENS), France",2020-05-28T17:07:15Z,2018-05-30T09:37:49Z,public,10h-r1,LoVo ATCC CCL-229,Epithelial (colon adenocarcinoma),human,10h-r1,"Listeria monocytogenes LL195, 10 h"
