Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,organism part,performer,replicate,replicate type,sample name,sex,used library?,developmental stage,Experimental Factor: organism,Experimental Factor: organism part,Experimental Factor: protocol
ERR2812328,89507736,9040281336,101,2913,ERX2819159,chicken_brain_ribo_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758350,SAMEA4939567,simple,9031,Gallus gallus,SAMEA4939567,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_ribo_1,2019-03-31,2018-09-26,SAMEA4939567,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_ribo_1,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_brain_ribo_1,male,yes,,Gallus gallus,brain,Ribo-seq
ERR2812329,117636574,6340675874,53,4039,ERX2819160,chicken_brain_ribo_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758351,SAMEA4939568,simple,9031,Gallus gallus,SAMEA4939568,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_ribo_2,2019-03-31,2018-09-26,SAMEA4939568,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_ribo_2,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_brain_ribo_2,male,yes,,Gallus gallus,brain,Ribo-seq
ERR2812330,144612421,8192192721,56,6595,ERX2819161,chicken_brain_ribo_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758352,SAMEA4939569,simple,9031,Gallus gallus,SAMEA4939569,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_ribo_3,2019-03-31,2018-09-26,SAMEA4939569,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_ribo_3,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_brain_ribo_3,male,yes,,Gallus gallus,brain,Ribo-seq
ERR2812331,78156882,3986000982,51,1544,ERX2819162,chicken_brain_rna_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758353,SAMEA4939570,simple,9031,Gallus gallus,SAMEA4939570,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_rna_1,2019-03-31,2018-09-26,SAMEA4939570,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_rna_1,ArrayExpress,chicken,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_brain_rna_1,male,yes,,Gallus gallus,brain,RNA-seq
ERR2812332,88232835,8911516335,101,4877,ERX2819163,chicken_brain_rna_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758354,SAMEA4939571,simple,9031,Gallus gallus,SAMEA4939571,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_rna_2,2019-03-31,2018-09-26,SAMEA4939571,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_rna_2,ArrayExpress,chicken,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_brain_rna_2,male,yes,,Gallus gallus,brain,RNA-seq
ERR2812333,80838387,4649682587,57,3624,ERX2819164,chicken_brain_rna_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758355,SAMEA4939572,simple,9031,Gallus gallus,SAMEA4939572,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_brain_rna_3,2019-03-31,2018-09-26,SAMEA4939572,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_brain_rna_3,ArrayExpress,chicken,rRNA-depleted total RNA,brain,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_brain_rna_3,male,yes,,Gallus gallus,brain,RNA-seq
ERR2812334,50822663,2591955813,51,915,ERX2819165,chicken_liver_ribo_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758356,SAMEA4939573,simple,9031,Gallus gallus,SAMEA4939573,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_ribo_1,2019-03-31,2018-09-26,SAMEA4939573,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:58Z,public,E-MTAB-7247:chicken_liver_ribo_1,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_liver_ribo_1,male,yes,,Gallus gallus,liver,Ribo-seq
ERR2812335,89731578,5183421228,57,3131,ERX2819166,chicken_liver_ribo_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758357,SAMEA4939574,simple,9031,Gallus gallus,SAMEA4939574,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_ribo_2,2019-03-31,2018-09-26,SAMEA4939574,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_liver_ribo_2,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_liver_ribo_2,male,yes,,Gallus gallus,liver,Ribo-seq
ERR2812336,225663389,12521187589,55,9985,ERX2819167,chicken_liver_ribo_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758358,SAMEA4939575,simple,9031,Gallus gallus,SAMEA4939575,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_ribo_3,2019-03-31,2018-09-26,SAMEA4939575,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_liver_ribo_3,ArrayExpress,chicken,ribosome-protected fragments 26-34nt,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_liver_ribo_3,male,yes,,Gallus gallus,liver,Ribo-seq
ERR2812337,102696548,5237523948,51,1956,ERX2819168,chicken_liver_rna_1_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758359,SAMEA4939576,simple,9031,Gallus gallus,SAMEA4939576,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_rna_1,2019-03-31,2018-09-26,SAMEA4939576,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_liver_rna_1,ArrayExpress,chicken,rRNA-depleted total RNA,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",1,biological replicate,E-MTAB-7247:chicken_liver_rna_1,male,yes,,Gallus gallus,liver,RNA-seq
ERR2812338,179581848,9688059898,53,8094,ERX2819169,chicken_liver_rna_2_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758360,SAMEA4939577,simple,9031,Gallus gallus,SAMEA4939577,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_rna_2,2019-03-31,2018-09-26,SAMEA4939577,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_liver_rna_2,ArrayExpress,chicken,rRNA-depleted total RNA,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",2,biological replicate,E-MTAB-7247:chicken_liver_rna_2,male,yes,,Gallus gallus,liver,RNA-seq
ERR2812339,207336052,11023646102,53,9340,ERX2819170,chicken_liver_rna_3_s,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111066,PRJEB28810,1,"",ERS2758361,SAMEA4939578,simple,9031,Gallus gallus,SAMEA4939578,"Center for Molecular Biology (ZMBH), Heidelberg University",ERA1612101,10,2019,Makar,"",chicken_liver_rna_3,2019-03-31,2018-09-26,SAMEA4939578,"Center for Molecular Biology (ZMBH), Heidelberg University","Center for Molecular Biology (ZMBH), Heidelberg University",2019-03-31T17:01:56Z,2018-09-26T15:25:59Z,public,E-MTAB-7247:chicken_liver_rna_3,ArrayExpress,chicken,rRNA-depleted total RNA,liver,"Lausanne Genomic Technologies Facility, Lausanne, Switzerland",3,biological replicate,E-MTAB-7247:chicken_liver_rna_3,male,yes,,Gallus gallus,liver,RNA-seq
