Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name,sex,strain,tissue type
ERR3367707,55508681,10950352009,98,7078,ERX3391861,rn_lv_001_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508238,SAMEA5704583,simple,10116,Rattus norvegicus,SAMEA5704583,ERA2000406,06,2019,Makar,"",rn_lv_001_B,2019-06-13,2019-06-11,SAMEA5704583,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_001_B,Norway rat,rn_lv_001_B,male,BN/Lx,left ventricle
ERR3367708,55840915,11048878909,98,7140,ERX3391862,rn_lv_002_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508239,SAMEA5704584,simple,10116,Rattus norvegicus,SAMEA5704584,ERA2000406,06,2019,Makar,"",rn_lv_002_B,2019-06-13,2019-06-11,SAMEA5704584,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_002_B,Norway rat,rn_lv_002_B,male,BN/Lx,left ventricle
ERR3367709,45726976,9000785140,98,6001,ERX3391863,rn_lv_003_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508240,SAMEA5704585,simple,10116,Rattus norvegicus,SAMEA5704585,ERA2000406,06,2019,Makar,"",rn_lv_003_B,2019-06-13,2019-06-11,SAMEA5704585,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_003_B,Norway rat,rn_lv_003_B,male,BN/Lx,left ventricle
ERR3367710,72937719,14331322649,98,9361,ERX3391864,rn_lv_004_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508241,SAMEA5704586,simple,10116,Rattus norvegicus,SAMEA5704586,ERA2000406,06,2019,Makar,"",rn_lv_004_B,2019-06-13,2019-06-11,SAMEA5704586,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_004_B,Norway rat,rn_lv_004_B,male,BN/Lx,left ventricle
ERR3367711,70690040,14132335439,99,9120,ERX3391865,rn_lv_005_B_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508242,SAMEA5704587,simple,10116,Rattus norvegicus,SAMEA5704587,ERA2000406,06,2019,Makar,"",rn_lv_005_B,2019-06-13,2019-06-11,SAMEA5704587,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_005_B,Norway rat,rn_lv_005_B,male,BN/Lx,left ventricle
ERR3367712,63765862,12736288268,99,8142,ERX3391866,rn_lv_006_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508243,SAMEA5704588,simple,10116,Rattus norvegicus,SAMEA5704588,ERA2000406,06,2019,Makar,"",rn_lv_006_S,2019-06-13,2019-06-11,SAMEA5704588,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_006_S,Norway rat,rn_lv_006_S,male,SHR,left ventricle
ERR3367713,70589530,14102567796,99,8839,ERX3391867,rn_lv_007_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508244,SAMEA5704589,simple,10116,Rattus norvegicus,SAMEA5704589,ERA2000406,06,2019,Makar,"",rn_lv_007_S,2019-06-13,2019-06-11,SAMEA5704589,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_007_S,Norway rat,rn_lv_007_S,male,SHR,left ventricle
ERR3367714,69668784,13937694682,100,8875,ERX3391868,rn_lv_008_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508245,SAMEA5704590,simple,10116,Rattus norvegicus,SAMEA5704590,ERA2000406,06,2019,Makar,"",rn_lv_008_S,2019-06-13,2019-06-11,SAMEA5704590,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_008_S,Norway rat,rn_lv_008_S,male,SHR,left ventricle
ERR3367715,56069563,11048781315,98,7172,ERX3391869,rn_lv_009_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508246,SAMEA5704591,simple,10116,Rattus norvegicus,SAMEA5704591,ERA2000406,06,2019,Makar,"",rn_lv_009_S,2019-06-13,2019-06-11,SAMEA5704591,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_009_S,Norway rat,rn_lv_009_S,male,SHR,left ventricle
ERR3367716,78187345,14965174931,95,9701,ERX3391870,rn_lv_010_S_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111489,PRJEB29208,1,"",ERS3508247,SAMEA5704592,simple,10116,Rattus norvegicus,SAMEA5704592,ERA2000406,06,2019,Makar,"",rn_lv_010_S,2019-06-13,2019-06-11,SAMEA5704592,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2019-06-13T17:06:44Z,2019-06-11T09:56:58Z,public,rn_lv_010_S,Norway rat,rn_lv_010_S,male,SHR,left ventricle
