Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,disease,organism part,sample name,Experimental Factor: stimulus,Experimental Factor: time
ERR2976734,14287455,409427591,28,192,ERX2979492,RPF_0h_n1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955282,SAMEA5147536,simple,9606,Homo sapiens,SAMEA5147536,ERA1674180,07,2019,Makar,"",RPF_0h_n1,2019-02-01,2018-12-04,SAMEA5147536,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_0h_n1,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_0h_n1,none,0
ERR2976735,5520862,154466485,27,76,ERX2979493,RPF_0h_n2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955283,SAMEA5147537,simple,9606,Homo sapiens,SAMEA5147537,ERA1674180,07,2019,Makar,"",RPF_0h_n2,2019-02-01,2018-12-04,SAMEA5147537,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_0h_n2,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_0h_n2,none,0
ERR2976736,5499258,155393274,28,76,ERX2979494,RPF_0h_n3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955284,SAMEA5147538,simple,9606,Homo sapiens,SAMEA5147538,ERA1674180,07,2019,Makar,"",RPF_0h_n3,2019-02-01,2018-12-04,SAMEA5147538,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_0h_n3,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_0h_n3,none,0
ERR2976737,13926097,391986840,28,187,ERX2979495,RPF_3h_n1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955285,SAMEA5147539,simple,9606,Homo sapiens,SAMEA5147539,ERA1674180,07,2019,Makar,"",RPF_3h_n1,2019-02-01,2018-12-04,SAMEA5147539,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_3h_n1,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_3h_n1,IL-1B; 10 nanogram per milliliter,3
ERR2976738,14126686,422171925,29,202,ERX2979496,RPF_3h_n2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955286,SAMEA5147540,simple,9606,Homo sapiens,SAMEA5147540,ERA1674180,07,2019,Makar,"",RPF_3h_n2,2019-02-01,2018-12-04,SAMEA5147540,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_3h_n2,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_3h_n2,IL-1B; 10 nanogram per milliliter,3
ERR2976739,14499877,434534946,29,206,ERX2979497,RPF_3h_n3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955287,SAMEA5147541,simple,9606,Homo sapiens,SAMEA5147541,ERA1674180,07,2019,Makar,"",RPF_3h_n3,2019-02-01,2018-12-04,SAMEA5147541,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:RPF_3h_n3,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:RPF_3h_n3,IL-1B; 10 nanogram per milliliter,3
ERR2976740,27907935,866451536,31,412,ERX2979498,TotalRNA_0h_n1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955288,SAMEA5147542,simple,9606,Homo sapiens,SAMEA5147542,ERA1674180,07,2019,Makar,"",TotalRNA_0h_n1,2019-02-01,2018-12-04,SAMEA5147542,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:TotalRNA_0h_n1,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:TotalRNA_0h_n1,none,0
ERR2976741,13444837,351478756,26,178,ERX2979499,TotalRNA_0h_n2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955289,SAMEA5147543,simple,9606,Homo sapiens,SAMEA5147543,ERA1674180,07,2019,Makar,"",TotalRNA_0h_n2,2019-02-01,2018-12-04,SAMEA5147543,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:53Z,public,E-MTAB-7466:TotalRNA_0h_n2,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:TotalRNA_0h_n2,none,0
ERR2976742,23418108,620300138,26,312,ERX2979500,TotalRNA_0h_n3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955290,SAMEA5147544,simple,9606,Homo sapiens,SAMEA5147544,ERA1674180,07,2019,Makar,"",TotalRNA_0h_n3,2019-02-01,2018-12-04,SAMEA5147544,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:54Z,public,E-MTAB-7466:TotalRNA_0h_n3,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:TotalRNA_0h_n3,none,0
ERR2976743,3499361,112009663,32,53,ERX2979501,TotalRNA_3h_n1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP112487,PRJEB30076,1,"",ERS2955291,SAMEA5147545,simple,9606,Homo sapiens,SAMEA5147545,ERA1674180,07,2019,Makar,"",TotalRNA_3h_n1,2019-02-01,2018-12-04,SAMEA5147545,University of Liverpool,University of Liverpool,2019-02-01T17:01:57Z,2018-12-04T09:42:54Z,public,E-MTAB-7466:TotalRNA_3h_n1,ArrayExpress,SW1353,fibroblast,human,chondrosarcoma,bone,E-MTAB-7466:TotalRNA_3h_n1,IL-1B; 10 nanogram per milliliter,3
