Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,developmental stage,disease,fraction,genotype,organism part,sample name,Experimental Factor: genotype,Experimental Factor: fraction
ERR3225407,37378188,2167934904,58,640,ERX3252859,CKO_RNA_1_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230882,SAMEA5425594,simple,10090,Mus musculus,SAMEA5425594,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RNA_1,2019-04-05,2019-03-18,SAMEA5425594,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RNA_1,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RNA_1,Ythdf2 fl/fl; Vav-iCre,input RNA
ERR3225408,35463230,2056867340,58,606,ERX3252860,CKO_RNA_2_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230883,SAMEA5425595,simple,10090,Mus musculus,SAMEA5425595,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RNA_2,2019-04-05,2019-03-18,SAMEA5425595,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RNA_2,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RNA_2,Ythdf2 fl/fl; Vav-iCre,input RNA
ERR3225409,29638284,1719020472,58,505,ERX3252861,CKO_RNA_3_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230884,SAMEA5425596,simple,10090,Mus musculus,SAMEA5425596,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RNA_3,2019-04-05,2019-03-18,SAMEA5425596,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RNA_3,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RNA_3,Ythdf2 fl/fl; Vav-iCre,input RNA
ERR3225410,38929568,2257914944,58,679,ERX3252862,CKO_RPF_1_s,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230885,SAMEA5425597,simple,10090,Mus musculus,SAMEA5425597,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RPF_1,2019-04-05,2019-03-18,SAMEA5425597,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RPF_1,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,ribosome protected fragments,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RPF_1,Ythdf2 fl/fl; Vav-iCre,ribosome protected fragments
ERR3225411,35647750,2067569500,58,617,ERX3252863,CKO_RPF_2_s,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230886,SAMEA5425598,simple,10090,Mus musculus,SAMEA5425598,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RPF_2,2019-04-05,2019-03-18,SAMEA5425598,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RPF_2,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,ribosome protected fragments,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RPF_2,Ythdf2 fl/fl; Vav-iCre,ribosome protected fragments
ERR3225412,36857993,2137763594,58,640,ERX3252864,CKO_RPF_3_s,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230887,SAMEA5425599,simple,10090,Mus musculus,SAMEA5425599,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CKO_RPF_3,2019-04-05,2019-03-18,SAMEA5425599,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CKO_RPF_3,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,ribosome protected fragments,Ythdf2 fl/fl; Vav-iCre,hematopoietic system,E-MTAB-7785:CKO_RPF_3,Ythdf2 fl/fl; Vav-iCre,ribosome protected fragments
ERR3225413,32213303,1868371574,58,552,ERX3252865,CTL_RNA_1_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230888,SAMEA5425600,simple,10090,Mus musculus,SAMEA5425600,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CTL_RNA_1,2019-04-05,2019-03-18,SAMEA5425600,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CTL_RNA_1,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl,hematopoietic system,E-MTAB-7785:CTL_RNA_1,Ythdf2 fl/fl,input RNA
ERR3225414,31500274,1827015892,58,539,ERX3252866,CTL_RNA_2_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230889,SAMEA5425601,simple,10090,Mus musculus,SAMEA5425601,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CTL_RNA_2,2019-04-05,2019-03-18,SAMEA5425601,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CTL_RNA_2,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl,hematopoietic system,E-MTAB-7785:CTL_RNA_2,Ythdf2 fl/fl,input RNA
ERR3225415,34129440,1979507520,58,583,ERX3252867,CTL_RNA_3_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230890,SAMEA5425602,simple,10090,Mus musculus,SAMEA5425602,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CTL_RNA_3,2019-04-05,2019-03-18,SAMEA5425602,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CTL_RNA_3,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,input RNA,Ythdf2 fl/fl,hematopoietic system,E-MTAB-7785:CTL_RNA_3,Ythdf2 fl/fl,input RNA
ERR3225416,38416174,2228138092,58,659,ERX3252868,CTL_RPF_1_s,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114344,PRJEB31750,1,"",ERS3230891,SAMEA5425603,simple,10090,Mus musculus,SAMEA5425603,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",ERA1772855,04,2019,Makar,"",CTL_RPF_1,2019-04-05,2019-03-18,SAMEA5425603,"MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research, School of Biological Sciences, University of Edinburgh",2019-04-05T04:04:05Z,2019-03-18T11:06:12Z,public,E-MTAB-7785:CTL_RPF_1,ArrayExpress,pre-leukemic stem cell,hematopoietic cell,house mouse,embryonic day 14.5,acute myeloid leukemia,ribosome protected fragments,Ythdf2 fl/fl,hematopoietic system,E-MTAB-7785:CTL_RPF_1,Ythdf2 fl/fl,ribosome protected fragments
