Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,age,broker name,cell line,genotype,organism part,sample name,strain,Experimental Factor: compound,Experimental Factor: dose
ERR3366366,174806789,8915146239,51,6055,ERX3390646,mc2-7000 rep 1_s,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP115711,PRJEB32965,1,"",ERS3506993,SAMEA5703336,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703336,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000 rep 1,2019-06-20,2019-06-10,SAMEA5703336,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 1,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 1,mc2-7000,none,
ERR3366367,124451736,6347038536,51,2512,ERX3390647,mc2-7000 rep 2_s,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP115711,PRJEB32965,1,"",ERS3506994,SAMEA5703337,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703337,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000 rep 2,2019-06-20,2019-06-10,SAMEA5703337,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 2,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 2,mc2-7000,none,
ERR3366368,2914842,244846728,55,109,ERX3390648,mc2-7000+retapamulin rep 1_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506995,SAMEA5703338,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703338,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 1,2019-06-20,2019-06-10,SAMEA5703338,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000+retapamulin rep 1,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000+retapamulin rep 1,mc2-7000,retapamulin,0.125
ERR3366369,2904515,243979260,55,109,ERX3390648,mc2-7000+retapamulin rep 1_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506995,SAMEA5703338,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703338,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 1,2019-06-20,2019-06-10,SAMEA5703339,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000+retapamulin rep 2,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000+retapamulin rep 2,mc2-7000,retapamulin,0.125
ERR3366370,2991327,251271468,55,112,ERX3390648,mc2-7000+retapamulin rep 1_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506995,SAMEA5703338,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703338,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 1,2019-06-20,2019-06-10,SAMEA5703336,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 1,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 1,mc2-7000,none,
ERR3366371,3017140,253439760,55,113,ERX3390648,mc2-7000+retapamulin rep 1_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506995,SAMEA5703338,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703338,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 1,2019-06-20,2019-06-10,SAMEA5703337,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 2,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 2,mc2-7000,none,
ERR3366372,1524650,131119900,49,50,ERX3390649,mc2-7000+retapamulin rep 2_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506996,SAMEA5703339,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703339,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 2,2019-06-20,2019-06-10,SAMEA5703338,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000+retapamulin rep 1,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000+retapamulin rep 1,mc2-7000,retapamulin,0.125
ERR3366373,1933298,166263628,49,63,ERX3390649,mc2-7000+retapamulin rep 2_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506996,SAMEA5703339,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703339,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 2,2019-06-20,2019-06-10,SAMEA5703339,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000+retapamulin rep 2,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000+retapamulin rep 2,mc2-7000,retapamulin,0.125
ERR3366374,1558181,134003566,49,51,ERX3390649,mc2-7000+retapamulin rep 2_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506996,SAMEA5703339,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703339,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 2,2019-06-20,2019-06-10,SAMEA5703336,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 1,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 1,mc2-7000,none,
ERR3366375,1943109,167107374,49,63,ERX3390649,mc2-7000+retapamulin rep 2_p,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP115711,PRJEB32965,1,"",ERS3506996,SAMEA5703339,simple,83332,Mycobacterium tuberculosis H37Rv,SAMEA5703339,Wadsworth Center,ERA1994199,06,2019,Makar,"",mc2-7000+retapamulin rep 2,2019-06-20,2019-06-10,SAMEA5703337,Wadsworth Center,Wadsworth Center,2019-06-20T04:02:47Z,2019-06-10T13:25:13Z,public,E-MTAB-8039:mc2-7000 rep 2,OD600=1.0,ArrayExpress,mc2-7000,wild type genotype,whole organism,E-MTAB-8039:mc2-7000 rep 2,mc2-7000,none,
