Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,developmental stage,genotype,growth condition,individual,organism part,sample name,environmental stress,Experimental Factor: time,Experimental Factor: environmental stress
ERR3719481,44458692,1255359174,28,549,ERX3720751,Sample 01_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138769,SAMEA6372672,simple,7962,Cyprinus carpio,SAMEA6372672,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 01,2020-05-01,2019-12-06,SAMEA6372672,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 01,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,101,kidney,E-MTAB-8567:Sample 01,,0,none
ERR3719482,34617903,948417307,27,399,ERX3720752,Sample 02_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138770,SAMEA6372673,simple,7962,Cyprinus carpio,SAMEA6372673,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 02,2020-05-01,2019-12-06,SAMEA6372673,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 02,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,102,kidney,E-MTAB-8567:Sample 02,,0,none
ERR3719483,62030482,1753203043,28,745,ERX3720753,Sample 03_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138771,SAMEA6372674,simple,7962,Cyprinus carpio,SAMEA6372674,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 03,2020-05-01,2019-12-06,SAMEA6372674,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 03,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,103,kidney,E-MTAB-8567:Sample 03,,0,none
ERR3719484,41455194,1192790173,28,518,ERX3720754,Sample 04_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138772,SAMEA6372675,simple,7962,Cyprinus carpio,SAMEA6372675,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 04,2020-05-01,2019-12-06,SAMEA6372675,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 04,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,104,kidney,E-MTAB-8567:Sample 04,,0,none
ERR3719485,14201235,398345210,28,180,ERX3720755,Sample 05_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138773,SAMEA6372676,simple,7962,Cyprinus carpio,SAMEA6372676,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 05,2020-05-01,2019-12-06,SAMEA6372676,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 05,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,105,kidney,E-MTAB-8567:Sample 05,,0,none
ERR3719486,29563784,837539871,28,368,ERX3720756,Sample 06_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138774,SAMEA6372677,simple,7962,Cyprinus carpio,SAMEA6372677,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 06,2020-05-01,2019-12-06,SAMEA6372677,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 06,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,106,kidney,E-MTAB-8567:Sample 06,,0,none
ERR3719487,31313683,882882971,28,387,ERX3720757,Sample 07_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138775,SAMEA6372678,simple,7962,Cyprinus carpio,SAMEA6372678,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 07,2020-05-01,2019-12-06,SAMEA6372678,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 07,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,107,kidney,E-MTAB-8567:Sample 07,,0,none
ERR3719488,17895225,511693673,28,229,ERX3720758,Sample 08_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138776,SAMEA6372679,simple,7962,Cyprinus carpio,SAMEA6372679,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 08,2020-05-01,2019-12-06,SAMEA6372679,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:55Z,public,E-MTAB-8567:Sample 08,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,108,kidney,E-MTAB-8567:Sample 08,,0,none
ERR3719489,51120070,1589745491,31,641,ERX3720759,Sample 09_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138777,SAMEA6372680,simple,7962,Cyprinus carpio,SAMEA6372680,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 09,2020-05-01,2019-12-06,SAMEA6372680,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 09,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,110,kidney,E-MTAB-8567:Sample 09,,0,none
ERR3719490,41115835,1167828495,28,509,ERX3720760,Sample 10_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118801,PRJEB35702,1,"",ERS4138778,SAMEA6372681,simple,7962,Cyprinus carpio,SAMEA6372681,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",ERA2312930,03,2023,Makar,"",Sample 10,2020-05-01,2019-12-06,SAMEA6372681,"CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.","CGR, Institute of Integrative Biology, The University of Liverpool, Liverpool, UK.",2020-05-01T04:03:31Z,2019-12-06T13:24:56Z,public,E-MTAB-8567:Sample 10,ArrayExpress,common carp,adult,wild type genotype,pre-conditioned at 25 degrees Celsius,111,kidney,E-MTAB-8567:Sample 10,,0,none
