Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: protocol
ERR3765688,56311986,2815599300,50,810,ERX3767441,s52a.sorbitol.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190163,SAMEA6423950,simple,4896,Schizosaccharomyces pombe,SAMEA6423950,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.sorbitol.ribo.1,2020-06-01,2019-12-17,SAMEA6423950,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:s52a.sorbitol.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8602:s52a.sorbitol.ribo.1,osmotic shock,eIF2alpha-S52A,sorbitol,1,Ribo-Seq
ERR3765689,45572025,2278601250,50,690,ERX3767442,s52a.sorbitol.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190164,SAMEA6423951,simple,4896,Schizosaccharomyces pombe,SAMEA6423951,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.sorbitol.ribo.2,2020-06-01,2019-12-17,SAMEA6423951,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:s52a.sorbitol.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8602:s52a.sorbitol.ribo.2,osmotic shock,eIF2alpha-S52A,sorbitol,1,Ribo-Seq
ERR3765690,49406628,2470331400,50,715,ERX3767443,sty1delta.sorbitol.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190165,SAMEA6423952,simple,4896,Schizosaccharomyces pombe,SAMEA6423952,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.sorbitol.ribo.1,2020-06-01,2019-12-17,SAMEA6423952,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:sty1delta.sorbitol.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8602:sty1delta.sorbitol.ribo.1,osmotic shock,sty1delta,sorbitol,1,Ribo-Seq
ERR3765691,50162542,2508127100,50,743,ERX3767444,sty1delta.sorbitol.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190166,SAMEA6423953,simple,4896,Schizosaccharomyces pombe,SAMEA6423953,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.sorbitol.ribo.2,2020-06-01,2019-12-17,SAMEA6423953,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:sty1delta.sorbitol.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8602:sty1delta.sorbitol.ribo.2,osmotic shock,sty1delta,sorbitol,1,Ribo-Seq
ERR3765692,64489863,3224493150,50,920,ERX3767445,wt.sorbitol.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190167,SAMEA6423954,simple,4896,Schizosaccharomyces pombe,SAMEA6423954,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.sorbitol.ribo.1,2020-06-01,2019-12-17,SAMEA6423954,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:wt.sorbitol.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8602:wt.sorbitol.ribo.1,osmotic shock,wild type genotype,sorbitol,1,Ribo-Seq
ERR3765693,29564085,1478204250,50,444,ERX3767446,wt.sorbitol.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190168,SAMEA6423955,simple,4896,Schizosaccharomyces pombe,SAMEA6423955,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.sorbitol.ribo.2,2020-06-01,2019-12-17,SAMEA6423955,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:wt.sorbitol.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8602:wt.sorbitol.ribo.2,osmotic shock,wild type genotype,sorbitol,1,Ribo-Seq
ERR3765700,14469855,4340956500,150,1720,ERX3767447,s52a.sorbitol.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190169,SAMEA6423956,simple,4896,Schizosaccharomyces pombe,SAMEA6423956,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.sorbitol.rna.1,2020-06-01,2019-12-17,SAMEA6423956,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:s52a.sorbitol.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8602:s52a.sorbitol.rna.1,osmotic shock,eIF2alpha-S52A,sorbitol,1,RNA-Seq
ERR3765701,12505672,3751701600,150,1415,ERX3767448,s52a.sorbitol.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190170,SAMEA6423957,simple,4896,Schizosaccharomyces pombe,SAMEA6423957,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.sorbitol.rna.2,2020-06-01,2019-12-17,SAMEA6423957,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:s52a.sorbitol.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8602:s52a.sorbitol.rna.2,osmotic shock,eIF2alpha-S52A,sorbitol,1,RNA-Seq
ERR3765702,15772482,4731744600,150,1781,ERX3767449,sty1delta.sorbitol.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190171,SAMEA6423958,simple,4896,Schizosaccharomyces pombe,SAMEA6423958,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.sorbitol.rna.1,2020-06-01,2019-12-17,SAMEA6423958,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:sty1delta.sorbitol.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8602:sty1delta.sorbitol.rna.1,osmotic shock,sty1delta,sorbitol,1,RNA-Seq
ERR3765703,13822609,4146782700,150,1560,ERX3767450,sty1delta.sorbitol.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190172,SAMEA6423959,simple,4896,Schizosaccharomyces pombe,SAMEA6423959,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.sorbitol.rna.2,2020-06-01,2019-12-17,SAMEA6423959,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:sty1delta.sorbitol.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8602:sty1delta.sorbitol.rna.2,osmotic shock,sty1delta,sorbitol,1,RNA-Seq
