Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: stimulus,Experimental Factor: fraction
ERR3823822,55121659,2756082950,50,784,ERX3833211,s52a.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251137,SAMEA6486666,simple,4896,Schizosaccharomyces pombe,SAMEA6486666,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.control.ribo.1,2020-06-01,2020-01-17,SAMEA6486666,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:34Z,public,E-MTAB-8686:s52a.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8686:s52a.control.ribo.1,untreated,eIF2alpha-S52A,untreated,ribosome protected fragments
ERR3823823,74112918,3705645900,50,1068,ERX3833212,s52a.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251138,SAMEA6486667,simple,4896,Schizosaccharomyces pombe,SAMEA6486667,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.control.ribo.2,2020-06-01,2020-01-17,SAMEA6486667,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:34Z,public,E-MTAB-8686:s52a.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8686:s52a.control.ribo.2,untreated,eIF2alpha-S52A,untreated,ribosome protected fragments
ERR3823834,10416730,3125019000,150,1041,ERX3833213,s52a.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251139,SAMEA6486668,simple,4896,Schizosaccharomyces pombe,SAMEA6486668,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.control.rna.1,2020-06-01,2020-01-17,SAMEA6486668,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:34Z,public,E-MTAB-8686:s52a.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8686:s52a.control.rna.1,untreated,eIF2alpha-S52A,untreated,rRNA depleted total RNA
ERR3823835,16772136,5031640800,150,1887,ERX3833214,s52a.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251140,SAMEA6486669,simple,4896,Schizosaccharomyces pombe,SAMEA6486669,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.control.rna.2,2020-06-01,2020-01-17,SAMEA6486669,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:34Z,public,E-MTAB-8686:s52a.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8686:s52a.control.rna.2,untreated,eIF2alpha-S52A,untreated,rRNA depleted total RNA
ERR3823824,73328699,3666434950,50,1043,ERX3833215,s52a.hs.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251141,SAMEA6486670,simple,4896,Schizosaccharomyces pombe,SAMEA6486670,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.hs.ribo.1,2020-06-01,2020-01-17,SAMEA6486670,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:s52a.hs.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8686:s52a.hs.ribo.1,heat shock,eIF2alpha-S52A,heat shock,ribosome protected fragments
ERR3823825,54556877,2727843850,50,785,ERX3833216,s52a.hs.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251142,SAMEA6486671,simple,4896,Schizosaccharomyces pombe,SAMEA6486671,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.hs.ribo.2,2020-06-01,2020-01-17,SAMEA6486671,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:s52a.hs.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8686:s52a.hs.ribo.2,heat shock,eIF2alpha-S52A,heat shock,ribosome protected fragments
ERR3823836,25979417,7793825100,150,2699,ERX3833217,s52a.hs.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251143,SAMEA6486672,simple,4896,Schizosaccharomyces pombe,SAMEA6486672,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.hs.rna.1,2020-06-01,2020-01-17,SAMEA6486672,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:s52a.hs.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8686:s52a.hs.rna.1,heat shock,eIF2alpha-S52A,heat shock,rRNA depleted total RNA
ERR3823837,14064835,4219450500,150,1589,ERX3833218,s52a.hs.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251144,SAMEA6486673,simple,4896,Schizosaccharomyces pombe,SAMEA6486673,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",s52a.hs.rna.2,2020-06-01,2020-01-17,SAMEA6486673,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:s52a.hs.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8686:s52a.hs.rna.2,heat shock,eIF2alpha-S52A,heat shock,rRNA depleted total RNA
ERR3823826,49510707,2475535350,50,703,ERX3833219,sty1delta.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251145,SAMEA6486674,simple,4896,Schizosaccharomyces pombe,SAMEA6486674,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.control.ribo.1,2020-06-01,2020-01-17,SAMEA6486674,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8686:sty1delta.control.ribo.1,untreated,sty1delta,untreated,ribosome protected fragments
ERR3823827,44843015,2242150750,50,642,ERX3833220,sty1delta.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119439,PRJEB36274,1,"",ERS4251146,SAMEA6486675,simple,4896,Schizosaccharomyces pombe,SAMEA6486675,Department of Biochemistry University of Cambridge UK,ERA2347602,11,2020,Makar,"",sty1delta.control.ribo.2,2020-06-01,2020-01-17,SAMEA6486675,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-17T09:37:35Z,public,E-MTAB-8686:sty1delta.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8686:sty1delta.control.ribo.2,untreated,sty1delta,untreated,ribosome protected fragments
