Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: fraction
ERR3850610,53686457,2684322850,50,772,ERX3863198,s52a.cd.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270390,SAMEA6505956,simple,4896,Schizosaccharomyces pombe,SAMEA6505956,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.cd.ribo.1,2020-06-01,2020-01-28,SAMEA6505956,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.cd.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8746:s52a.cd.ribo.1,cadmium,eIF2alpha-S52A,cadmium sulfate,0.5,ribosome protected fragments
ERR3850611,55596679,2779833950,50,806,ERX3863199,s52a.cd.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270391,SAMEA6505957,simple,4896,Schizosaccharomyces pombe,SAMEA6505957,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.cd.ribo.2,2020-06-01,2020-01-28,SAMEA6505957,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.cd.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8746:s52a.cd.ribo.2,cadmium,eIF2alpha-S52A,cadmium sulfate,0.5,ribosome protected fragments
ERR3850622,29669082,8900724600,150,3296,ERX3863200,s52a.cd.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270392,SAMEA6505958,simple,4896,Schizosaccharomyces pombe,SAMEA6505958,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.cd.rna.1,2020-06-01,2020-01-28,SAMEA6505958,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.cd.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8746:s52a.cd.rna.1,cadmium,eIF2alpha-S52A,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850623,15113540,4534062000,150,1673,ERX3863201,s52a.cd.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270393,SAMEA6505959,simple,4896,Schizosaccharomyces pombe,SAMEA6505959,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.cd.rna.2,2020-06-01,2020-01-28,SAMEA6505959,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.cd.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8746:s52a.cd.rna.2,cadmium,eIF2alpha-S52A,cadmium sulfate,0.5,rRNA depleted total RNA
ERR3850612,70741707,3537085350,50,1013,ERX3863202,s52a.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270394,SAMEA6505960,simple,4896,Schizosaccharomyces pombe,SAMEA6505960,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505960,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8746:s52a.control.ribo.1,untreated,eIF2alpha-S52A,none,,ribosome protected fragments
ERR3850613,64100166,3205008300,50,925,ERX3863203,s52a.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270395,SAMEA6505961,simple,4896,Schizosaccharomyces pombe,SAMEA6505961,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505961,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8746:s52a.control.ribo.2,untreated,eIF2alpha-S52A,none,,ribosome protected fragments
ERR3850624,38025285,11407585500,150,4271,ERX3863204,s52a.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270396,SAMEA6505962,simple,4896,Schizosaccharomyces pombe,SAMEA6505962,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.control.rna.1,2020-06-01,2020-01-28,SAMEA6505962,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8746:s52a.control.rna.1,untreated,eIF2alpha-S52A,none,,rRNA depleted total RNA
ERR3850625,15289567,4586870100,150,1704,ERX3863205,s52a.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270397,SAMEA6505963,simple,4896,Schizosaccharomyces pombe,SAMEA6505963,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",s52a.control.rna.2,2020-06-01,2020-01-28,SAMEA6505963,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:s52a.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8746:s52a.control.rna.2,untreated,eIF2alpha-S52A,none,,rRNA depleted total RNA
ERR3850614,42243104,2112155200,50,604,ERX3863206,sty1delta.cd.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270398,SAMEA6505964,simple,4896,Schizosaccharomyces pombe,SAMEA6505964,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.cd.ribo.1,2020-06-01,2020-01-28,SAMEA6505964,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.cd.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8746:sty1delta.cd.ribo.1,cadmium,sty1delta,cadmium sulfate,0.5,ribosome protected fragments
ERR3850615,34443505,1722175250,50,498,ERX3863207,sty1delta.cd.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119665,PRJEB36468,1,"",ERS4270399,SAMEA6505965,simple,4896,Schizosaccharomyces pombe,SAMEA6505965,Department of Biochemistry University of Cambridge Cambridge,ERA2360036,11,2020,Makar,"",sty1delta.cd.ribo.2,2020-06-01,2020-01-28,SAMEA6505965,Department of Biochemistry University of Cambridge Cambridge,Department of Biochemistry University of Cambridge Cambridge,2020-06-01T04:03:53Z,2020-01-28T14:44:29Z,public,E-MTAB-8746:sty1delta.cd.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8746:sty1delta.cd.ribo.2,cadmium,sty1delta,cadmium sulfate,0.5,ribosome protected fragments
