Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR8054115,23397803,1988813255,85,785,ERX7620836,,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990365,SAMEA12383585,simple,4932,Saccharomyces cerevisiae,SAMEA12383585,European Molecular Biology Laboratory,ERA8435919,02,2022,Makar,"",Nup157_IP_No3,2022-02-01,2022-02-01,SAMEA12383585,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No3,baker's yeast,Nup157_IP_No3
ERR8054616,29020963,2466781855,85,974,ERX7621337,,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990363,SAMEA12383583,simple,4932,Saccharomyces cerevisiae,SAMEA12383583,European Molecular Biology Laboratory,ERA8436092,02,2022,Makar,"",Nup157_IP_No1,2022-02-01,2022-02-01,SAMEA12383583,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No1,baker's yeast,Nup157_IP_No1
ERR8054755,32883578,2795104130,85,1097,ERX7621476,,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990364,SAMEA12383584,simple,4932,Saccharomyces cerevisiae,SAMEA12383584,European Molecular Biology Laboratory,ERA8436139,02,2022,Makar,"",Nup157_IP_No2,2022-02-01,2022-02-01,SAMEA12383584,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No2,baker's yeast,Nup157_IP_No2
ERR8054939,29020963,2466781855,85,974,ERX7621660,Nup157_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990363,SAMEA12383583,simple,4932,Saccharomyces cerevisiae,SAMEA12383583,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_IP_No1,2022-02-01,2022-02-01,SAMEA12383583,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No1,baker's yeast,Nup157_IP_No1
ERR8054940,32883578,2795104130,85,1097,ERX7621661,Nup157_IP_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990364,SAMEA12383584,simple,4932,Saccharomyces cerevisiae,SAMEA12383584,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_IP_No2,2022-02-01,2022-02-01,SAMEA12383584,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No2,baker's yeast,Nup157_IP_No2
ERR8054941,23397803,1988813255,85,785,ERX7621662,Nup157_IP_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990365,SAMEA12383585,simple,4932,Saccharomyces cerevisiae,SAMEA12383585,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_IP_No3,2022-02-01,2022-02-01,SAMEA12383585,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_IP_No3,baker's yeast,Nup157_IP_No3
ERR8054942,26356240,2240280400,85,825,ERX7621663,Nup157_total_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990366,SAMEA12383586,simple,4932,Saccharomyces cerevisiae,SAMEA12383586,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_total_No1,2022-02-01,2022-02-01,SAMEA12383586,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_total_No1,baker's yeast,Nup157_total_No1
ERR8054943,8389527,713109795,85,264,ERX7621664,Nup157_total_No2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990367,SAMEA12383587,simple,4932,Saccharomyces cerevisiae,SAMEA12383587,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_total_No2,2022-02-01,2022-02-01,SAMEA12383587,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_total_No2,baker's yeast,Nup157_total_No2
ERR8054944,61913026,5262607210,85,1929,ERX7621665,Nup157_total_No3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990368,SAMEA12383588,simple,4932,Saccharomyces cerevisiae,SAMEA12383588,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup157_total_No3,2022-02-01,2022-02-01,SAMEA12383588,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup157_total_No3,baker's yeast,Nup157_total_No3
ERR8054945,26375646,2241929910,85,881,ERX7621666,Nup170_IP_No1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP134872,PRJEB50305,1,"",ERS9990369,SAMEA12383589,simple,4932,Saccharomyces cerevisiae,SAMEA12383589,European Molecular Biology Laboratory,ERA8436142,02,2022,Makar,"",Nup170_IP_No1,2022-02-01,2022-02-01,SAMEA12383589,EMBL,European Molecular Biology Laboratory,2022-02-01T00:21:26Z,2022-02-01T00:21:26Z,public,Nup170_IP_No1,baker's yeast,Nup170_IP_No1
