Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR9794392,7561080,695619360,75,280,ERX9341844,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118768,SAMEA14491331,simple,9606,Homo sapiens,SAMEA14491331,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491331,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S01-NC-1-TOTAL,human,S01-NC-1-TOTAL
ERR9794393,2832869,260623948,75,105,ERX9341845,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118769,SAMEA14491332,simple,9606,Homo sapiens,SAMEA14491332,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491332,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S09-NC-3-C,human,S09-NC-3-C
ERR9794394,5446578,501085176,75,202,ERX9341846,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118770,SAMEA14491333,simple,9606,Homo sapiens,SAMEA14491333,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491333,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S17-3a-IAA-2-TOTAL,human,S17-3a-IAA-2-TOTAL
ERR9794395,7673493,705961356,75,284,ERX9341847,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118771,SAMEA14491334,simple,9606,Homo sapiens,SAMEA14491334,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491334,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S25-3b-NC-1-TOTAL,human,S25-3b-NC-1-TOTAL
ERR9794396,5055358,465092936,75,188,ERX9341848,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118772,SAMEA14491335,simple,9606,Homo sapiens,SAMEA14491335,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491335,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S33-3b-NC-3-C,human,S33-3b-NC-3-C
ERR9794397,9466124,870883408,75,350,ERX9341849,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118773,SAMEA14491336,simple,9606,Homo sapiens,SAMEA14491336,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491336,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S41-3e-IAA-2-TOTAL,human,S41-3e-IAA-2-TOTAL
ERR9794398,6665581,613233452,75,247,ERX9341850,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118774,SAMEA14491337,simple,9606,Homo sapiens,SAMEA14491337,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491337,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S49-3f-NC-1-TOTAL,human,S49-3f-NC-1-TOTAL
ERR9794399,3901634,358950328,75,145,ERX9341851,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118775,SAMEA14491338,simple,9606,Homo sapiens,SAMEA14491338,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491338,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S57-3f-NC-3-C,human,S57-3f-NC-3-C
ERR9794400,7458151,686149892,75,278,ERX9341852,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118776,SAMEA14491339,simple,9606,Homo sapiens,SAMEA14491339,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491339,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S53-3f-IAA-2-TOTAL,human,S53-3f-IAA-2-TOTAL
ERR9794401,6969418,641186456,75,259,ERX9341853,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118777,SAMEA14491340,simple,9606,Homo sapiens,SAMEA14491340,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491340,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S61-3k-NC-1-TOTAL,human,S61-3k-NC-1-TOTAL
ERR9794402,7960759,732389828,75,294,ERX9341854,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118778,SAMEA14491341,simple,9606,Homo sapiens,SAMEA14491341,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491341,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S65-3k-IAA-2-TOTAL,human,S65-3k-IAA-2-TOTAL
ERR9794403,6605923,607744916,75,245,ERX9341855,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118779,SAMEA14491342,simple,9606,Homo sapiens,SAMEA14491342,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491342,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S68-3k-NC-2-C,human,S68-3k-NC-2-C
ERR9794404,5892510,542110920,75,219,ERX9341856,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118780,SAMEA14491343,simple,9606,Homo sapiens,SAMEA14491343,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491343,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S69-3k-NC-3-C,human,S69-3k-NC-3-C
ERR9794405,9729012,895069104,75,358,ERX9341857,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118781,SAMEA14491344,simple,9606,Homo sapiens,SAMEA14491344,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491344,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S02-NC-2-TOTAL,human,S02-NC-2-TOTAL
ERR9794406,2757216,253663872,75,103,ERX9341858,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118782,SAMEA14491345,simple,9606,Homo sapiens,SAMEA14491345,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491345,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S10-IAA-1-C,human,S10-IAA-1-C
ERR9794407,6517747,599632724,75,241,ERX9341859,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118783,SAMEA14491346,simple,9606,Homo sapiens,SAMEA14491346,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491346,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S18-3a-IAA-3-TOTAL,human,S18-3a-IAA-3-TOTAL
ERR9794408,8432824,775819808,75,312,ERX9341860,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118784,SAMEA14491347,simple,9606,Homo sapiens,SAMEA14491347,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491347,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S26-3b-NC-2-TOTAL,human,S26-3b-NC-2-TOTAL
ERR9794409,6398404,588653168,75,237,ERX9341861,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118785,SAMEA14491348,simple,9606,Homo sapiens,SAMEA14491348,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491348,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S34-3b-IAA-1-C,human,S34-3b-IAA-1-C
ERR9794410,8828837,812253004,75,326,ERX9341862,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP137981,PRJEB53197,1,"",ERS12118786,SAMEA14491349,simple,9606,Homo sapiens,SAMEA14491349,"Klinikum rechts der Isar, II. Medizinische Klinik",ERA14831913,09,2022,Makar,"",RNASample,2022-09-06,2022-09-06,SAMEA14491349,"Klinikum rechts der Isar, II. Medizinische Klinik","Klinikum rechts der Isar, II. Medizinische Klinik",2022-09-06T00:18:30Z,2022-09-06T00:18:30Z,public,S42-3e-IAA-3-TOTAL,human,S42-3e-IAA-3-TOTAL
