Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,developmental stage,genotype,growth condition,organism part,sample name,strain,substrain,Experimental Factor: compound,Experimental Factor: dose
ERR10313822,4423810,376503432,48,130,ERX9848727,tetracycline-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530608,SAMEA111436934,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436934,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-1,2022-10-15,2022-10-15,SAMEA111436934,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-1,K-12,MG1655,tetracycline,1
ERR10313823,4459633,379535096,48,132,ERX9848727,tetracycline-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530608,SAMEA111436934,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436934,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-1,2022-10-15,2022-10-15,SAMEA111436935,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-2,K-12,MG1655,tetracycline,1
ERR10313824,4506527,383538217,48,133,ERX9848727,tetracycline-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530608,SAMEA111436934,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436934,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-1,2022-10-15,2022-10-15,SAMEA111436936,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-3,K-12,MG1655,tetracycline,1
ERR10313825,4485937,381777503,48,133,ERX9848727,tetracycline-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530608,SAMEA111436934,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436934,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-1,2022-10-15,2022-10-15,SAMEA111436937,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-1,K-12,MG1655,tylosin,400
ERR10313826,8946509,761291136,48,302,ERX9848728,tetracycline-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530609,SAMEA111436935,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436935,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-2,2022-10-15,2022-10-15,SAMEA111436938,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-2,K-12,MG1655,tylosin,400
ERR10313827,9118596,775947681,48,308,ERX9848728,tetracycline-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530609,SAMEA111436935,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436935,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-2,2022-10-15,2022-10-15,SAMEA111436939,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-3,K-12,MG1655,tylosin,400
ERR10313828,8648709,735929518,48,293,ERX9848728,tetracycline-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530609,SAMEA111436935,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436935,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-2,2022-10-15,2022-10-15,SAMEA111436940,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-1,K-12,MG1655,none,
ERR10313829,8665629,737394423,48,294,ERX9848728,tetracycline-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530609,SAMEA111436935,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436935,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-2,2022-10-15,2022-10-15,SAMEA111436941,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-2,K-12,MG1655,none,
ERR10313830,8500611,723832726,48,288,ERX9848729,tetracycline-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530610,SAMEA111436936,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436936,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-3,2022-10-15,2022-10-15,SAMEA111436934,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-1,K-12,MG1655,tetracycline,1
ERR10313831,8444440,719060725,48,286,ERX9848729,tetracycline-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530610,SAMEA111436936,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436936,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-3,2022-10-15,2022-10-15,SAMEA111436935,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-2,K-12,MG1655,tetracycline,1
