Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,RNA source,Submitter Id,broker name,fraction,library,replicate,sample name,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: fraction,Experimental Factor: protocol
ERR10323162,74575607,7532136307,101,2074,ERX9855511,AT.rep1.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545765,SAMEA111452367,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452367,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452367,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.40s.libA,ArrayExpress,40s,A,1,E-MTAB-12264:AT.rep1.ribo.40s.libA,amitrole,10,40s,TCP-seq
ERR10323163,18171762,1835347962,101,544,ERX9855512,AT.rep1.ribo.40s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545766,SAMEA111452368,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452368,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.40s.libB,2023-01-20,2023-01-20,SAMEA111452368,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.40s.libB,ArrayExpress,40s,B,1,E-MTAB-12264:AT.rep1.ribo.40s.libB,amitrole,10,40s,TCP-seq
ERR10323164,13711067,1384817767,101,400,ERX9855513,AT.rep1.ribo.40s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545767,SAMEA111452369,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452369,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.40s.libC,2023-01-20,2023-01-20,SAMEA111452369,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.40s.libC,ArrayExpress,40s,C,1,E-MTAB-12264:AT.rep1.ribo.40s.libC,amitrole,10,40s,TCP-seq
ERR10323165,9928952,1002824152,101,292,ERX9855514,AT.rep1.ribo.40s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545768,SAMEA111452370,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452370,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.40s.libD,2023-01-20,2023-01-20,SAMEA111452370,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.40s.libD,ArrayExpress,40s,D,1,E-MTAB-12264:AT.rep1.ribo.40s.libD,amitrole,10,40s,TCP-seq
ERR10323166,13294326,1342726926,101,376,ERX9855515,AT.rep1.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545769,SAMEA111452371,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452371,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452371,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.80s.libA,ArrayExpress,80s,A,1,E-MTAB-12264:AT.rep1.ribo.80s.libA,amitrole,10,80s,TCP-seq
ERR10323167,13490316,1362521916,101,411,ERX9855516,AT.rep1.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545770,SAMEA111452372,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452372,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452372,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.80s.libB,ArrayExpress,80s,B,1,E-MTAB-12264:AT.rep1.ribo.80s.libB,amitrole,10,80s,TCP-seq
ERR10323168,9663588,976022388,101,284,ERX9855517,AT.rep1.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545771,SAMEA111452373,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452373,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452373,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.80s.libC,ArrayExpress,80s,C,1,E-MTAB-12264:AT.rep1.ribo.80s.libC,amitrole,10,80s,TCP-seq
ERR10323169,18902964,1909199364,101,553,ERX9855518,AT.rep1.ribo.80s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545772,SAMEA111452374,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452374,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.ribo.80s.libD,2023-01-20,2023-01-20,SAMEA111452374,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep1.ribo.80s.libD,ArrayExpress,80s,D,1,E-MTAB-12264:AT.rep1.ribo.80s.libD,amitrole,10,80s,TCP-seq
ERR10323213,28981289,2898128900,50,887,ERX9855519,AT.rep1.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545773,SAMEA111452375,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452375,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep1.rna,2023-01-20,2023-01-20,SAMEA111452375,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:AT.rep1.rna,ArrayExpress,,,1,E-MTAB-12264:AT.rep1.rna,amitrole,10,not applicable,total RNA-seq
ERR10323170,28423411,2870764511,101,947,ERX9855520,AT.rep2.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545774,SAMEA111452376,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452376,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452376,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libA,ArrayExpress,40s,A,2,E-MTAB-12264:AT.rep2.ribo.40s.libA,amitrole,10,40s,TCP-seq
ERR10323171,33861191,3419980291,101,1121,ERX9855521,AT.rep2.ribo.40s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545775,SAMEA111452377,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452377,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libB,2023-01-20,2023-01-20,SAMEA111452377,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libB,ArrayExpress,40s,B,2,E-MTAB-12264:AT.rep2.ribo.40s.libB,amitrole,10,40s,TCP-seq
ERR10323172,25533382,2578871582,101,853,ERX9855522,AT.rep2.ribo.40s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545776,SAMEA111452378,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452378,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libC,2023-01-20,2023-01-20,SAMEA111452378,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libC,ArrayExpress,40s,C,2,E-MTAB-12264:AT.rep2.ribo.40s.libC,amitrole,10,40s,TCP-seq
ERR10323173,12561195,1268680695,101,381,ERX9855523,AT.rep2.ribo.40s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545777,SAMEA111452379,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452379,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libD,2023-01-20,2023-01-20,SAMEA111452379,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libD,ArrayExpress,40s,D,2,E-MTAB-12264:AT.rep2.ribo.40s.libD,amitrole,10,40s,TCP-seq
ERR10323174,5326881,538014981,101,156,ERX9855524,AT.rep2.ribo.40s.libE_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545778,SAMEA111452380,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452380,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libE,2023-01-20,2023-01-20,SAMEA111452380,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libE,ArrayExpress,40s,E,2,E-MTAB-12264:AT.rep2.ribo.40s.libE,amitrole,10,40s,TCP-seq
ERR10323175,12713212,1284034412,101,374,ERX9855525,AT.rep2.ribo.40s.libF_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545779,SAMEA111452381,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452381,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libF,2023-01-20,2023-01-20,SAMEA111452381,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libF,ArrayExpress,40s,F,2,E-MTAB-12264:AT.rep2.ribo.40s.libF,amitrole,10,40s,TCP-seq
ERR10323176,28264383,2854702683,101,859,ERX9855526,AT.rep2.ribo.40s.libG_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545780,SAMEA111452382,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452382,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.40s.libG,2023-01-20,2023-01-20,SAMEA111452382,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.40s.libG,ArrayExpress,40s,G,2,E-MTAB-12264:AT.rep2.ribo.40s.libG,amitrole,10,40s,TCP-seq
ERR10323177,29508300,2980338300,101,981,ERX9855527,AT.rep2.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545781,SAMEA111452383,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452383,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",AT.rep2.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452383,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:AT.rep2.ribo.80s.libA,ArrayExpress,80s,A,2,E-MTAB-12264:AT.rep2.ribo.80s.libA,amitrole,10,80s,TCP-seq
