Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,INSDC center name,Submitter Id,age,broker name,collection date,common name,developmental stage,genotype,geographic location (country and/or sea),isolate,organism part,sample name,scientific_name,ecotype
ERR11553437,90053855,6844092980,76,1973,ERX10957670,Sample 1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591632,SAMEA113597539,simple,3702,Arabidopsis thaliana,SAMEA113597539,Lund University,ERA23841328,09,2023,Makar,"",Sample 1,Lund University,E-MTAB-13059:Sample 1,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,wild type genotype,not collected,not applicable,flower,E-MTAB-13059:Sample 1,Arabidopsis thaliana,Col-0
ERR11553438,88007283,6688553508,76,1928,ERX10957670,Sample 1_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591632,SAMEA113597539,simple,3702,Arabidopsis thaliana,SAMEA113597539,Lund University,ERA23841328,09,2023,Makar,"",Sample 1,Lund University,E-MTAB-13059:Sample 2,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,wild type genotype,not collected,not applicable,flower,E-MTAB-13059:Sample 2,Arabidopsis thaliana,Col-0
ERR11553439,94068425,7149200300,76,2045,ERX10957671,Sample 2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591633,SAMEA113597540,simple,3702,Arabidopsis thaliana,SAMEA113597540,Lund University,ERA23841328,09,2023,Makar,"",Sample 2,Lund University,E-MTAB-13059:Sample 3,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-1/2-1,not collected,not applicable,flower,E-MTAB-13059:Sample 3,Arabidopsis thaliana,Col-0
ERR11553440,91424025,6948225900,76,1989,ERX10957671,Sample 2_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591633,SAMEA113597540,simple,3702,Arabidopsis thaliana,SAMEA113597540,Lund University,ERA23841328,09,2023,Makar,"",Sample 2,Lund University,E-MTAB-13059:Sample 4,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-1/2-1,not collected,not applicable,flower,E-MTAB-13059:Sample 4,Arabidopsis thaliana,Col-0
ERR11553441,84473842,6420011992,76,1811,ERX10957672,Sample 3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591634,SAMEA113597541,simple,3702,Arabidopsis thaliana,SAMEA113597541,Lund University,ERA23841328,09,2023,Makar,"",Sample 3,Lund University,E-MTAB-13059:Sample 5,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-2/2-2,not collected,not applicable,flower,E-MTAB-13059:Sample 5,Arabidopsis thaliana,Col-0
ERR11553442,86787519,6595851444,76,1859,ERX10957672,Sample 3_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591634,SAMEA113597541,simple,3702,Arabidopsis thaliana,SAMEA113597541,Lund University,ERA23841328,09,2023,Makar,"",Sample 3,Lund University,E-MTAB-13059:Sample 6,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-2/2-2,not collected,not applicable,flower,E-MTAB-13059:Sample 6,Arabidopsis thaliana,Col-0
ERR11553443,84678927,6435598452,76,1898,ERX10957673,Sample 4_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591635,SAMEA113597542,simple,3702,Arabidopsis thaliana,SAMEA113597542,Lund University,ERA23841328,09,2023,Makar,"",Sample 4,Lund University,E-MTAB-13059:Sample 1,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,wild type genotype,not collected,not applicable,flower,E-MTAB-13059:Sample 1,Arabidopsis thaliana,Col-0
ERR11553444,82550755,6273857380,76,1851,ERX10957673,Sample 4_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591635,SAMEA113597542,simple,3702,Arabidopsis thaliana,SAMEA113597542,Lund University,ERA23841328,09,2023,Makar,"",Sample 4,Lund University,E-MTAB-13059:Sample 2,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,wild type genotype,not collected,not applicable,flower,E-MTAB-13059:Sample 2,Arabidopsis thaliana,Col-0
ERR11553445,76319936,5800315136,76,1643,ERX10957674,Sample 5_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591636,SAMEA113597543,simple,3702,Arabidopsis thaliana,SAMEA113597543,Lund University,ERA23841328,09,2023,Makar,"",Sample 5,Lund University,E-MTAB-13059:Sample 3,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-1/2-1,not collected,not applicable,flower,E-MTAB-13059:Sample 3,Arabidopsis thaliana,Col-0
ERR11553446,74123394,5633377944,76,1597,ERX10957674,Sample 5_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148313,PRJEB63162,1,"",ERS15591636,SAMEA113597543,simple,3702,Arabidopsis thaliana,SAMEA113597543,Lund University,ERA23841328,09,2023,Makar,"",Sample 5,Lund University,E-MTAB-13059:Sample 4,5 to 8,ArrayExpress,not collected,thale cress,whole plant flowering stage,mtran1-1/2-1,not collected,not applicable,flower,E-MTAB-13059:Sample 4,Arabidopsis thaliana,Col-0
