Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,Alias,Days of differentation,ENA checklist,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,SRA accession,Sample Name,Title,cell_type,Days of differenation,Treatment,ENA first public,ENA last update,External Id,Submitter Id,common name,sample name
ERR595895,21871388,2974508768,100,1869,ERX552877,T0B,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540833,SAMEA2752236,simple,10090,Mus musculus,SAMEA2752236,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356722,11,2014,Makar,"",T0B,T0B,0,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:34Z,2014-09-08T13:50:15Z,public,ERS540833,ERS540833,C2C12,C2C12,,,,,,,,
ERR595896,16584285,2255462760,100,1420,ERX552878,T0C,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540834,SAMEA2752237,simple,10090,Mus musculus,SAMEA2752237,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356722,11,2014,Makar,"",T0C,T0C,0,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:34Z,2014-09-08T13:50:15Z,public,ERS540834,ERS540834,C2C12,C2C12,,,,,,,,
ERR595897,14649174,1992287664,100,1255,ERX552879,T7B,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540835,SAMEA2752238,simple,10090,Mus musculus,SAMEA2752238,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356722,11,2014,Makar,"",T7B,T7B,7,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:34Z,2014-09-08T13:50:15Z,public,ERS540835,ERS540835,C2C12,C2C12,,,,,,,,
ERR595898,15518578,2110526608,100,1333,ERX552880,T7C,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540836,SAMEA2752239,simple,10090,Mus musculus,SAMEA2752239,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356722,11,2014,Makar,"",T7C,T7C,7,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:50:15Z,public,ERS540836,ERS540836,C2C12,C2C12,,,,,,,,
ERR595900,32278436,1678478672,52,1025,ERX552882,A2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540863,SAMEA2752266,simple,10090,Mus musculus,SAMEA2752266,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",A2,A2,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540863,ERS540863,C2C12,C2C12,0,harringtonin,,,,,,
ERR595904,25658428,1334238256,52,829,ERX552886,B3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540867,SAMEA2752270,simple,10090,Mus musculus,SAMEA2752270,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",B3,B3,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540867,ERS540867,C2C12,C2C12,0,cycloheximide,,,,,,
ERR595908,29971791,1558533132,52,774,ERX552890,D1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540871,SAMEA2752274,simple,10090,Mus musculus,SAMEA2752274,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",D1,D1,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540871,ERS540871,C2C12,C2C12,7,cycloheximide,,,,,,
ERR595899,39292672,2043218944,52,1226,ERX552881,A1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540862,SAMEA2752265,simple,10090,Mus musculus,SAMEA2752265,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",A1,A1,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540862,ERS540862,C2C12,C2C12,0,harringtonin,,,,,,
ERR595901,38967191,2026293932,52,1197,ERX552883,A3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540864,SAMEA2752267,simple,10090,Mus musculus,SAMEA2752267,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",A3,A3,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540864,ERS540864,C2C12,C2C12,0,harringtonin,,,,,,
ERR595902,21094240,1096900480,52,569,ERX552884,B1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP006908,PRJEB7207,1,"",ERS540865,SAMEA2752268,simple,10090,Mus musculus,SAMEA2752268,LEIDEN UNIVERSITY MEDICAL CENTER,ERA356723,11,2014,Makar,"",B1,B1,,ERC000011,LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,2014-10-31T17:03:35Z,2014-09-08T13:59:27Z,public,ERS540865,ERS540865,C2C12,C2C12,0,cycloheximide,,,,,,
