Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,strain,age,Sex,diet,treatment,time,fraction,geo_loc_name,collection_date
SRR25893078,7091332,1675293211,118,621,SRX21613408,GSM7757012,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785944,SAMN37260879,simple,10090,Mus musculus,GSM7757012,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13125, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893079,7162829,1690507629,117,627,SRX21613408,GSM7757012,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785944,SAMN37260879,simple,10090,Mus musculus,GSM7757012,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13125, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893076,21680637,5754666030,132,2218,SRX21613409,GSM7757013,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785945,SAMN37260878,simple,10090,Mus musculus,GSM7757013,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13126, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893077,21845489,5792486027,132,2234,SRX21613409,GSM7757013,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785945,SAMN37260878,simple,10090,Mus musculus,GSM7757013,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13126, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893074,19131953,5103171424,133,1969,SRX21613410,GSM7757014,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785946,SAMN37260877,simple,10090,Mus musculus,GSM7757014,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13127, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893075,19260955,5132965554,133,1982,SRX21613410,GSM7757014,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785946,SAMN37260877,simple,10090,Mus musculus,GSM7757014,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13127, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893072,22400153,5954739528,132,2303,SRX21613411,GSM7757015,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785947,SAMN37260876,simple,10090,Mus musculus,GSM7757015,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13128, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893073,22562464,5992403098,132,2320,SRX21613411,GSM7757015,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785947,SAMN37260876,simple,10090,Mus musculus,GSM7757015,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13128, SC diet, CCK, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893070,20496445,5407729868,131,2096,SRX21613412,GSM7757016,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785948,SAMN37260875,simple,10090,Mus musculus,GSM7757016,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13129, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893071,20635775,5439328740,131,2110,SRX21613412,GSM7757016,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785948,SAMN37260875,simple,10090,Mus musculus,GSM7757016,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13129, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
