Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,geo_loc_name,collection_date
SRR25916076,38588398,1732636827,44,743,SRX21635915,GSM7757939,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806345,SAMN37284038,simple,10090,Mus musculus,GSM7757939,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq WT 1,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916075,33528401,1291888339,38,588,SRX21635916,GSM7757940,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806347,SAMN37284037,simple,10090,Mus musculus,GSM7757940,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq WT 2,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916074,35948210,1466818164,40,651,SRX21635917,GSM7757941,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806349,SAMN37284036,simple,10090,Mus musculus,GSM7757941,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq WT 3,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916073,37365615,1667839876,44,717,SRX21635918,GSM7757942,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806346,SAMN37284035,simple,10090,Mus musculus,GSM7757942,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq KO 1,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
SRR25916072,25451599,1046127914,41,470,SRX21635919,GSM7757943,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806348,SAMN37284034,simple,10090,Mus musculus,GSM7757943,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq KO 2,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
SRR25916071,36812680,1506959179,40,683,SRX21635920,GSM7757944,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806352,SAMN37284033,simple,10090,Mus musculus,GSM7757944,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,RNAseq KO 3,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
SRR25916070,44456365,1262396241,28,606,SRX21635921,GSM7757945,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806350,SAMN37284032,simple,10090,Mus musculus,GSM7757945,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint WT 1,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916069,42723442,1224274928,28,582,SRX21635922,GSM7757946,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806351,SAMN37284031,simple,10090,Mus musculus,GSM7757946,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint WT 2,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916068,30372166,822889212,27,414,SRX21635923,GSM7757947,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806354,SAMN37284030,simple,10090,Mus musculus,GSM7757947,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint WT 3,Thymus,Thymus,Thymocytes,WT,missing,missing
SRR25916067,31839006,933361696,29,439,SRX21635924,GSM7757948,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806353,SAMN37284029,simple,10090,Mus musculus,GSM7757948,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint KO 1,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
SRR25916066,37473763,1068603367,28,513,SRX21635925,GSM7757949,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806356,SAMN37284028,simple,10090,Mus musculus,GSM7757949,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint KO 2,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
SRR25916065,12352081,322749320,26,166,SRX21635926,GSM7757950,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP458591,PRJNA1013070,1,"",SRS18806355,SAMN37284027,simple,10090,Mus musculus,GSM7757950,"Molecular Immunology, Justus Liebig University",SRA1705531,09,2023,Makar,Thymus,Ribo footprint KO 3,Thymus,Thymus,Thymocytes,miR-181a/b-1 KO,missing,missing
