Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR26142444,28972970,8691891000,150,748,SRX21855080,GSM7794712,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951389,SAMN37502770,simple,9606,Homo sapiens,GSM7794712,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, total mRNA, rep1",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142443,24102543,7230762900,150,744,SRX21855081,GSM7794713,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951390,SAMN37502769,simple,9606,Homo sapiens,GSM7794713,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, total mRNA, rep2",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142442,25265898,7579769400,150,686,SRX21855082,GSM7794714,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951391,SAMN37502768,simple,9606,Homo sapiens,GSM7794714,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, total mRNA, rep3",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142441,26390784,7917235200,150,752,SRX21855083,GSM7794715,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951393,SAMN37502767,simple,9606,Homo sapiens,GSM7794715,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shp16, total mRNA, rep1",cell line,cell line,SKMEL28,melanoma,p16 knockdown,none,missing,missing
SRR26142440,26207380,7862214000,150,731,SRX21855084,GSM7794716,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951394,SAMN37502766,simple,9606,Homo sapiens,GSM7794716,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shp16, total mRNA, rep2",cell line,cell line,SKMEL28,melanoma,p16 knockdown,none,missing,missing
SRR26142439,25787935,7736380500,150,734,SRX21855085,GSM7794717,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951399,SAMN37502765,simple,9606,Homo sapiens,GSM7794717,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shp16, total mRNA, rep3",cell line,cell line,SKMEL28,melanoma,p16 knockdown,none,missing,missing
SRR26142438,26650117,7995035100,150,696,SRX21855086,GSM7794718,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951400,SAMN37502764,simple,9606,Homo sapiens,GSM7794718,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, light polysome fraction, rep1",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142437,24105600,7231680000,150,651,SRX21855087,GSM7794719,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951396,SAMN37502763,simple,9606,Homo sapiens,GSM7794719,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, light polysome fraction, rep2",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142436,25310778,7593233400,150,677,SRX21855088,GSM7794720,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951392,SAMN37502762,simple,9606,Homo sapiens,GSM7794720,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP, light polysome fraction, rep3",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
SRR26142435,22878152,6863445600,150,566,SRX21855089,GSM7794721,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP462586,PRJNA1019689,1,"",SRS18951395,SAMN37502761,simple,9606,Homo sapiens,GSM7794721,University of Pittsburgh School of Medicine,SRA1717905,09,2023,Makar,cell line,"SKMEL28 shGFP,heavy polysome fraction, rep1",cell line,cell line,SKMEL28,melanoma,Control knockdown,none,missing,missing
