Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,transfection,time,strain,genotype,GEO Accession
SRR057511,4807481,173069316,36,122,SRX021966,GSM546920: Footprint_mock_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079385,SAMN00014830,simple,9606,Homo sapiens,GSM546920,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_mock_32hr_runs1-2,HeLa,mock,32hr,,,GSM546920
SRR057512,18618732,670274352,36,470,SRX021966,GSM546920: Footprint_mock_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079385,SAMN00014830,simple,9606,Homo sapiens,GSM546920,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_mock_32hr_runs1-2,HeLa,mock,32hr,,,GSM546921
SRR057513,4424341,159276276,36,69,SRX021967,GSM546921: mRNASeq_mock_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079386,SAMN00014831,simple,9606,Homo sapiens,GSM546921,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_mock_32hr_runs1-3,HeLa,miR-155 duplex,32hr,,,GSM546922
SRR057514,4435711,239528394,54,165,SRX021967,GSM546921: mRNASeq_mock_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079386,SAMN00014831,simple,9606,Homo sapiens,GSM546921,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_mock_32hr_runs1-3,HeLa,miR-155 duplex,32hr,,,GSM546923
SRR057515,2581364,92929104,36,67,SRX021967,GSM546921: mRNASeq_mock_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079386,SAMN00014831,simple,9606,Homo sapiens,GSM546921,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_mock_32hr_runs1-3,HeLa,miR-1 duplex,32hr,,,GSM546924
SRR057516,5901290,212446440,36,149,SRX021968,GSM546922: Footprint_miR-155_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079387,SAMN00014832,simple,9606,Homo sapiens,GSM546922,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-155_32hr_runs1-2,HeLa,miR-1 duplex,32hr,,,GSM546925
SRR057517,14520158,522725688,36,361,SRX021968,GSM546922: Footprint_miR-155_32hr_runs1-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079387,SAMN00014832,simple,9606,Homo sapiens,GSM546922,GEO,SRA020150,08,2010,Guo,HeLa,Footprint_miR-155_32hr_runs1-2,HeLa,mock,12hr,,,GSM546926
SRR057518,6010389,216374004,36,89,SRX021969,GSM546923: mRNASeq_miR-155_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079388,SAMN00014833,simple,9606,Homo sapiens,GSM546923,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-155_32hr_runs1-3,HeLa,mock,12hr,,,GSM546927
SRR057519,5756777,207243972,36,147,SRX021969,GSM546923: mRNASeq_miR-155_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079388,SAMN00014833,simple,9606,Homo sapiens,GSM546923,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-155_32hr_runs1-3,HeLa,miR-155 duplex,12hr,,,GSM546928
SRR057520,2625651,94523436,36,68,SRX021969,GSM546923: mRNASeq_miR-155_32hr_runs1-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002605,PRJNA129385,20703300,"",SRS079388,SAMN00014833,simple,9606,Homo sapiens,GSM546923,GEO,SRA020150,08,2010,Guo,HeLa,mRNASeq_miR-155_32hr_runs1-3,HeLa,miR-155 duplex,12hr,,,GSM546929
