Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,sample type,genotype,cell type,genetic background,GEO Accession
SRR074359,2785131,114190371,41,56,SRX032430,GSM629701: TSC2WT_Small_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140046,SAMN00139263,simple,10090,Mus musculus,GSM629701,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Small TSC2 WT + DMSO,Embryonic Fibroblast,No Treatment,Small (1 ribosome),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629701
SRR074360,5086078,208529198,41,104,SRX032431,GSM629702: TSC2WT_Medium_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140047,SAMN00139264,simple,10090,Mus musculus,GSM629702,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Medium TSC2 WT + DMSO,Embryonic Fibroblast,No Treatment,Medium (2-4 ribosomes),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629702
SRR074361,6548774,268499734,41,123,SRX032432,GSM629703: TSC2WT_Large_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140048,SAMN00139265,simple,10090,Mus musculus,GSM629703,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Large TSC2 WT + DMSO,Embryonic Fibroblast,No Treatment,Large (≥5 ribosomes),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629703
SRR074362,1343046,55064886,41,24,SRX032433,GSM629704: TSC2KO_Small_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140049,SAMN00139266,simple,10090,Mus musculus,GSM629704,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Small TSC2 KO + DMSO,Embryonic Fibroblast,No Treatment,Small (1 ribosome),TSC2 Knock Out,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629704
SRR074363,3252925,133369925,41,61,SRX032434,GSM629705: TSC2KO_Medium_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140050,SAMN00139267,simple,10090,Mus musculus,GSM629705,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Medium TSC2 KO + DMSO,Embryonic Fibroblast,No Treatment,Medium (2-4 ribosomes),TSC2 Knock Out,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629705
SRR074364,6408570,262751370,41,131,SRX032435,GSM629706: TSC2KO_Large_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140051,SAMN00139268,simple,10090,Mus musculus,GSM629706,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Large TSC2 KO + DMSO,Embryonic Fibroblast,No Treatment,Large (≥5 ribosomes),TSC2 Knock Out,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629706
SRR074365,2585299,105997259,41,61,SRX032436,GSM629707: TSC2WT_RAP_Small_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140052,SAMN00139269,simple,10090,Mus musculus,GSM629707,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Small TSC2 WT + Rapa (30min),Embryonic Fibroblast,20nM Rapamycin 40min,Small (1 ribosome),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629707
SRR074366,1531516,62792156,41,36,SRX032437,GSM629708: TSC2WT_RAP_Medium_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140053,SAMN00139270,simple,10090,Mus musculus,GSM629708,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Medium TSC2 WT + Rapa (30min),Embryonic Fibroblast,20nM Rapamycin 40min,Medium (2-4 ribosomes),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629708
SRR074367,2056997,84336877,41,48,SRX032438,GSM629709: TSC2WT_RAP_Large_Replicate1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140054,SAMN00139271,simple,10090,Mus musculus,GSM629709,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Large TSC2 WT + Rapa (30min),Embryonic Fibroblast,20nM Rapamycin 40min,Large (≥5 ribosomes),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629709
SRR074368,6490822,266123702,41,145,SRX032439,GSM629710: TSC2WT_Small_Replicate2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP004708,PRJNA142427,1,"",SRS140055,SAMN00139272,simple,10090,Mus musculus,GSM629710,GEO,SRA026761,11,2011,Makar,Embryonic Fibroblast,Small TSC2 WT,Embryonic Fibroblast,No Treatment,Small (1 ribosome),TSC2 Wild Type,mouse embryonic fibroblast,"129S4/SvJae, C57BL/6, CBA",GSM629710
