Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,assay type,transfected with,GEO Accession
SRR648666,148313823,5932552920,40,3985,SRX217027,,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017942,PRJNA147613,23290915,"",SRS385794,SAMN01886422,simple,10090,Mus musculus,GSM1063574,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-Hsp70_inhibitor_3hr,3T3 cells,3T3 cells,"Hsp70 inhibitor (VER-155008, Massey et al.) for 3 hours",Riboseq,,GSM1063574
SRR648667,50184481,1806641316,36,1096,SRX217028,,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS385795,SAMN01886423,simple,9606,Homo sapiens,GSM1063575,GEO,SRA064749,07,2015,Shalgi,293T cells,293T_GFP,293T cells,293T cells,,Riboseq,3XFLAG-GFP,GSM1063575
SRR648668,95471801,3436984836,36,2034,SRX217029,,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS385796,SAMN01886424,simple,9606,Homo sapiens,GSM1063576,GEO,SRA064749,07,2015,Shalgi,293T cells,293T_GFP_2hrs_severe_Heat_Shock,293T cells,293T cells,severe heat shock (44C 2 hours),Riboseq,3XFLAG-GFP,GSM1063576
SRR648669,92525256,3330909216,36,1935,SRX217030,,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS385797,SAMN01886425,simple,9606,Homo sapiens,GSM1063577,GEO,SRA064749,07,2015,Shalgi,293T cells,293T_Hspa1a,293T cells,293T cells,,Riboseq,3XFLAG-Hspa1a,GSM1063577
SRR648670,100614542,3622123512,36,2143,SRX217031,,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS385798,SAMN01886426,simple,9606,Homo sapiens,GSM1063578,GEO,SRA064749,07,2015,Shalgi,293T cells,293T_Hspa1a_2hrs_severe_Heat_Shock,293T cells,293T cells,severe heat shock (44C 2 hours),Riboseq,3XFLAG-Hspa1a,GSM1063578
SRR649749,24537669,1766712168,36,623,SRX217953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386206,SAMN01888277,simple,10090,Mus musculus,GSM794848,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-Control-RNAseq,3T3 cells,3T3 cells,control,polyA selected RNA,,GSM794848
SRR649750,27227833,1960403976,36,1038,SRX217954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386203,SAMN01888278,simple,10090,Mus musculus,GSM794849,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-8hrs-mild-HS-RNAseq,3T3 cells,3T3 cells,mild heat shock,polyA selected RNA,,GSM794849
SRR649751,19349120,1393136640,36,673,SRX217955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386204,SAMN01888279,simple,10090,Mus musculus,GSM794850,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-2hrs-severe-HS-RNAseq,3T3 cells,3T3 cells,severe heat shock,polyA selected RNA,,GSM794850
SRR649752,16526261,594945396,36,435,SRX217956,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386205,SAMN01888280,simple,10090,Mus musculus,GSM794854,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-Control-Riboseq,3T3 cells,3T3 cells,control,Riboseq,,GSM794854
SRR649753,20301202,730843272,36,523,SRX217957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386206,SAMN01888277,simple,10090,Mus musculus,GSM794848,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-Control-RNAseq,3T3 cells,3T3 cells,control,polyA selected RNA,,GSM794855
SRR649754,49598303,1785538908,36,1124,SRX217958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017942,PRJNA147613,23290915,"",SRS386207,SAMN01888282,simple,10090,Mus musculus,GSM794856,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-2hrs-severe-HS-Riboseq,3T3 cells,3T3 cells,severe heat shock,Riboseq,,GSM794856
SRR649755,92846591,3713863640,40,2612,SRX217959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017942,PRJNA147613,23290915,"",SRS386208,SAMN01888283,simple,10090,Mus musculus,GSM794857,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-Control-Riboseq-rep2,3T3 cells,3T3 cells,control,Riboseq,,GSM794857
SRR649756,99189999,3967599960,40,2748,SRX217960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017942,PRJNA147613,23290915,"",SRS386209,SAMN01888284,simple,10090,Mus musculus,GSM794858,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-8hrs-mild-HS-Riboseq-rep2,3T3 cells,3T3 cells,mild heat shock,Riboseq,,GSM794858
SRR649757,86455287,3458211480,40,2393,SRX217961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017942,PRJNA147613,23290915,"",SRS386210,SAMN01888285,simple,10090,Mus musculus,GSM794859,GEO,SRA064749,07,2015,Shalgi,3T3 cells,3T3-2hrs-severe-HS-Riboseq-rep2,3T3 cells,3T3 cells,severe heat shock,Riboseq,,GSM794859
