Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,strain,medium,substrain,sub_species,type-material,plasmid,GEO Accession
SRR407274,193193015,9659650750,50,6495,SRX119208,GSM872393: E. coli MG1655 rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291481,SAMN00783867,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM872393,GEO,SRA049984,04,2012,Li,E. coli MG1655,E. coli MG1655 rep1,E. coli MG1655,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",K-12,MOPS,MG1655,,,,GSM872393
SRR407275,171654193,8582709650,50,5777,SRX119208,GSM872393: E. coli MG1655 rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291481,SAMN00783867,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM872393,GEO,SRA049984,04,2012,Li,E. coli MG1655,E. coli MG1655 rep1,E. coli MG1655,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",K-12,MOPS,MG1655,,,,GSM872394
SRR407276,204841933,10242096650,50,7018,SRX119209,GSM872394: E. coli MG1655 rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291482,SAMN00783868,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM872394,GEO,SRA049984,04,2012,Li,E. coli MG1655,E. coli MG1655 rep2,B. sub 168,Ribosome-protected mRNA by Ribosome footprint sample digested by 60 units of micrococcal nuclease per A260 absorbance,168,LB,,subtilis,type strain of Bacillus subtilis,,GSM872395
SRR407277,86856374,4342818700,50,2922,SRX119209,GSM872394: E. coli MG1655 rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291482,SAMN00783868,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM872394,GEO,SRA049984,04,2012,Li,E. coli MG1655,E. coli MG1655 rep2,B. sub 168,Ribosome-protected mRNA by Ribosome footprint sample digested by 30 units of micrococcal nuclease per A260 absorbance,168,LB,,subtilis,type strain of Bacillus subtilis,,GSM872396
SRR407278,18230224,911511200,50,626,SRX119210,GSM872395: B. sub 168 60 units of MNase rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291483,SAMN00783869,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM872395,GEO,SRA049984,04,2012,Li,B. sub 168,B. sub 168 60 units of MNase rep1,B. sub 168,Ribosome-protected mRNA by Ribosome footprint sample digested by 60 units of micrococcal nuclease per A260 absorbance,168,LB,,subtilis,type strain of Bacillus subtilis,,GSM872397
SRR407279,15991160,799558000,50,553,SRX119211,GSM872396: B. sub 168 30 units of MNase,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291484,SAMN00783870,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM872396,GEO,SRA049984,04,2012,Li,B. sub 168,B. sub 168 30 units of MNase,E. coli OlacZ,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",BW25113 w/ orthogonal ribosome and orthogonal lacZ,MOPS,,,,"pJW1422, pSC101-G9",GSM872398
SRR407280,35407892,1770394600,50,1201,SRX119212,GSM872397: B. sub 168 60 units of MNase rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291485,SAMN00783871,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM872397,GEO,SRA049984,04,2012,Li,B. sub 168,B. sub 168 60 units of MNase rep2,E. coli recoded ompF,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",BJW9 w/ recoded ompF,MOPS,,,,,GSM872399
SRR407281,176894215,8844710750,50,5897,SRX119212,GSM872397: B. sub 168 60 units of MNase rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291485,SAMN00783871,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM872397,GEO,SRA049984,04,2012,Li,B. sub 168,B. sub 168 60 units of MNase rep2,E. coli MG1655,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",K-12,MOPS,MG1655,,,,GSM872393
SRR407282,42246607,2112330350,50,1453,SRX119213,GSM872398: E. coli OlacZ (orthogonal ribosomes and  orthogonal lacZ mRNA),RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291486,SAMN00783872,simple,679895,Escherichia coli BW25113,GSM872398,GEO,SRA049984,04,2012,Li,E. coli OlacZ,E. coli OlacZ (orthogonal ribosomes and  orthogonal lacZ mRNA),E. coli MG1655,"Ribosome-protected mRNA, Ribosome footprint sample digested with 60 units of micrococcal nuclease per A260 absorbance",K-12,MOPS,MG1655,,,,GSM872394
SRR407283,46338235,2316911750,50,1609,SRX119214,GSM872399: E. coli recoded ompF (recoded ompF gene),RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP010825,PRJNA152495,22456704,"",SRS291487,SAMN00783873,simple,562,Escherichia coli,GSM872399,GEO,SRA049984,04,2012,Li,E. coli recoded ompF,E. coli recoded ompF (recoded ompF gene),B. sub 168,Ribosome-protected mRNA by Ribosome footprint sample digested by 60 units of micrococcal nuclease per A260 absorbance,168,LB,,subtilis,type strain of Bacillus subtilis,,GSM872395
