Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,genotype,age,tissue,cell line,shRNA,subcellular fraction,biomaterial provider,sex,clip antibody,GEO Accession
SRR533609,14886396,744319800,50,367,SRX174015,GSM981180: brainKOa,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353213,SAMN01103292,simple,10090,Mus musculus,GSM981180,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOa,"whole brain, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole brain,,,,,,,GSM981180
SRR533610,14322951,716147550,50,332,SRX174016,GSM981181: brainKOb,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353214,SAMN01103293,simple,10090,Mus musculus,GSM981181,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOb,"whole brain, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole brain,,,,,,,GSM981181
SRR533611,14983574,749178700,50,386,SRX174016,GSM981181: brainKOb,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353214,SAMN01103293,simple,10090,Mus musculus,GSM981181,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOb,"whole brain, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole brain,,,,,,,GSM981182
SRR533612,16950321,847516050,50,489,SRX174017,GSM981182: brainKOc,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353215,SAMN01103294,simple,10090,Mus musculus,GSM981182,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOc,"whole brain, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole brain,,,,,,,GSM981183
SRR533613,15103450,755172500,50,398,SRX174017,GSM981182: brainKOc,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353215,SAMN01103294,simple,10090,Mus musculus,GSM981182,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOc,"whole brain, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole brain,,,,,,,GSM981184
SRR533614,13680155,684007750,50,367,SRX174018,GSM981183: brainKOd,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353216,SAMN01103295,simple,10090,Mus musculus,GSM981183,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOd,"whole brain, WT",129/SvJ,wildtype,16 weeks,whole brain,,,,,,,GSM981185
SRR533615,15155049,757752450,50,402,SRX174018,GSM981183: brainKOd,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353216,SAMN01103295,simple,10090,Mus musculus,GSM981183,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOd,"whole brain, WT",129/SvJ,wildtype,16 weeks,whole brain,,,,,,,GSM981186
SRR533616,13044575,652228750,50,299,SRX174019,GSM981184: brainKOe,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353217,SAMN01103296,simple,10090,Mus musculus,GSM981184,GEO,SRA056973,08,2012,Wang,"whole brain, Mbnl1 KO",brainKOe,"whole brain, WT",129/SvJ,wildtype,16 weeks,whole brain,,,,,,,GSM981187
SRR533617,13934032,696701600,50,318,SRX174020,GSM981185: brainWT1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353218,SAMN01103297,simple,10090,Mus musculus,GSM981185,GEO,SRA056973,08,2012,Wang,"whole brain, WT",brainWT1,"whole brain, WT",129/SvJ,wildtype,16 weeks,whole brain,,,,,,,GSM981188
SRR533618,13981344,699067200,50,315,SRX174021,GSM981186: brainWT2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353219,SAMN01103298,simple,10090,Mus musculus,GSM981186,GEO,SRA056973,08,2012,Wang,"whole brain, WT",brainWT2,"whole brain, WT",129/SvJ,wildtype,16 weeks,whole brain,,,,,,,GSM981189
