Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cell-line
SRR619082,10167363,416861883,41,262,SRX205658,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017263,PRJNA181016,1,"",SRS376432,SAMN01816428,simple,9606,Homo sapiens,HEK293_CON_Rep1,Cornell University,SRA061778,07,2015,Makar,"",HEK293_CON_Rep1,human embryonic kidney 293
SRR619083,48902334,2347312032,48,1381,SRX205661,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376435,SAMN01816429,simple,9606,Homo sapiens,HEK293_CON_Rep2,Cornell University,SRA061778,01,2013,Makar,"",HEK293_CON_Rep2,human embryonic kidney 293
SRR619084,10921343,447775063,41,265,SRX205662,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017263,PRJNA181016,1,"",SRS376436,SAMN01816430,simple,9606,Homo sapiens,HEK293_AZC+MG132_Rep1,Cornell University,SRA061778,07,2015,Makar,"",HEK293_AZC+MG132_Rep1,human embryonic kidney 293
SRR619085,42857031,2057137488,48,1216,SRX205663,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376437,SAMN01816431,simple,9606,Homo sapiens,HEK293_AZC+MG132_Rep2,Cornell University,SRA061778,01,2013,Makar,"",HEK293_AZC+MG132_Rep2,human embryonic kidney 293
SRR619086,5553281,227684521,41,134,SRX205664,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017263,PRJNA181016,1,"",SRS376438,SAMN01816432,simple,9606,Homo sapiens,HEK293_AZC,Cornell University,SRA061778,07,2015,Makar,"",HEK293_AZC,human embryonic kidney 293
SRR619087,10922721,447831561,41,261,SRX205665,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP017263,PRJNA181016,1,"",SRS376439,SAMN01816433,simple,9606,Homo sapiens,HEK293_MG132,Cornell University,SRA061778,07,2015,Makar,"",HEK293_MG132,human embryonic kidney 293
SRR619088,10086263,484140624,48,269,SRX205666,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376440,SAMN01816434,simple,9606,Homo sapiens,HEK293_DMSO,Cornell University,SRA061778,01,2013,Makar,"",HEK293_DMSO,human embryonic kidney 293
SRR619089,4286560,205754880,48,122,SRX205666,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376440,SAMN01816434,simple,9606,Homo sapiens,HEK293_DMSO,Cornell University,SRA061778,01,2013,Makar,"",HEK293_DMSO,human embryonic kidney 293
SRR619090,8919827,428151696,48,235,SRX205667,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376441,SAMN01816435,simple,9606,Homo sapiens,HEK293_VER,Cornell University,SRA061778,01,2013,Makar,"",HEK293_VER,human embryonic kidney 293
SRR619091,3924183,188360784,48,112,SRX205667,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376441,SAMN01816435,simple,9606,Homo sapiens,HEK293_VER,Cornell University,SRA061778,01,2013,Makar,"",HEK293_VER,human embryonic kidney 293
SRR619092,8469084,406516032,48,220,SRX205668,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376442,SAMN01816436,simple,9606,Homo sapiens,HEK293_PES,Cornell University,SRA061778,01,2013,Makar,"",HEK293_PES,human embryonic kidney 293
SRR619093,3737571,179403408,48,105,SRX205668,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376442,SAMN01816436,simple,9606,Homo sapiens,HEK293_PES,Cornell University,SRA061778,01,2013,Makar,"",HEK293_PES,human embryonic kidney 293
SRR619094,9294787,446149776,48,241,SRX205669,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017263,PRJNA181016,1,"",SRS376443,SAMN01816437,simple,9606,Homo sapiens,HEK293_GA,Cornell University,SRA061778,01,2013,Makar,"",HEK293_GA,HeLa-tTA
