Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,development stage,GEO Accession
SRR833339,24827590,993103600,40,362,SRX271001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415443,SAMN02054482,simple,6253,Ascaris suum,GSM1128027,GEO,SRA074218,07,2015,Wang,oocyte with wall,oocyte with wall,oocyte with wall,North American wild population,female germline,GSM1128027
SRR833340,25091999,1003679960,40,364,SRX271002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415444,SAMN02054483,simple,6253,Ascaris suum,GSM1128028,GEO,SRA074218,07,2015,Wang,zygotes from region 1 of uterus,zygote1,zygotes from region 1 of uterus,North American wild population,zygote,GSM1128028
SRR833341,20250666,810026640,40,287,SRX271003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415445,SAMN02054484,simple,6253,Ascaris suum,GSM1128029,GEO,SRA074218,07,2015,Wang,zygotes from region 2 of uterus,zygote2,zygotes from region 2 of uterus,North American wild population,zygote,GSM1128029
SRR833342,19735698,789427920,40,358,SRX271004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415446,SAMN02054485,simple,6253,Ascaris suum,GSM1128030,GEO,SRA074218,07,2015,Wang,zygotes from region 3 of uterus,zygote3,zygotes from region 3 of uterus,North American wild population,zygote,GSM1128030
SRR833343,27359674,1094386960,40,532,SRX271005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415447,SAMN02054486,simple,6253,Ascaris suum,GSM1128031,GEO,SRA074218,07,2015,Wang,zygotes from region 4 of uterus,zygote4,zygotes from region 4 of uterus,North American wild population,zygote,GSM1128031
SRR833344,20762959,830518360,40,293,SRX271006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415448,SAMN02054487,simple,6253,Ascaris suum,GSM1128032,GEO,SRA074218,07,2015,Wang,24hr (1-cell) embryos,24hr (1-cell) embryos,24hr (1-cell) embryos,North American wild population,embryo,GSM1128032
SRR833345,28742171,1149686840,40,448,SRX271007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415449,SAMN02054488,simple,6253,Ascaris suum,GSM1128033,GEO,SRA074218,07,2015,Wang,46hr (1-2-cell) embryos,46hr (1-2-cell) embryos,46hr (1-2-cell) embryos,North American wild population,embryo,GSM1128033
SRR833346,19565188,782607520,40,298,SRX271008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415450,SAMN02054489,simple,6253,Ascaris suum,GSM1128034,GEO,SRA074218,07,2015,Wang,64hr (2-4-cell) embryos,64hr (2-4-cell) embryos,64hr (2-4-cell) embryos,North American wild population,embryo,GSM1128034
SRR833347,28319599,1132783960,40,434,SRX271009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415451,SAMN02054490,simple,6253,Ascaris suum,GSM1128035,GEO,SRA074218,07,2015,Wang,96hr (10-26-cell) embryos,96hr (10-26-cell) embryos,96hr (10-26-cell) embryos,North American wild population,embryo,GSM1128035
SRR833348,24800091,992003640,40,370,SRX271010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415452,SAMN02054491,simple,6253,Ascaris suum,GSM1128036,GEO,SRA074218,07,2015,Wang,116hr (32-64-cell) embryos,116hr (32-64-cell) embryos,116hr (32-64-cell) embryos,North American wild population,embryo,GSM1128036
SRR833349,30193723,1207748920,40,489,SRX271011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415453,SAMN02054492,simple,6253,Ascaris suum,GSM1128037,GEO,SRA074218,07,2015,Wang,7day (~256-cell) embryos,7D (~256-cell) embryos,7day (~256-cell) embryos,North American wild population,embryo,GSM1128037
SRR833350,24189297,967571880,40,377,SRX271012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415454,SAMN02054493,simple,6253,Ascaris suum,GSM1128038,GEO,SRA074218,07,2015,Wang,L1 larvae,L1,L1 larvae,North American wild population,larvae,GSM1128038
SRR833351,2108339,96983594,46,44,SRX271013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415455,SAMN02054494,simple,6253,Ascaris suum,GSM1128039,GEO,SRA074218,07,2015,Wang,L2 larvae,L2,L2 larvae,North American wild population,larvae,GSM1128039
SRR833352,17191114,773600130,45,502,SRX271014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415456,SAMN02054495,simple,6253,Ascaris suum,GSM1128040,GEO,SRA074218,01,2014,Wang,zygotes from region 4 of uterus,0day,zygotes from region 4 of uterus,North American wild population,zygote,GSM1128040
SRR833353,16767836,754552620,45,490,SRX271014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415456,SAMN02054495,simple,6253,Ascaris suum,GSM1128040,GEO,SRA074218,01,2014,Wang,zygotes from region 4 of uterus,0day,1day (1-cell) embryos,North American wild population,embryo,GSM1128041
SRR833354,7152647,321869115,45,206,SRX271014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415456,SAMN02054495,simple,6253,Ascaris suum,GSM1128040,GEO,SRA074218,01,2014,Wang,zygotes from region 4 of uterus,0day,3day (4-8-cell) embryos,North American wild population,embryo,GSM1128042
SRR833355,7454491,335452095,45,219,SRX271015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415457,SAMN02054496,simple,6253,Ascaris suum,GSM1128041,GEO,SRA074218,01,2014,Wang,1day (1-cell) embryos,1day,5day (32-64-cell) embryos,North American wild population,embryo,GSM1128043
SRR833356,6299512,283478040,45,182,SRX271015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415457,SAMN02054496,simple,6253,Ascaris suum,GSM1128041,GEO,SRA074218,01,2014,Wang,1day (1-cell) embryos,1day,7day (~256-cell) embryos,North American wild population,embryo,GSM1128044
SRR833357,5620568,252925560,45,166,SRX271015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415457,SAMN02054496,simple,6253,Ascaris suum,GSM1128041,GEO,SRA074218,01,2014,Wang,1day (1-cell) embryos,1day,"pooled sample from testis, ovary, zygotes, embryos, larvae, intestine, muscle and whole worm",North American wild population,mixed stages,GSM1128045
SRR833358,11241579,505871055,45,327,SRX271016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415458,SAMN02054497,simple,6253,Ascaris suum,GSM1128042,GEO,SRA074218,01,2014,Wang,3day (4-8-cell) embryos,3day,"pooled sample from testis, ovary, zygotes, embryos, larvae, intestine, muscle and whole worm",North American wild population,mixed stages,GSM1128046
SRR833359,13549827,609742215,45,382,SRX271016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415458,SAMN02054497,simple,6253,Ascaris suum,GSM1128042,GEO,SRA074218,01,2014,Wang,3day (4-8-cell) embryos,3day,oocyte with wall,North American wild population,female germline,GSM1264042
SRR833360,6149569,276730605,45,181,SRX271016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415458,SAMN02054497,simple,6253,Ascaris suum,GSM1128042,GEO,SRA074218,01,2014,Wang,3day (4-8-cell) embryos,3day,oocyte with wall,North American wild population,female germline,GSM1264043
SRR833361,6174425,277849125,45,189,SRX271017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415459,SAMN02054498,simple,6253,Ascaris suum,GSM1128043,GEO,SRA074218,01,2014,Wang,5day (32-64-cell) embryos,5day,oocyte,North American wild population,female germline,GSM1264044
SRR833362,4380708,197131860,45,131,SRX271017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415459,SAMN02054498,simple,6253,Ascaris suum,GSM1128043,GEO,SRA074218,01,2014,Wang,5day (32-64-cell) embryos,5day,oocyte,North American wild population,female germline,GSM1264045
SRR833363,2833579,127511055,45,87,SRX271017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415459,SAMN02054498,simple,6253,Ascaris suum,GSM1128043,GEO,SRA074218,01,2014,Wang,5day (32-64-cell) embryos,5day,zygotes from region 4 of uterus,North American wild population,zygote,GSM1264046
SRR833364,1549034,69706530,45,48,SRX271018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415460,SAMN02054499,simple,6253,Ascaris suum,GSM1128044,GEO,SRA074218,01,2014,Wang,7day (~256-cell) embryos,7day,zygotes from region 4 of uterus,North American wild population,zygote,GSM1264047
SRR833365,6938508,312232860,45,210,SRX271018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415460,SAMN02054499,simple,6253,Ascaris suum,GSM1128044,GEO,SRA074218,01,2014,Wang,7day (~256-cell) embryos,7day,64hr (2-4-cell) embryos,North American wild population,embryo,GSM1264048
SRR833366,2135536,96099120,45,67,SRX271018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021466,PRJNA198514,24374308,"",SRS415460,SAMN02054499,simple,6253,Ascaris suum,GSM1128044,GEO,SRA074218,01,2014,Wang,7day (~256-cell) embryos,7day,64hr (2-4-cell) embryos,North American wild population,embryo,GSM1264049
SRR833367,2982272,149113600,50,87,SRX271019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP021466,PRJNA198514,24374308,"",SRS415461,SAMN02054500,simple,6253,Ascaris suum,GSM1128045,GEO,SRA074218,07,2015,Wang,"pooled sample from testis, ovary, zygotes, embryos, larvae, intestine, muscle and whole worm",mix,oocyte with wall,North American wild population,female germline,GSM1128027
SRR833368,6432737,1942686574,151,1408,SRX271020,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP021466,PRJNA198514,24374308,"",SRS415462,SAMN02054501,simple,6253,Ascaris suum,GSM1128046,GEO,SRA074218,01,2014,Wang,"pooled sample from testis, ovary, zygotes, embryos, larvae, intestine, muscle and whole worm",mix (paired-end),zygotes from region 1 of uterus,North American wild population,zygote,GSM1128028
