Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,ph,time point,replicate,GEO Accession
SRR1654847,11576932,1180847064,51,666,SRX761372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745906,SAMN03198946,simple,5476,Candida albicans,GSM1547898,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY009,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T3 (52h),B,GSM1547898
SRR1654848,14788654,1508442708,51,912,SRX761373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745907,SAMN03198918,simple,5476,Candida albicans,GSM1547899,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY013,"Yeast cell culture, pH control",SC5314,HCl,5.5,T2 (28h),B,GSM1547899
SRR1654849,12373979,1262145858,51,770,SRX761374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745908,SAMN03198907,simple,5476,Candida albicans,GSM1547900,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY014,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T3 (52h),B,GSM1547900
SRR1654850,14037931,1431868962,51,868,SRX761375,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745910,SAMN03198921,simple,5476,Candida albicans,GSM1547901,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY015,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T2 (28h),B,GSM1547901
SRR1654851,15385721,1569343542,51,949,SRX761376,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745911,SAMN03198900,simple,5476,Candida albicans,GSM1547902,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY016,"Yeast cell culture, untreated control",SC5314,None,5.8,T3 (52h),B,GSM1547902
SRR1654852,19228486,1961305572,51,1188,SRX761377,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745909,SAMN03198898,simple,5476,Candida albicans,GSM1547903,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY017,"Yeast cell culture, untreated control",SC5314,None,5.8,T2 (28h),B,GSM1547903
SRR1654853,14528634,1481920668,51,898,SRX761378,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745912,SAMN03198941,simple,5476,Candida albicans,GSM1547904,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY018,"Yeast cell culture, pH control",SC5314,HCl,5.5,T3 (52h),B,GSM1547904
SRR1654854,12456418,1270554636,51,770,SRX761379,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745913,SAMN03198908,simple,5476,Candida albicans,GSM1547905,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY019,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T2 (28h),B,GSM1547905
SRR1654855,14045342,1432624884,51,872,SRX761380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745914,SAMN03198944,simple,5476,Candida albicans,GSM1547906,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY020,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T3 (52h),B,GSM1547906
SRR1654856,14501335,1479136170,51,895,SRX761381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745915,SAMN03198899,simple,5476,Candida albicans,GSM1547907,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY021,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T4 (76h),B,GSM1547907
SRR1654857,12133078,1237573956,51,757,SRX761382,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745916,SAMN03198920,simple,5476,Candida albicans,GSM1547908,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY022,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T2 (28h),B,GSM1547908
SRR1654858,14821583,1511801466,51,918,SRX761383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745917,SAMN03198906,simple,5476,Candida albicans,GSM1547909,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY023,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T2 (28h),B,GSM1547909
SRR1654859,11927046,1216558692,51,739,SRX761384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745918,SAMN03198911,simple,5476,Candida albicans,GSM1547910,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY024,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T3 (52h),B,GSM1547910
