Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cell_line,disease,label
SRR948150,1715389,50705790,29,39,SRX331754,P1_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948151,1625073,51136717,31,29,SRX331762,P2_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948152,1374373,43989124,32,25,SRX331763,P3_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948153,2380684,71940284,30,44,SRX331764,P4_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948156,1834526,54221492,29,42,SRX331765,C1_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR948157,1850829,56673275,30,42,SRX331824,C2_RPT,RNA-Seq,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR948158,3314524,100931153,30,59,SRX331825,C3_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR948159,3642642,107202839,29,67,SRX331826,C4_RPT,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR948502,67311581,6341151152,49,3122,SRX332171,P1_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948503,62299816,5863124988,49,2851,SRX332172,P1_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
