Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,growth protocol,GEO Accession
SRR1041180,28852119,1471458069,51,1030,SRX385551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509657,SAMN02428672,simple,6239,Caenorhabditis elegans,GSM1277145,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_12hr,Whole-worm,12 hours post-dauer,N2,Dauer-exit,GSM1277145
SRR1041181,29851506,1522426806,51,1068,SRX385552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509658,SAMN02428677,simple,6239,Caenorhabditis elegans,GSM1277146,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_13hr,Whole-worm,13 hours post-dauer,N2,Dauer-exit,GSM1277146
SRR1041182,26517354,1352385054,51,950,SRX385553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509659,SAMN02428681,simple,6239,Caenorhabditis elegans,GSM1277147,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_DauerExit_N2_14hr,Whole-worm,14 hours post-dauer,N2,Dauer-exit,GSM1277147
SRR1041151,28366105,1418305250,50,911,SRX385554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509660,SAMN02428650,simple,6239,Caenorhabditis elegans,GSM1277118,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_21hr,Whole-worm,22 hours,N2,Continuous,GSM1277118
SRR1041152,29590020,1479501000,50,952,SRX385555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509661,SAMN02428647,simple,6239,Caenorhabditis elegans,GSM1277119,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_22hr,Whole-worm,23 hours,N2,Continuous,GSM1277119
SRR1041153,31034226,1551711300,50,1000,SRX385556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509662,SAMN02428649,simple,6239,Caenorhabditis elegans,GSM1277120,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_23hr,Whole-worm,24 hours,N2,Continuous,GSM1277120
SRR1041154,23339898,1166994900,50,755,SRX385557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509663,SAMN02428654,simple,6239,Caenorhabditis elegans,GSM1277121,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_24hr,Whole-worm,25 hours,N2,Continuous,GSM1277121
SRR1041155,36666104,1833305200,50,1179,SRX385558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509664,SAMN02428653,simple,6239,Caenorhabditis elegans,GSM1277122,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_25hr,Whole-worm,26 hours,N2,Continuous,GSM1277122
SRR1041156,31313145,1565657250,50,1014,SRX385559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509665,SAMN02428660,simple,6239,Caenorhabditis elegans,GSM1277123,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_26hr,Whole-worm,27 hours,N2,Continuous,GSM1277123
SRR1041157,31452680,1572634000,50,1014,SRX385560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509666,SAMN02428652,simple,6239,Caenorhabditis elegans,GSM1277124,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_27hr,Whole-worm,28 hours,N2,Continuous,GSM1277124
SRR1041158,26620501,1331025050,50,860,SRX385561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509667,SAMN02428656,simple,6239,Caenorhabditis elegans,GSM1277125,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_28hr,Whole-worm,29 hours,N2,Continuous,GSM1277125
SRR1041159,33680534,1684026700,50,1085,SRX385562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509668,SAMN02428655,simple,6239,Caenorhabditis elegans,GSM1277126,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_29hr,Whole-worm,30 hours,N2,Continuous,GSM1277126
SRR1041160,37579129,1878956450,50,1202,SRX385563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509669,SAMN02428658,simple,6239,Caenorhabditis elegans,GSM1277127,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_30hr,Whole-worm,31 hours,N2,Continuous,GSM1277127
SRR1041161,33694850,1684742500,50,1084,SRX385564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509670,SAMN02428657,simple,6239,Caenorhabditis elegans,GSM1277128,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_31hr,Whole-worm,32 hours,N2,Continuous,GSM1277128
SRR1041162,43762444,2188122200,50,1403,SRX385565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509671,SAMN02428659,simple,6239,Caenorhabditis elegans,GSM1277129,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_32hr,Whole-worm,33 hours,N2,Continuous,GSM1277129
SRR1041163,44079707,2203985350,50,1412,SRX385566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509672,SAMN02428661,simple,6239,Caenorhabditis elegans,GSM1277130,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_33hr,Whole-worm,34 hours,N2,Continuous,GSM1277130
SRR1041164,50000000,2.5e+09,50,1596,SRX385567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033410,PRJNA230374,24440504,"",SRS509673,SAMN02428665,simple,6239,Caenorhabditis elegans,GSM1277131,GEO,SRA115005,03,2014,Hendriks,Whole-worm,RNASeq_polyA_contDevA_N2_34hr,Whole-worm,35 hours,N2,Continuous,GSM1277131
