Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,media,substrain,GEO Accession
SRR1067765,30562326,1528116300,50,984,SRX403935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523651,SAMN02566834,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300279,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in rich defined media,bacteria,K-12,fully supplemented MOPS glucose media,MG1655,GSM1300279
SRR1067766,163797786,8353687086,51,5482,SRX403935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523651,SAMN02566834,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300279,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in rich defined media,bacteria,K-12,minimal MOPS glucose media,MG1655,GSM1300280
SRR1067767,60601845,3090694095,51,1923,SRX403935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523651,SAMN02566834,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300279,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in rich defined media,bacteria,K-12,minimal MOPS glucose media,MG1655,GSM1300281
SRR1067768,141202340,7201319340,51,4722,SRX403935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523651,SAMN02566834,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300279,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in rich defined media,bacteria,K-12,fully supplemented MOPS glucose media,MG1655,GSM1300282
SRR1067769,88792279,4528406229,51,2845,SRX403936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP034871,PRJNA232843,24766808,"",SRS523650,SAMN02566832,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300280,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in minimal media 1,bacteria,K-12,fully supplemented MOPS glucose media,MG1655,GSM1300279
SRR1067770,41605070,2121858570,51,1359,SRX403936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP034871,PRJNA232843,24766808,"",SRS523650,SAMN02566832,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300280,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in minimal media 1,bacteria,K-12,minimal MOPS glucose media,MG1655,GSM1300280
SRR1067771,65430349,3336947799,51,2005,SRX403937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP034871,PRJNA232843,24766808,"",SRS523652,SAMN02566833,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300281,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in minimal media 2,bacteria,K-12,minimal MOPS glucose media,MG1655,GSM1300281
SRR1067772,70786149,3610093599,51,2474,SRX403937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP034871,PRJNA232843,24766808,"",SRS523652,SAMN02566833,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300281,GEO,SRA122790,04,2014,Li,bacteria,ribosome profiling in minimal media 2,bacteria,K-12,fully supplemented MOPS glucose media,MG1655,GSM1300282
SRR1067773,23326005,1166300250,50,815,SRX403938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523653,SAMN02566835,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300282,GEO,SRA122790,07,2015,Li,bacteria,mRNA-seq in rich defined media,bacteria,K-12,fully supplemented MOPS glucose media,MG1655,GSM1300279
SRR1067774,34490679,1724533950,50,1160,SRX403938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034871,PRJNA232843,24766808,"",SRS523653,SAMN02566835,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1300282,GEO,SRA122790,07,2015,Li,bacteria,mRNA-seq in rich defined media,bacteria,K-12,minimal MOPS glucose media,MG1655,GSM1300280
