Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,investigation_type,strain,sample_type,BioSampleModel
SRR1200750,7139565,212939236,29,96,SRX490875,Wildtype footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS574172,SAMN02689369,simple,562,Escherichia coli,WT,The Ohio State University,SRA145817,08,2014,Makar,"","",bacteria_archaea,"BW25113, CGSC#: 7636",missing,"Microbe, viral or environmental"
SRR1200751,8769881,256965833,29,116,SRX490875,Wildtype footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS574172,SAMN02689369,simple,562,Escherichia coli,WT,The Ohio State University,SRA145817,08,2014,Makar,"","",bacteria_archaea,BW2511 _efp with pBAD30-efp,missing,"Microbe, viral or environmental"
SRR1200738,7263033,203161550,27,90,SRX492695,Complemented footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575827,SAMN02689371,simple,562,Escherichia coli,Comp,The Ohio State University,SRA146234,08,2014,Makar,"","",bacteria_archaea,BW25113 _efp,missing,"Microbe, viral or environmental"
SRR1200739,10452140,307223130,29,140,SRX492695,Complemented footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575827,SAMN02689371,simple,562,Escherichia coli,Comp,The Ohio State University,SRA146234,08,2014,Makar,"","",bacteria_archaea,BW25113 _efp,missing,"Microbe, viral or environmental"
SRR1200730,10558976,300898660,28,135,SRX492696,Mutant footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575828,SAMN02689370,simple,562,Escherichia coli,Mut,The Ohio State University,SRA146235,08,2014,Makar,"","",bacteria_archaea,BW2511 _efp with pBAD30-efp,missing,"Microbe, viral or environmental"
SRR1200731,8589645,253559236,29,114,SRX492696,Mutant footprints,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575828,SAMN02689370,simple,562,Escherichia coli,Mut,The Ohio State University,SRA146235,08,2014,Makar,"","",bacteria_archaea,"BW25113, CGSC#: 7636",missing,"Microbe, viral or environmental"
SRR1200735,11956094,341473818,28,170,SRX497494,Mutant fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575828,SAMN02689370,simple,562,Escherichia coli,Mut,The Ohio State University,SRA146235,08,2014,Makar,"","",bacteria_archaea,"BW25113, CGSC#: 7636",missing,"Microbe, viral or environmental"
SRR1200736,10003160,303372729,30,149,SRX497494,Mutant fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575828,SAMN02689370,simple,562,Escherichia coli,Mut,The Ohio State University,SRA146235,08,2014,Makar,"","",bacteria_archaea,BW2511 _efp with pBAD30-efp,missing,"Microbe, viral or environmental"
SRR1200740,11637378,347212174,29,172,SRX497498,Complemented fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575827,SAMN02689371,simple,562,Escherichia coli,Comp,The Ohio State University,SRA146234,08,2014,Makar,"","",bacteria_archaea,BW25113 _efp,missing,"Microbe, viral or environmental"
SRR1200741,10627952,318087066,29,159,SRX497498,Complemented fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS575827,SAMN02689371,simple,562,Escherichia coli,Comp,The Ohio State University,SRA146234,08,2014,Makar,"","",bacteria_archaea,BW25113 _efp,missing,"Microbe, viral or environmental"
SRR1200755,8372557,246917814,29,125,SRX497502,Wildtype fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS574172,SAMN02689369,simple,562,Escherichia coli,WT,The Ohio State University,SRA145817,08,2014,Makar,"","",bacteria_archaea,BW2511 _efp with pBAD30-efp,missing,"Microbe, viral or environmental"
SRR1200756,5856785,176001243,30,88,SRX497502,Wildtype fragmented mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP040142,PRJNA241328,1,"",SRS574172,SAMN02689369,simple,562,Escherichia coli,WT,The Ohio State University,SRA145817,08,2014,Makar,"","",bacteria_archaea,"BW25113, CGSC#: 7636",missing,"Microbe, viral or environmental"
