Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,Stage,tissue,GEO Accession
SRR1210097,18707473,654761555,35,439,SRX504606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584347,SAMN02712367,simple,7091,Bombyx mori,GSM1360109,GEO,SRA149934,08,2014,Li,Posterior silk gland,Q1,Posterior silk gland,Qiufeng,fourth instar molting to day 2 of fifth instar,Posterior silk gland,GSM1360109
SRR1210098,18633295,652165325,35,572,SRX504607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584348,SAMN02712368,simple,7091,Bombyx mori,GSM1360110,GEO,SRA149934,07,2015,Li,Posterior silk gland,Q2,Posterior silk gland,Qiufeng,fifth instar day 3 to day 8 before spinning,Posterior silk gland,GSM1360110
SRR1210099,18556476,649476660,35,570,SRX504608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584350,SAMN02712373,simple,7091,Bombyx mori,GSM1360111,GEO,SRA149934,07,2015,Li,Posterior silk gland,B1,Posterior silk gland,Baiyu,fourth instar molting to day 2 of fifth instar,Posterior silk gland,GSM1360111
SRR1210100,18499427,647479945,35,567,SRX504609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584349,SAMN02712369,simple,7091,Bombyx mori,GSM1360112,GEO,SRA149934,07,2015,Li,Posterior silk gland,B2,Posterior silk gland,Baiyu,fifth instar day 3 to day 8 before spinning,Posterior silk gland,GSM1360112
SRR1210101,17947940,628177900,35,545,SRX504610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584352,SAMN02712380,simple,7091,Bombyx mori,GSM1360113,GEO,SRA149934,07,2015,Li,Posterior silk gland,QB1,Posterior silk gland,Qiufeng×Baiyu,fourth instar molting to day 2 of fifth instar,Posterior silk gland,GSM1360113
SRR1210102,16942708,592994780,35,527,SRX504611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584351,SAMN02712371,simple,7091,Bombyx mori,GSM1360114,GEO,SRA149934,07,2015,Li,Posterior silk gland,QB2,Posterior silk gland,Qiufeng×Baiyu,fifth instar day 3 to day 8 before spinning,Posterior silk gland,GSM1360114
SRR1210103,17449851,610744785,35,532,SRX504612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584353,SAMN02712370,simple,7091,Bombyx mori,GSM1360115,GEO,SRA149934,07,2015,Li,Posterior silk gland,BQ1,Posterior silk gland,Baiyu×Qiufeng,fourth instar molting to day 2 of fifth instar,Posterior silk gland,GSM1360115
SRR1210104,17905942,626707970,35,545,SRX504613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584354,SAMN02712382,simple,7091,Bombyx mori,GSM1360116,GEO,SRA149934,07,2015,Li,Posterior silk gland,BQ2,Posterior silk gland,Baiyu×Qiufeng,fifth instar day 3 to day 8 before spinning,Posterior silk gland,GSM1360116
SRR1210105,10508573,420342920,40,310,SRX504614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584355,SAMN02712377,simple,7091,Bombyx mori,GSM1360117,GEO,SRA149934,07,2015,Li,Posterior silk gland,R1,Posterior silk gland,R1,fourth instar molting to day 8 before spinning,Posterior silk gland,GSM1360117
SRR1210106,12079631,483185240,40,350,SRX504615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP040738,PRJNA243072,24885170,"",SRS584356,SAMN02712374,simple,7091,Bombyx mori,GSM1360118,GEO,SRA149934,07,2015,Li,Posterior silk gland,J1,Posterior silk gland,J1,fourth instar molting to day 8 before spinning,Posterior silk gland,GSM1360118
