Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,GEO Accession
SRR1363412,34687486,1734374300,50,1071,SRX581790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043036,PRJNA251988,24842990,"",SRS630457,SAMN02846423,simple,4932,Saccharomyces cerevisiae,GSM1406453,GEO,SRA169702,06,2014,Lareau,Untreated,Untreated replicate 1,Untreated,BY4741,untreated,GSM1406453
SRR1363413,35838179,1791908950,50,1111,SRX581791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043036,PRJNA251988,24842990,"",SRS630458,SAMN02846427,simple,4932,Saccharomyces cerevisiae,GSM1406454,GEO,SRA169702,06,2014,Lareau,Untreated,Untreated replicate 2,Untreated,BY4741,untreated,GSM1406454
SRR1363414,54362276,1957041936,36,1147,SRX581792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630462,SAMN02846425,simple,4932,Saccharomyces cerevisiae,GSM1406455,GEO,SRA169702,06,2014,Lareau,Untreated,Untreated replicate 3,Untreated,BY4741,untreated,GSM1406455
SRR1363415,37118778,1855938900,50,1157,SRX581793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043036,PRJNA251988,24842990,"",SRS630459,SAMN02846426,simple,4932,Saccharomyces cerevisiae,GSM1406456,GEO,SRA169702,06,2014,Lareau,Cycloheximide,Cycloheximide replicate 1,Cycloheximide,BY4741,cycloheximide,GSM1406456
SRR1363416,42687478,3244248328,76,1661,SRX581794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630464,SAMN02846428,simple,4932,Saccharomyces cerevisiae,GSM1406457,GEO,SRA169702,06,2014,Lareau,Cycloheximide,Cycloheximide replicate 2,Cycloheximide,BY4741,cycloheximide,GSM1406457
SRR1363417,34177965,1708898250,,1057,SRX581795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043036,PRJNA251988,24842990,"",SRS630460,SAMN02846429,simple,4932,Saccharomyces cerevisiae,GSM1406458,GEO,SRA169702,06,2014,Lareau,Anisomycin,Anisomycin replicate 1A,Anisomycin,BY4741,anisomycin,GSM1406458
SRR1363418,43873045,2193652250,50,1361,SRX581796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043036,PRJNA251988,24842990,"",SRS630461,SAMN02846431,simple,4932,Saccharomyces cerevisiae,GSM1406459,GEO,SRA169702,06,2014,Lareau,Anisomycin,Anisomycin replicate 1B,Anisomycin,BY4741,anisomycin,GSM1406459
SRR1363419,39863777,1435095972,36,719,SRX581797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630467,SAMN02846434,simple,4932,Saccharomyces cerevisiae,GSM1406460,GEO,SRA169702,06,2014,Lareau,Anisomycin,Anisomycin replicate 2,Anisomycin,BY4741,anisomycin,GSM1406460
SRR1363420,29962358,1078644888,36,530,SRX581798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630463,SAMN02846450,simple,4932,Saccharomyces cerevisiae,GSM1406461,GEO,SRA169702,06,2014,Lareau,"3-AT treatment, 10 min","3-AT treatment, 10 min","3-AT treatment, 10 min",S288C,3-aminotriazole,GSM1406461
SRR1363421,39743364,1430761104,36,748,SRX581798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630463,SAMN02846450,simple,4932,Saccharomyces cerevisiae,GSM1406461,GEO,SRA169702,06,2014,Lareau,"3-AT treatment, 10 min","3-AT treatment, 10 min","3-AT treatment, 60 min",S288C,3-aminotriazole,GSM1406462
SRR1363422,41328353,1487820708,36,756,SRX581799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630465,SAMN02846432,simple,4932,Saccharomyces cerevisiae,GSM1406462,GEO,SRA169702,06,2014,Lareau,"3-AT treatment, 60 min","3-AT treatment, 60 min",Untreated,BY4741,untreated,GSM1406453
SRR1363423,45417718,1635037848,36,883,SRX581799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP043036,PRJNA251988,24842990,"",SRS630465,SAMN02846432,simple,4932,Saccharomyces cerevisiae,GSM1406462,GEO,SRA169702,06,2014,Lareau,"3-AT treatment, 60 min","3-AT treatment, 60 min",Untreated,BY4741,untreated,GSM1406454
