Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,Stage,strain,GEO Accession
SRR1378555,147045100,7352255000,50,4977,SRX590167,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634419,SAMN02850770,simple,5833,Plasmodium falciparum,GSM1410291,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_1,P. falciparum parasites,Rings,W2,GSM1410291
SRR2014721,66957807,3414848157,51,2234,SRX590167,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634419,SAMN02850770,simple,5833,Plasmodium falciparum,GSM1410291,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_1,P. falciparum parasites,Early Trophozoites,W2,GSM1410292
SRR1378556,111520250,5576012500,50,3707,SRX590168,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634420,SAMN02850779,simple,5833,Plasmodium falciparum,GSM1410292,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_2,P. falciparum parasites,Late Trophozoites,W2,GSM1410293
SRR2014722,47932545,2444559795,51,1674,SRX590168,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634420,SAMN02850779,simple,5833,Plasmodium falciparum,GSM1410292,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_2,P. falciparum parasites,Schizonts,W2,GSM1410294
SRR1378557,111270160,5563508000,50,3695,SRX590169,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634421,SAMN02850773,simple,5833,Plasmodium falciparum,GSM1410293,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_3,P. falciparum parasites,Merozoites,W2,GSM1410295
SRR2014723,76423453,3897596103,51,2345,SRX590169,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634421,SAMN02850773,simple,5833,Plasmodium falciparum,GSM1410293,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_3,P. falciparum parasites,Rings,W2,GSM1410296
SRR1378558,77400534,3947427234,51,2551,SRX590170,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634422,SAMN02850771,simple,5833,Plasmodium falciparum,GSM1410294,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_4,P. falciparum parasites,Early Trophozoites,W2,GSM1410297
SRR2014724,91157960,4649055960,51,2951,SRX590170,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634422,SAMN02850771,simple,5833,Plasmodium falciparum,GSM1410294,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_4,P. falciparum parasites,Late Trophozoites,W2,GSM1410298
SRR1378559,153150403,10720528210,70,5989,SRX590171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634423,SAMN02850777,simple,5833,Plasmodium falciparum,GSM1410295,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_5,P. falciparum parasites,Schizonts,W2,GSM1410299
SRR2014725,65705200,3350965200,51,1844,SRX590171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634423,SAMN02850777,simple,5833,Plasmodium falciparum,GSM1410295,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,mRNA_5,P. falciparum parasites,Merozoites,W2,GSM1410300
