Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,lentivirally transduced transgenes,strain,GEO Accession
SRR1562873,29344910,1496590410,51,900,SRX691025,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693492,SAMN03015578,simple,4932,Saccharomyces cerevisiae,GSM1495501,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_input,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495501
SRR1562874,29348823,1496789973,51,901,SRX691025,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693492,SAMN03015578,simple,4932,Saccharomyces cerevisiae,GSM1495501,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_input,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495502
SRR1562875,28158219,1436069169,51,1061,SRX691025,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693492,SAMN03015578,simple,4932,Saccharomyces cerevisiae,GSM1495501,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_input,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495503
SRR1562876,29233089,1490887539,51,901,SRX691026,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693493,SAMN03015579,simple,4932,Saccharomyces cerevisiae,GSM1495502,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_pulldown,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495504
SRR1562877,29313130,1494969630,51,903,SRX691026,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693493,SAMN03015579,simple,4932,Saccharomyces cerevisiae,GSM1495502,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_pulldown,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495501
SRR1562878,23223685,1184407935,51,861,SRX691026,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693493,SAMN03015579,simple,4932,Saccharomyces cerevisiae,GSM1495502,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_+CHX_2minBiotin_pulldown,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495502
SRR1562879,31313132,1596969732,51,1054,SRX691027,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693494,SAMN03015580,simple,4932,Saccharomyces cerevisiae,GSM1495503,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_-CHX_2minBiotin_input,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495503
SRR1562880,30801702,1570886802,51,995,SRX691027,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693494,SAMN03015580,simple,4932,Saccharomyces cerevisiae,GSM1495503,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_-CHX_2minBiotin_input,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495504
SRR1562881,33969400,1732439400,51,1110,SRX691028,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693495,SAMN03015581,simple,4932,Saccharomyces cerevisiae,GSM1495504,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_-CHX_2minBiotin_pulldown,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495501
SRR1562882,40766410,2079086910,51,1292,SRX691028,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046015,PRJNA260072,25378630,"",SRS693495,SAMN03015581,simple,4932,Saccharomyces cerevisiae,GSM1495504,GEO,SRA181104,11,2014,Jan,S288C,Om45mVenusBirA_-CHX_2minBiotin_pulldown,S288C,om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3Δ0 met15Δ0 his3Δ1,n/a,S288C,GSM1495502
