Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,GEO Accession
SRR1573930,216597503,10829875150,50,7346,SRX699958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700239,SAMN03067401,simple,9606,Homo sapiens,GSM1503433,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_dmso_1hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,DMSO for 1 hour,GSM1503433
SRR1573931,224915719,11245785950,50,7653,SRX699959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700240,SAMN03067402,simple,9606,Homo sapiens,GSM1503434,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_dmso_2hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,DMSO for 2 hours,GSM1503434
SRR1573932,219904127,10995206350,50,7329,SRX699960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700241,SAMN03067403,simple,9606,Homo sapiens,GSM1503435,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_silvestrol_1hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,25 nM Silvestrol for 1 hour,GSM1503435
SRR1573933,164084745,8204237250,50,5275,SRX699961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700242,SAMN03067404,simple,9606,Homo sapiens,GSM1503436,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_silvestrol_2hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,25 nM Silvestrol for 1 hour,GSM1503436
SRR1573934,220919185,11045959250,50,7590,SRX699962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700243,SAMN03067405,simple,9606,Homo sapiens,GSM1503437,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_untreated,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,untreated,GSM1503437
SRR1573935,210008365,10500418250,50,6811,SRX699963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700244,SAMN03067406,simple,9606,Homo sapiens,GSM1503438,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,mRNA_dmso_2hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,untreated,GSM1503438
SRR1573936,91843210,4684003710,51,2603,SRX699964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700245,SAMN03067407,simple,9606,Homo sapiens,GSM1503439,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,mRNA_silvestrol_2hr,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,25 nM Silvestrol for 2 hours,GSM1503439
SRR1573937,68204426,3478425726,51,2037,SRX699965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700246,SAMN03067408,simple,9606,Homo sapiens,GSM1503440,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_dmso_2hr_br,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,DMSO for 2 hours,GSM1503440
SRR1573938,74824980,3816073980,51,2229,SRX699966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700247,SAMN03067409,simple,9606,Homo sapiens,GSM1503441,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_silvestrol_2hr_br,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,25 nM Silvestrol for 2 hours,GSM1503441
SRR1573939,387551359,19765119309,51,8889,SRX699967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP047065,PRJNA260909,25273840,"",SRS700248,SAMN03067410,simple,9606,Homo sapiens,GSM1503442,GEO,SRA184146,10,2014,Rubio,Breast cancer cells,FP_dmso,Breast cancer cells,MDA-MB-231,Ductal breast carcinoma,DMSO for 2 hours,GSM1503442
