Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,biomaterial_provider,gender,cell line,cell type,enrichment type,molecule subtype,GEO Accession
SRR1585486,24004434,686044892,28,492,SRX709829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708846,SAMN03079248,simple,9606,Homo sapiens,GSM1513187,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18486,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18486,male,GM18486,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513187
SRR1585487,18542777,530104470,28,380,SRX709830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708848,SAMN03079249,simple,9606,Homo sapiens,GSM1513188,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18498,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18498,male,GM18498,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513188
SRR1585488,39157230,1114577006,28,862,SRX709831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708847,SAMN03079250,simple,9606,Homo sapiens,GSM1513189,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18499,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18499,female,GM18499,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513189
SRR1585489,27226362,773842938,28,552,SRX709832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708849,SAMN03079251,simple,9606,Homo sapiens,GSM1513190,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18501,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18501,male,GM18501,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513190
SRR1585490,33602305,939128268,27,724,SRX709833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708850,SAMN03079252,simple,9606,Homo sapiens,GSM1513191,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18502,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18502,female,GM18502,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513191
SRR1585491,31709360,883471833,27,635,SRX709834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708851,SAMN03079253,simple,9606,Homo sapiens,GSM1513192,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18504,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18504,male,GM18504,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513192
SRR1585492,38133790,1053712017,27,833,SRX709835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708852,SAMN03079254,simple,9606,Homo sapiens,GSM1513193,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18505,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18505,female,GM18505,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513193
SRR1585493,22433907,652104451,29,502,SRX709836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708853,SAMN03079255,simple,9606,Homo sapiens,GSM1513194,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18507,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18507,male,GM18507,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513194
SRR1585494,33869788,968089597,28,742,SRX709837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708854,SAMN03079256,simple,9606,Homo sapiens,GSM1513195,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18508,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18508,female,GM18508,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513195
SRR1585495,12356629,347593997,28,252,SRX709838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708856,SAMN03079257,simple,9606,Homo sapiens,GSM1513196,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18510,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18510,male,GM18510,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513196
