Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,collection_date,geo_loc_name,isolation_source,sample_type,BioSampleModel
SRR1613243,18628176,931408800,50,574,SRX732883,A1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS721666,SAMN03106130,simple,562,Escherichia coli,LepA study WT replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 1,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613244,24752684,1237634200,50,757,SRX733564,A2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722105,SAMN03106133,simple,562,Escherichia coli,LepA study WT replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 2,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613245,28402569,1420128450,50,868,SRX733565,A3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722106,SAMN03107813,simple,562,Escherichia coli,LepA study WT replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 3,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613246,15997516,799875800,50,491,SRX733566,A4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722107,SAMN03106131,simple,562,Escherichia coli,LepA study M replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 1,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613248,18840135,942006750,50,580,SRX733567,A5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722108,SAMN03106134,simple,562,Escherichia coli,LepA study M replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 2,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613259,8536292,426814600,50,261,SRX733578,A6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722119,SAMN03107814,simple,562,Escherichia coli,LepA study M replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pWSK29) (LepA mutant) replicate 3,KLF2604 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613260,21796042,1089802100,50,667,SRX733579,A7,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722120,SAMN03106132,simple,562,Escherichia coli,LepA study C replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 1,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613261,15623902,781195100,50,480,SRX733580,A8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722121,SAMN03106135,simple,562,Escherichia coli,LepA study C replicate 2,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 2,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613262,7700109,385005450,50,236,SRX733581,A9,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS722122,SAMN03107815,simple,562,Escherichia coli,LepA study C replicate 3,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli KLF2604 (pLEPA) (complemented) replicate 3,KLF2604 (pLEPA),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
SRR1613263,23558119,1177905950,50,887,SRX733582,C1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP048921,PRJNA263742,1,"",SRS721666,SAMN03106130,simple,562,Escherichia coli,LepA study WT replicate 1,Ohio State University,SRA190684,03,2015,Makar,"",Escherichia coli BW25113 (pWSK29) replicate 1,BW25113 (pWSK29),2013,USA: Ohio,laboratory culture,missing,"Microbe, viral or environmental"
