Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_type,sample_type,treatment,BioSampleModel
SRR1640905,153324075,7666203750,50,4488,SRX751187,GM10847_Rep1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS736936,SAMN03161728,simple,9606,Homo sapiens,GM10847_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM10847,Rep1,Ribosome Profiling,Human
SRR1640906,98126929,3532569444,36,1896,SRX751545,GM18501_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737167,SAMN03161741,simple,9606,Homo sapiens,GM18501_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18501,Rep1,Ribosome Profiling,Human
SRR1640907,102081758,3674943288,36,1991,SRX751546,GM18501_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737168,SAMN03161740,simple,9606,Homo sapiens,GM18501_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18501,Rep2,Ribosome Profiling,Human
SRR1640908,103804301,3736954836,36,2018,SRX751548,SAMN03161738,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737169,SAMN03161738,simple,9606,Homo sapiens,GM18499_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18499,Rep2,Ribosome Profiling,Human
SRR1640910,121795163,4384625868,36,2460,SRX751549,GM19193_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737171,SAMN03161768,simple,9606,Homo sapiens,GM19193_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19193,Rep1,Ribosome Profiling,Human
SRR1640911,206690852,7440870672,36,4807,SRX751550,GM18522_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737172,SAMN03161750,simple,9606,Homo sapiens,GM18522_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18522,Rep2,Ribosome Profiling,Human
SRR1640912,215972689,7775016804,36,5153,SRX751551,GM19137_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737173,SAMN03161763,simple,9606,Homo sapiens,GM19137_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19137,Rep1,Ribosome Profiling,Human
SRR1640913,183144672,6593208192,36,4120,SRX751553,GM19098_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737175,SAMN03161760,simple,9606,Homo sapiens,GM19098_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19098,Rep1,Ribosome Profiling,Human
SRR1640915,191637797,6898960692,36,4361,SRX751554,GM18522_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737176,SAMN03161749,simple,9606,Homo sapiens,GM18522_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18522,Rep1,Ribosome Profiling,Human
SRR1640934,126802019,6340100950,50,3400,SRX751555,GM18511_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737177,SAMN03161747,simple,9606,Homo sapiens,GM18511_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18511,Rep1,Ribosome Profiling,Human
