Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,protocol,spike-in,media,strain background,genotype/variation,growth/culture condition,GEO Accession
SRR1646629,13395422,1165401714,43,588,SRX756027,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741244,SAMN03173317,simple,4932,Saccharomyces cerevisiae,GSM1541704,GEO,SRA200635,06,2015,Pelechano,monosome fraction; paired-end library,by_mono_1_p,monosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541704
SRR1646630,20363001,1771581087,43,918,SRX756028,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741246,SAMN03173316,simple,4932,Saccharomyces cerevisiae,GSM1541705,GEO,SRA200635,06,2015,Pelechano,polyribosome fraction; paired-end library,by_poly_1_p,polyribosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541705
SRR1646631,9404749,818213163,43,421,SRX756029,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741245,SAMN03173324,simple,4932,Saccharomyces cerevisiae,GSM1541706,GEO,SRA200635,06,2015,Pelechano,monosome fraction; paired-end library,by_mono_2_p,monosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541706
SRR1646632,634548,36169236,28,18,SRX756030,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741247,SAMN03173312,simple,4932,Saccharomyces cerevisiae,GSM1541707,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_1_p,grown in YPD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541707
SRR1646633,7635044,664248828,43,366,SRX756030,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741247,SAMN03173312,simple,4932,Saccharomyces cerevisiae,GSM1541707,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_1_p,grown in YPD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541708
SRR1646634,7267039,632232393,43,344,SRX756030,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741247,SAMN03173312,simple,4932,Saccharomyces cerevisiae,GSM1541707,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_1_p,5 min H2O2 stress; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541709
SRR1646635,890116,50736612,28,25,SRX756031,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741248,SAMN03173313,simple,4932,Saccharomyces cerevisiae,GSM1541708,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_2_p,5 min H2O2 stress; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541710
SRR1646636,10602610,922427070,43,505,SRX756031,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741248,SAMN03173313,simple,4932,Saccharomyces cerevisiae,GSM1541708,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_2_p,5 min CHX treatment; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541711
SRR1646637,10073143,876363441,43,474,SRX756031,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741248,SAMN03173313,simple,4932,Saccharomyces cerevisiae,GSM1541708,GEO,SRA200635,06,2015,Pelechano,grown in YPD; same paired-end library in 3 lanes,by_YPD_2_p,5 min CHX treatment; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541712
SRR1646638,737598,42043086,28,21,SRX756032,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741250,SAMN03173321,simple,4932,Saccharomyces cerevisiae,GSM1541709,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_1_p,grown in SD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,SD complete,,,,GSM1541713
SRR1646639,9084104,790317048,43,440,SRX756032,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741250,SAMN03173321,simple,4932,Saccharomyces cerevisiae,GSM1541709,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_1_p,grown in SD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,SD complete,,,,GSM1541714
SRR1646640,8608213,748914531,43,413,SRX756032,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741250,SAMN03173321,simple,4932,Saccharomyces cerevisiae,GSM1541709,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_1_p,xrn1 deletion; same paired-end library in 3 lanes,xrn1delta,"MATa; xrn1delta::kanMX4, BY4741 background",5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541715
SRR1646641,745588,42498516,28,21,SRX756033,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741249,SAMN03173322,simple,4932,Saccharomyces cerevisiae,GSM1541710,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_2_p,xrn1 deletion; same paired-end library in 3 lanes,xrn1delta,"MATa; xrn1delta::kanMX4, BY4741 background",5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541716
SRR1646642,8849239,769883793,43,425,SRX756033,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741249,SAMN03173322,simple,4932,Saccharomyces cerevisiae,GSM1541710,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_2_p,negative control; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541717
SRR1646643,8415494,732147978,43,399,SRX756033,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741249,SAMN03173322,simple,4932,Saccharomyces cerevisiae,GSM1541710,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress; same paired-end library in 3 lanes,by_H2O2_2_p,negative control; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541718
SRR1646644,704652,40165164,28,20,SRX756034,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741252,SAMN03173320,simple,4932,Saccharomyces cerevisiae,GSM1541711,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_1_p,negative control H2O2 stress; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541719
SRR1646645,8337235,725339445,43,408,SRX756034,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741252,SAMN03173320,simple,4932,Saccharomyces cerevisiae,GSM1541711,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_1_p,negative control H2O2 stress; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541720
SRR1646646,7918494,688908978,43,384,SRX756034,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741252,SAMN03173320,simple,4932,Saccharomyces cerevisiae,GSM1541711,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_1_p,pombe CHX treated; single-end read,h-,Schizosaccharomyces pombe (h-),5PSeq,IVTs,YES,,,,GSM1541721
SRR1646647,677965,38644005,28,19,SRX756035,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741251,SAMN03173314,simple,4932,Saccharomyces cerevisiae,GSM1541712,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_2_p,pombe CHX treated; single-end read,h-,Schizosaccharomyces pombe (h-),5PSeq,IVTs,YES,,,,GSM1541722
SRR1646648,8144677,708586899,43,393,SRX756035,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741251,SAMN03173314,simple,4932,Saccharomyces cerevisiae,GSM1541712,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_2_p,no H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541723
SRR1646649,7731738,672661206,43,369,SRX756035,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741251,SAMN03173314,simple,4932,Saccharomyces cerevisiae,GSM1541712,GEO,SRA200635,06,2015,Pelechano,5 min CHX treatment; same paired-end library in 3 lanes,by_chx_2_p,5 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541724
SRR1646650,661353,37697121,28,19,SRX756036,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741253,SAMN03173319,simple,4932,Saccharomyces cerevisiae,GSM1541713,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_1_p,30 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541725
SRR1646651,7817995,680165565,43,380,SRX756036,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741253,SAMN03173319,simple,4932,Saccharomyces cerevisiae,GSM1541713,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_1_p,no H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541726
SRR1646652,7437643,647074941,43,358,SRX756036,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741253,SAMN03173319,simple,4932,Saccharomyces cerevisiae,GSM1541713,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_1_p,5 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541727
SRR1646653,638297,36382929,28,18,SRX756037,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741254,SAMN03173315,simple,4932,Saccharomyces cerevisiae,GSM1541714,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_2_p,30 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541728
SRR1646654,7597218,660957966,43,370,SRX756037,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741254,SAMN03173315,simple,4932,Saccharomyces cerevisiae,GSM1541714,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_2_p,SD-His growth; single-end read,S96,"MATa; lys5delta gal2delta, S288c background",5PSeq,IVTs,SD-His,,,,GSM1541729
