Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,media,monosome purification,strain,substrain,GEO Accession
SRR1734430,57073261,2910736311,51,1794,SRX823692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803373,SAMN03272890,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572266,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,wt_mops_rep1,cell cultures,wild type,MOPS,sucrose gradient,K-12,MG1655,GSM1572266
SRR1734431,36899388,1881868788,51,1170,SRX823693,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803374,SAMN03272894,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572267,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,wt_mops_rep2,cell cultures,wild type,MOPS,sucrose gradient,K-12,MG1655,GSM1572267
SRR1734432,37688527,1922114877,51,1178,SRX823694,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803375,SAMN03272892,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572268,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,efp_mops_rep1,cell cultures,efp,MOPS,sucrose gradient,K-12,MG1655,GSM1572268
SRR1734433,47548131,2424954681,51,1487,SRX823695,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803376,SAMN03272893,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572269,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,efp_mops_rep2,cell cultures,efp,MOPS,sucrose gradient,K-12,MG1655,GSM1572269
SRR1734434,37868010,1931268510,51,1225,SRX823696,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803377,SAMN03272891,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572270,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,epmA_mops,cell cultures,epmA,MOPS,sucrose gradient,K-12,MG1655,GSM1572270
SRR1734435,39966531,2038293081,51,1291,SRX823697,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803378,SAMN03272900,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572271,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,epmB_mops,cell cultures,epmB,MOPS,sucrose gradient,K-12,MG1655,GSM1572271
SRR1734436,42211100,2152766100,51,1363,SRX823698,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803379,SAMN03272895,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572272,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,epmC_mops,cell cultures,epmC,MOPS,sucrose gradient,K-12,MG1655,GSM1572272
SRR1734437,64469767,3223488350,50,2128,SRX823699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803380,SAMN03272904,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572273,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,wt_lb_rep1,cell cultures,wild type,LB,sucrose gradient,K-12,MG1655,GSM1572273
SRR1734438,51236059,2561802950,50,1759,SRX823700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803381,SAMN03272903,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572274,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,efp_lb_rep1,cell cultures,efp,LB,sucrose gradient,K-12,MG1655,GSM1572274
SRR1734439,47811573,2390578650,50,1560,SRX823701,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051520,PRJNA271104,25843707,"",SRS803382,SAMN03272902,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1572275,GEO,SRA221081,03,2015,Woolstenhulme,cell cultures,wt_lb_rep2,cell cultures,wild type,LB,sucrose gradient,K-12,MG1655,GSM1572275
