Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,GEO Accession
SRR1795409,22950752,1147537600,50,735,SRX870796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841591,SAMN03334843,simple,9606,Homo sapiens,GSM1606099,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_untr_a,HEK293T,HEK293T,untreated,GSM1606099
SRR1795410,27110656,1355532800,50,931,SRX870796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841591,SAMN03334843,simple,9606,Homo sapiens,GSM1606099,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_untr_a,HEK293T,HEK293T,untreated,GSM1606100
SRR1795411,24517587,1225879350,50,785,SRX870797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841590,SAMN03334831,simple,9606,Homo sapiens,GSM1606100,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_untr_b,HEK293T,HEK293T,ISRIB (200 nM) for 1 hour,GSM1606101
SRR1795412,20984212,1049210600,50,722,SRX870797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841590,SAMN03334831,simple,9606,Homo sapiens,GSM1606100,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_untr_b,HEK293T,HEK293T,ISRIB (200 nM) for 1 hour,GSM1606102
SRR1795413,23142599,1157129950,50,735,SRX870798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841589,SAMN03334855,simple,9606,Homo sapiens,GSM1606101,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_isrib_a,HEK293T,HEK293T,1μg/ml of tunicamycin for 1 hour,GSM1606103
SRR1795414,17613014,880650700,50,603,SRX870798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841589,SAMN03334855,simple,9606,Homo sapiens,GSM1606101,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_isrib_a,HEK293T,HEK293T,1μg/ml of tunicamycin for 1 hour,GSM1606104
SRR1795415,20002013,1000100650,50,637,SRX870799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841587,SAMN03334852,simple,9606,Homo sapiens,GSM1606102,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_isrib_b,HEK293T,HEK293T,1μg/ml of tunicamycin and ISRIB (200 nM) for 1 hour,GSM1606105
SRR1795416,15923596,796179800,50,545,SRX870799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841587,SAMN03334852,simple,9606,Homo sapiens,GSM1606102,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_isrib_b,HEK293T,HEK293T,1μg/ml of tunicamycin and ISRIB (200 nM) for 1 hour,GSM1606106
SRR1795417,14808006,740400300,50,472,SRX870800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841588,SAMN03334807,simple,9606,Homo sapiens,GSM1606103,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_tm_a,HEK293T,HEK293T,untreated,GSM1606107
SRR1795418,14896916,744845800,50,510,SRX870800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP053402,PRJNA274997,25719440,"",SRS841588,SAMN03334807,simple,9606,Homo sapiens,GSM1606103,GEO,SRA237056,02,2015,Sidrauski,HEK293T,mrna_tm_a,HEK293T,HEK293T,untreated,GSM1606108
