Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain/background,genotype/variation,age,GEO Accession
SRR10446723,73277086,5600518248,76,2033,SRX7141395,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649536,SAMN13285525,simple,10090,Mus musculus,GSM4160721,GEO,SRA239077,01,2020,Sun,testis,Degradome.mouse.testis.Neurog3-cre.Ribotag.adult.HAIP.rep1,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160721
SRR10446724,46723085,3515213815,75,1246,SRX7141396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649537,SAMN13285524,simple,10090,Mus musculus,GSM4160722,GEO,SRA239077,01,2020,Sun,testis,Degradome.mouse.testis.wt.adult.Puromycin.rep1,testis,whole testis,C57B6,wt,adult,GSM4160722
SRR10446725,69203033,5276190913,76,1903,SRX7141397,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649538,SAMN13285523,simple,10090,Mus musculus,GSM4160723,GEO,SRA239077,01,2020,Sun,testis,Degradome.mouse.testis.wt.adult.PuromycinUntreated.rep1,testis,whole testis,C57B6,wt,adult,GSM4160723
SRR10446726,257572751,8625250116,33,3563,SRX7141398,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649539,SAMN13285522,simple,28377,Anolis carolinensis,GSM4160724,GEO,SRA239077,01,2020,Sun,testis,Riboseq.lizard.testis.wt.adult.rep1,testis,whole testis,,wt,adult,GSM4160724
SRR10446727,26046685,879990309,33,367,SRX7141399,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649540,SAMN13285521,simple,10090,Mus musculus,GSM4160725,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOControl.adult.rep1,testis,whole testis,C57B6,Mov10l1CKOControl,adult,GSM4160725
SRR10446728,38885947,1294470393,33,691,SRX7141400,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649541,SAMN13285520,simple,10090,Mus musculus,GSM4160726,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOControl.adult.rep2,testis,whole testis,C57B6,Mov10l1CKOControl,adult,GSM4160726
SRR10446729,47528252,1495553447,31,805,SRX7141401,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649542,SAMN13285519,simple,10090,Mus musculus,GSM4160727,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOControl.adult.rep3,testis,whole testis,C57B6,Mov10l1CKOControl,adult,GSM4160727
SRR10446730,69980035,2427525659,34,996,SRX7141402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649543,SAMN13285518,simple,10090,Mus musculus,GSM4160728,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOTg.Neurog3-cre.adult.rep1,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160728
SRR10446731,52196826,1847393662,35,968,SRX7141403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649544,SAMN13285517,simple,10090,Mus musculus,GSM4160729,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOTg.Neurog3-cre.adult.rep2,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160729
SRR10446732,84021657,2592325956,30,1380,SRX7141404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649545,SAMN13285516,simple,10090,Mus musculus,GSM4160730,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Mov10l1CKOTg.Neurog3-cre.adult.rep3,testis,whole testis,C57B6,Mov10l1CKOMutant.Neurog3-cre,adult,GSM4160730
SRR10446733,52429539,1628666334,31,718,SRX7141405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649546,SAMN13285515,simple,10090,Mus musculus,GSM4160731,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.HAIP.adult.rep1,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160731
SRR10446734,51954483,1685781288,32,694,SRX7141406,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649547,SAMN13285514,simple,10090,Mus musculus,GSM4160732,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.HAIP.adult.rep2,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160732
SRR10446735,73649474,2303228141,31,1236,SRX7141407,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649548,SAMN13285513,simple,10090,Mus musculus,GSM4160733,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.HAIP.adult.rep3,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160733
SRR10446736,54285642,1784373957,32,777,SRX7141408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649549,SAMN13285512,simple,10090,Mus musculus,GSM4160734,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.Input.adult.rep1,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160734
SRR10446737,69976557,2278885084,32,1211,SRX7141409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649550,SAMN13285511,simple,10090,Mus musculus,GSM4160735,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.Input.adult.rep2,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160735
SRR10446738,86072870,2705721968,31,1447,SRX7141410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649551,SAMN13285510,simple,10090,Mus musculus,GSM4160736,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.Input.adult.rep3,testis,whole testis,C57B6,Neurog3-cre.Ribotag,adult,GSM4160736
SRR10446739,3034146,100943636,33,44,SRX7141411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649552,SAMN13285509,simple,10090,Mus musculus,GSM4160737,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160737 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,Tdrd5CKOControl,adult,GSM4160737
SRR10446740,45530570,1515176925,33,663,SRX7141412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649553,SAMN13285508,simple,10090,Mus musculus,GSM4160738,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOControl.Stra8-cre.adult.rep1,testis,whole testis,C57B6,Tdrd5CKOControl,adult,GSM4160738
SRR10446741,52628577,1763802259,33,784,SRX7141413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649554,SAMN13285507,simple,10090,Mus musculus,GSM4160739,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOControl.Stra8-cre.adult.rep2,testis,whole testis,C57B6,Tdrd5CKOControl,adult,GSM4160739
SRR10446742,39650704,1307055685,32,585,SRX7141414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649555,SAMN13285506,simple,10090,Mus musculus,GSM4160740,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOControl.Stra8-cre.adult.rep3,testis,whole testis,C57B6,Tdrd5CKOMutant.Stra8-cre,adult,GSM4160740
SRR10446744,50170379,1739227099,34,761,SRX7141415,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649556,SAMN13285505,simple,10090,Mus musculus,GSM4160741,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOTg.Stra8-cre.adult.rep1,testis,whole testis,C57B6,Tdrd5CKOMutant.Stra8-cre,adult,GSM4160741
SRR10446745,18579803,634835200,34,284,SRX7141416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649557,SAMN13285504,simple,10090,Mus musculus,GSM4160742,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOTg.Stra8-cre.adult.rep2,testis,whole testis,C57B6,Tdrd5CKOMutant.Stra8-cre,adult,GSM4160742
SRR10446746,22220210,721091462,32,327,SRX7141417,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649558,SAMN13285503,simple,10090,Mus musculus,GSM4160743,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.Tdrd5CKOTg.Stra8-cre.adult.rep3,testis,whole testis,C57B6,wt,adult,GSM4160743
SRR10446747,23170199,788248563,34,330,SRX7141418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649559,SAMN13285502,simple,10090,Mus musculus,GSM4160744,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.Harringtonine.rep1,testis,whole testis,C57B6,wt,adult,GSM4160744
SRR10446748,25595343,874308540,34,369,SRX7141419,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649560,SAMN13285501,simple,10090,Mus musculus,GSM4160745,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.Harringtonine.rep2,testis,whole testis,C57B6,wt,adult,GSM4160745
SRR10446749,34872653,1134264308,32,458,SRX7141420,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649561,SAMN13285533,simple,10090,Mus musculus,GSM4160746,GEO,SRA239077,01,2020,Sun,testis,Riboseq.mouse.testis.wt.adult.HarringtonineUntreat.rep1,testis,whole testis,C57B6,wt,adult,GSM4160746
SRR10446750,77052103,2508963603,32,1881,SRX7141421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649562,SAMN13285532,simple,10090,Mus musculus,GSM4160747,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160747 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,wt,adult,GSM4160747
SRR10446751,52195462,1694300352,32,1109,SRX7141422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054244,PRJNA275185,32015435,"",SRS5649563,SAMN13285531,simple,10090,Mus musculus,GSM4160748,GEO,SRA239077,01,2020,Sun,"","GEO accession GSM4160748 is currently private and is scheduled to be released on Feb 03, 2020.",testis,whole testis,C57B6,wt,adult,GSM4160748
