Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,GEO Accession
SRR1804340,49787580,2539166580,51,1722,SRX878007,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845975,SAMN03349118,simple,6239,Caenorhabditis elegans,GSM1611591,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,01_N2_893_SGop,Whole-worm,N2,young adult,GSM1611591
SRR1804341,50000000,2.55e+09,51,1715,SRX878008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845974,SAMN03349120,simple,6239,Caenorhabditis elegans,GSM1611592,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,02_N2_893_GCop,Whole-worm,N2,young adult,GSM1611592
SRR1804342,2891603,147471753,51,102,SRX878008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845974,SAMN03349120,simple,6239,Caenorhabditis elegans,GSM1611592,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,02_N2_893_GCop,Whole-worm,N2,young adult,GSM1611593
SRR1804343,50000000,2.55e+09,51,1719,SRX878009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845973,SAMN03349116,simple,6239,Caenorhabditis elegans,GSM1611593,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,03_N2_893_SGkit,Whole-worm,N2,young adult,GSM1611594
SRR1804344,17420201,888430251,51,603,SRX878009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845973,SAMN03349116,simple,6239,Caenorhabditis elegans,GSM1611593,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,03_N2_893_SGkit,Whole-worm,N2,larval stage 4,GSM1611595
SRR1804345,48751368,2486319768,51,1692,SRX878010,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845972,SAMN03349119,simple,6239,Caenorhabditis elegans,GSM1611594,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,04_N2_893_GCkit,Whole-worm,N2,larval stage 4,GSM1611596
SRR1804346,50000000,2.5e+09,50,1683,SRX878011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845971,SAMN03349115,simple,6239,Caenorhabditis elegans,GSM1611595,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_25-30nt,Whole-worm,N2,larval stage 4,GSM1611597
SRR1804347,8434235,421711750,50,286,SRX878011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845971,SAMN03349115,simple,6239,Caenorhabditis elegans,GSM1611595,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_25-30nt,Whole-worm,N2,larval stage 4,GSM1611598
SRR1804348,46376697,2318834850,50,1491,SRX878012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845970,SAMN03349114,simple,6239,Caenorhabditis elegans,GSM1611596,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_28-30nt,Whole-worm,N2,young adult,GSM1611591
SRR1804349,50000000,2.5e+09,50,1181,SRX878013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845969,SAMN03349117,simple,6239,Caenorhabditis elegans,GSM1611597,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_28-35nt,Whole-worm,N2,young adult,GSM1611592
SRR1804350,16596977,829848850,50,397,SRX878013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845969,SAMN03349117,simple,6239,Caenorhabditis elegans,GSM1611597,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_28-35nt,Whole-worm,N2,young adult,GSM1611593
SRR1804351,50000000,2.5e+09,50,1461,SRX878014,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845968,SAMN03349121,simple,6239,Caenorhabditis elegans,GSM1611598,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_26-34nt,Whole-worm,N2,young adult,GSM1611594
SRR1804352,364078,18203900,50,9,SRX878014,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055039,PRJNA275470,26102273,"",SRS845968,SAMN03349121,simple,6239,Caenorhabditis elegans,GSM1611598,GEO,SRA242099,02,2018,Aeschimann,Whole-worm,frac_26-34nt,Whole-worm,N2,larval stage 4,GSM1611595
