Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,clip-antibody,strain,tissue,age,GEO Accession
SRR1810469,18629300,950094300,51,413,SRX883276,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850518,SAMN03353310,simple,10090,Mus musculus,GSM1613679,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"Ago2-HITS-CLIP, biological rep.1",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,mAb against mouse Ago2 clone 2D4 (Wako),C57BL/6,,,GSM1613679
SRR1810470,35977426,1834848726,51,794,SRX883277,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850516,SAMN03353312,simple,10090,Mus musculus,GSM1613680,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"Ago2-HITS-CLIP, biological rep.2",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,mAb against mouse Ago2 clone 2D4 (Wako),C57BL/6,,,GSM1613680
SRR1810471,31838598,1623768498,51,700,SRX883278,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850517,SAMN03353318,simple,10090,Mus musculus,GSM1613681,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"Ago2-HITS-CLIP, biological rep.3",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,mAb against mouse Ago2 clone 2D4 (Wako),C57BL/6,,,GSM1613681
SRR1810472,31628093,1613032743,51,700,SRX883279,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850515,SAMN03353315,simple,10090,Mus musculus,GSM1613682,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"Ago2-HITS-CLIP, biological rep.4",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,mAb against mouse Ago2 clone 2D4 (Wako),C57BL/6,,,GSM1613682
SRR1810473,5440980,277489980,51,166,SRX883280,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850514,SAMN03353309,simple,10090,Mus musculus,GSM1613683,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"small_rna_seq_vector, biological rep.2",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613683
SRR1810474,772307,39387657,51,22,SRX883281,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850513,SAMN03353307,simple,10090,Mus musculus,GSM1613684,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"small_rna_seq_vector, biological rep.1",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613684
SRR1810475,7846395,400166145,51,238,SRX883282,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850511,SAMN03353317,simple,10090,Mus musculus,GSM1613685,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"small_rna_seq_hras, biological rep.2",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613685
SRR1810476,7356089,375160539,51,224,SRX883283,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850512,SAMN03353314,simple,10090,Mus musculus,GSM1613686,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"small_rna_seq_hras, biological rep.1",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613686
SRR1810477,2789021,142240071,51,107,SRX883284,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850509,SAMN03353313,simple,10090,Mus musculus,GSM1613687,GEO,SRA243193,07,2015,Riemondy,Total Epidermis,small_rna_seq_miR-203_wt_epi,Total Epidermis,,,,C57BL/6,Skin,p4,GSM1613687
SRR1810478,3968317,202384167,51,152,SRX883285,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850510,SAMN03353311,simple,10090,Mus musculus,GSM1613688,GEO,SRA243193,07,2015,Riemondy,Total Epidermis,small_rna_seq_miR-203_ko_epi,Total Epidermis,,,,C57BL/6,Skin,p4,GSM1613688
SRR1810479,21353639,2156717539,101,901,SRX883286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850508,SAMN03353306,simple,10090,Mus musculus,GSM1613689,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"vector_miR-203_wt, biological rep.1",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613689
SRR1810480,21014713,2122486013,101,891,SRX883287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850507,SAMN03353316,simple,10090,Mus musculus,GSM1613690,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"vector_miR-203_wt, biological rep.2",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613690
SRR1810481,20805674,2101373074,101,885,SRX883288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850505,SAMN03353308,simple,10090,Mus musculus,GSM1613691,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"vector_miR-203_ko, biological rep.1",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613691
SRR1810482,20253567,2045610267,101,862,SRX883289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850506,SAMN03353327,simple,10090,Mus musculus,GSM1613692,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"vector_miR-203_ko, biological rep.2",Primary Keratinocytes,Primary Keratinocytes plated without feeder layer,1,,C57BL/6,,,GSM1613692
SRR1810483,18460461,1864506561,101,784,SRX883290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850503,SAMN03353326,simple,10090,Mus musculus,GSM1613693,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"HRas_miR-203_wt, biological rep.1",Primary Keratinocytes,Primary Keratinocytes,1,,C57BL/6,,,GSM1613693
SRR1810484,17041451,1721186551,101,723,SRX883291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP055150,PRJNA275789,26203562,"",SRS850504,SAMN03353324,simple,10090,Mus musculus,GSM1613694,GEO,SRA243193,07,2015,Riemondy,Primary Keratinocytes,"HRas_miR-203_wt, biological rep.2",Primary Keratinocytes,Primary Keratinocytes,1,,C57BL/6,,,GSM1613694
