Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,GEO Accession
SRR1916542,27236721,1389072771,51,874,SRX957351,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874710,SAMN03418218,simple,9606,Homo sapiens,GSM1634443,GEO,SRA246838,11,2015,Elkon,"U2OS, control",C.rp.rep1,"U2OS, control",U2OS,control,GSM1634443
SRR1916543,31020558,1582048458,51,1002,SRX957352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874709,SAMN03418224,simple,9606,Homo sapiens,GSM1634444,GEO,SRA246838,11,2015,Elkon,"U2OS, Myc activation (36 hr)",Myc.rp.rep1,"U2OS, Myc activation (36 hr)",U2OS,Myc activation (36 hr),GSM1634444
SRR1916544,29215652,1489998252,51,1036,SRX957353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874708,SAMN03418225,simple,9606,Homo sapiens,GSM1634445,GEO,SRA246838,11,2015,Elkon,"U2OS, control",C.rp.rep2.lane1,"U2OS, control",U2OS,control,GSM1634445
SRR1916545,30753157,1568411007,51,1075,SRX957354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874701,SAMN03418226,simple,9606,Homo sapiens,GSM1634446,GEO,SRA246838,11,2015,Elkon,"U2OS, control",C.rp.rep2.lane2,"U2OS, control",U2OS,control,GSM1634446
SRR1916546,23582806,1202723106,51,816,SRX957355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874707,SAMN03418221,simple,9606,Homo sapiens,GSM1634447,GEO,SRA246838,11,2015,Elkon,"U2OS, Myc activation (36 hr)",Myc.rp.rep2.lane1,"U2OS, Myc activation (36 hr)",U2OS,Myc activation (36 hr),GSM1634447
SRR1916547,24940549,1271967999,51,849,SRX957356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874706,SAMN03418229,simple,9606,Homo sapiens,GSM1634448,GEO,SRA246838,11,2015,Elkon,"U2OS, Myc activation (36 hr)",Myc.rp.rep2.lane2,"U2OS, Myc activation (36 hr)",U2OS,Myc activation (36 hr),GSM1634448
SRR1916548,28815988,1469615388,51,1015,SRX957357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874705,SAMN03418215,simple,9606,Homo sapiens,GSM1634449,GEO,SRA246838,11,2015,Elkon,"U2OS, Torin-1",Torin.rp.lane1,"U2OS, Torin-1",U2OS,Torin-1,GSM1634449
SRR1916549,30110343,1535627493,51,1045,SRX957358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874704,SAMN03418222,simple,9606,Homo sapiens,GSM1634450,GEO,SRA246838,11,2015,Elkon,"U2OS, Torin-1",Torin.rp.lane2,"U2OS, Torin-1",U2OS,Torin-1,GSM1634450
SRR1916550,22891934,1167488634,51,790,SRX957359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874703,SAMN03418228,simple,9606,Homo sapiens,GSM1634451,GEO,SRA246838,11,2015,Elkon,"U2OS, Myc activation + Torin-1",Myc.Torin.rp.lane1,"U2OS, Myc activation + Torin-1",U2OS,Myc activation + Torin-1,GSM1634451
SRR1916551,24051773,1226640423,51,816,SRX957360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056200,PRJNA278390,26538417,"",SRS874702,SAMN03418223,simple,9606,Homo sapiens,GSM1634452,GEO,SRA246838,11,2015,Elkon,"U2OS, Myc activation + Torin-1",Myc.Torin.rp.lane2,"U2OS, Myc activation + Torin-1",U2OS,Myc activation + Torin-1,GSM1634452
