Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell line,treatment,GEO Accession
SRR1964306,39082700,1954135000,50,1288,SRX986365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901275,SAMN03470223,simple,10090,Mus musculus,GSM1655059,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655059
SRR1964307,52274080,2613704000,50,1650,SRX986365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901275,SAMN03470223,simple,10090,Mus musculus,GSM1655059,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,Rnase,GSM1655060
SRR1964308,29216820,1460841000,50,935,SRX986365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901275,SAMN03470223,simple,10090,Mus musculus,GSM1655059,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10 min, RNase",GSM1655061
SRR1964309,46953344,2347667200,50,1529,SRX986366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901273,SAMN03470224,simple,10090,Mus musculus,GSM1655060,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"harringtonine 2ug/ml 10min, RNase",GSM1655062
SRR1964310,67731496,3386574800,50,2109,SRX986366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901273,SAMN03470224,simple,10090,Mus musculus,GSM1655060,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655063
SRR1964311,22651281,1132564050,50,710,SRX986366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901273,SAMN03470224,simple,10090,Mus musculus,GSM1655060,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling control replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,"DMDA-pateamine A 1µM 10 min, RNase",GSM1655064
SRR1964312,46189851,2309492550,50,1491,SRX986367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901272,SAMN03470225,simple,10090,Mus musculus,GSM1655061,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655065
SRR1964313,65269559,3263477950,50,2015,SRX986367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901272,SAMN03470225,simple,10090,Mus musculus,GSM1655061,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,"Puromycin 0.2 mg/ml 20 min, RNase",GSM1655066
SRR1964314,21259213,1062960650,50,663,SRX986367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901272,SAMN03470225,simple,10090,Mus musculus,GSM1655061,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 1,embryonic stem cell line CGR8,129,ESC line CGR8,None,GSM1655067
SRR1964315,43321863,2166093150,50,1446,SRX986368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB 5500xl-W Genetic Analysis System,SRP057051,PRJNA280809,26764022,"",SRS901274,SAMN03470226,simple,10090,Mus musculus,GSM1655062,GEO,SRA252983,01,2016,Popa,embryonic stem cell line CGR8,Ribosome Profiling harringtonine replicate 2,embryonic stem cell line CGR8,129,ESC line CGR8,None,GSM1655068
