Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell synchronization,cell cycle timepoint,drug pre-treatment,GEO Accession
SRR1976443,191722467,10790145406,56,6642,SRX997411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911643,SAMN03485787,simple,9606,Homo sapiens,GSM1657720,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from G1 cells, pretreated with cycloheximide_1",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were collected 45 min later through mitotic shake-off and replated to allow normal mitotic exit. 3hr later G1 cells were harvested.,G1,cells were pretreated with cycloheximide,GSM1657720
SRR1976444,135051794,6887641494,51,4439,SRX997412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911642,SAMN03485788,simple,9606,Homo sapiens,GSM1657721,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from G1 cells, pretreated with cycloheximide_2",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were collected 45 min later through mitotic shake-off and replated to allow normal mitotic exit. 3hr later G1 cells were harvested.,G1,cells were pretreated with cycloheximide,GSM1657721
SRR1976445,149434585,7621163835,51,5131,SRX997413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911641,SAMN03485789,simple,9606,Homo sapiens,GSM1657722,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from G2 cells, pretreated with cycloheximide_1",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr and harvested,G2,cells were pretreated with cycloheximide,GSM1657722
SRR1976446,143714945,7329462195,51,4934,SRX997414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911640,SAMN03485790,simple,9606,Homo sapiens,GSM1657723,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from G2 cells, pretreated with cycloheximide_2",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr and harvested,G2,cells were pretreated with cycloheximide,GSM1657723
SRR1976447,205566796,11549940691,56,7099,SRX997415,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911639,SAMN03485791,simple,9606,Homo sapiens,GSM1657724,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from M cells, pretreated with cycloheximide_1",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were harvested 45 min later through mitotic shake-off,M,cells were pretreated with cycloheximide,GSM1657724
SRR1976448,131095287,6685859637,51,4253,SRX997416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911637,SAMN03485792,simple,9606,Homo sapiens,GSM1657725,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"Ribosome footprints from M cells, pretreated with cycloheximide_2",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were harvested 45 min later through mitotic shake-off,M,cells were pretreated with cycloheximide,GSM1657725
SRR1976449,138218891,7707903439,55,4658,SRX997417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911636,SAMN03485793,simple,9606,Homo sapiens,GSM1657726,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"mRNA-seq from G1 cells, pretreated with cycloheximide_1",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were collected 45 min later through mitotic shake-off and replated to allow normal mitotic exit. 3hr later G1 cells were harvested.,G1,cells were pretreated with cycloheximide,GSM1657726
SRR1976450,113359056,5781311856,51,3862,SRX997418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911634,SAMN03485794,simple,9606,Homo sapiens,GSM1657727,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"mRNA-seq from G1 cells, pretreated with cycloheximide_2",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr. RO-3306 was then removed and mitotic cells were collected 45 min later through mitotic shake-off and replated to allow normal mitotic exit. 3hr later G1 cells were harvested.,G1,cells were pretreated with cycloheximide,GSM1657727
SRR1976451,91760961,4679809011,51,3123,SRX997419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911635,SAMN03485795,simple,9606,Homo sapiens,GSM1657728,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"mRNA-seq from G2 cells, pretreated with cycloheximide_1",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr and harvested,G2,cells were pretreated with cycloheximide,GSM1657728
SRR1976452,84527882,4310921982,51,2901,SRX997420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057253,PRJNA281177,26305499,"",SRS911632,SAMN03485796,simple,9606,Homo sapiens,GSM1657729,GEO,SRA259601,09,2015,Tanenbaum,Human Retinal pigment epithelial cells immortalized with hTERT,"mRNA-seq from G2 cells, pretreated with cycloheximide_2",Human Retinal pigment epithelial cells immortalized with hTERT,RPE-1 cells immortalized with hTERT,Cells were treated with 6 micromolar RO-3306 for 18 hr and harvested,G2,cells were pretreated with cycloheximide,GSM1657729
