Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,subcellular compartment,treatment,method,strain/background,GEO Accession
SRR2007064,19223712,980409312,51,610,SRX1017035,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928315,SAMN03581119,simple,10090,Mus musculus,GSM1666805,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, untreated","ATF4-/- ER ribosome profiling, untreated (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, untreated",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,untreated,ribosome profiling,,GSM1666805
SRR2007065,20859677,1063843527,51,660,SRX1017036,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928313,SAMN03581120,simple,10090,Mus musculus,GSM1666806,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg","ATF4-/- cytosol ribosome profiling, 0.5 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,0.5 h Thapsigargin,ribosome profiling,,GSM1666806
SRR2007066,22014222,1122725322,51,696,SRX1017037,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928314,SAMN03581117,simple,10090,Mus musculus,GSM1666807,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg","ATF4-/- ER ribosome profiling, 0.5 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 0.5 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,0.5 h Thapsigargin,ribosome profiling,,GSM1666807
SRR2007067,21063979,1074262929,51,671,SRX1017038,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928311,SAMN03581118,simple,10090,Mus musculus,GSM1666808,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg","ATF4-/- cytosol ribosome profiling, 1 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,1 h Thapsigargin,ribosome profiling,,GSM1666808
SRR2007068,22870593,1166400243,51,725,SRX1017039,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928309,SAMN03581121,simple,10090,Mus musculus,GSM1666809,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg","ATF4-/- ER ribosome profiling, 1 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 1 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,1 h Thapsigargin,ribosome profiling,,GSM1666809
SRR2007069,21153634,1078835334,51,668,SRX1017040,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928310,SAMN03581122,simple,10090,Mus musculus,GSM1666810,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 2 h Tg","ATF4-/- cytosol ribosome profiling, 2 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 2 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,2 h Thapsigargin,ribosome profiling,,GSM1666810
SRR2007070,23215960,1184013960,51,741,SRX1017041,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928312,SAMN03581123,simple,10090,Mus musculus,GSM1666811,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 2 h Tg","ATF4-/- ER ribosome profiling, 2 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 2 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,2 h Thapsigargin,ribosome profiling,,GSM1666811
SRR2007071,22260855,1135303605,51,702,SRX1017042,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928308,SAMN03581124,simple,10090,Mus musculus,GSM1666812,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, 4 h Tg","ATF4-/- cytosol ribosome profiling, 4 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, 4 h Tg",mouse embryonic fibroblasts,ATF4-/-,cytosol,4 h Thapsigargin,ribosome profiling,,GSM1666812
SRR2007072,23138057,1180040907,51,737,SRX1017043,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928307,SAMN03581125,simple,10090,Mus musculus,GSM1666813,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, ER, 4 h Tg","ATF4-/- ER ribosome profiling, 4 h Tg (rep 1)","ATF4-/- mouse embryonic fibroblasts, ER, 4 h Tg",mouse embryonic fibroblasts,ATF4-/-,endoplasmic reticulum,4 h Thapsigargin,ribosome profiling,,GSM1666813
SRR2007073,22787710,1162173210,51,718,SRX1017044,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP057991,PRJNA282960,1,"",SRS928304,SAMN03581126,simple,10090,Mus musculus,GSM1666814,GEO,SRA266203,01,2016,Makar,"ATF4-/- mouse embryonic fibroblasts, cytosol, untreated","ATF4-/- cytosol ribosome profiling, untreated (rep 1)","ATF4-/- mouse embryonic fibroblasts, cytosol, untreated",mouse embryonic fibroblasts,ATF4-/-,cytosol,untreated,ribosome profiling,,GSM1666814
