Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,drug treatment,cell lline,GEO Accession
SRR2033082,35000805,1785041055,51,1035,SRX1033325,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940884,SAMN03701896,simple,9606,Homo sapiens,GSM1691196,GEO,SRA268955,05,2017,Liu,MM1.S cells,0h mRNA-seq data,MM1.S cells,untreated,MM1.S,GSM1691196
SRR2033083,39291568,2003869968,51,1162,SRX1033326,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940886,SAMN03701897,simple,9606,Homo sapiens,GSM1691197,GEO,SRA268955,05,2017,Liu,MM1.S cells,6h mRNA-seq data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691197
SRR2033084,33591706,1713177006,51,993,SRX1033327,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940883,SAMN03701898,simple,9606,Homo sapiens,GSM1691198,GEO,SRA268955,05,2017,Liu,MM1.S cells,12h mRNA-seq data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691198
SRR2033085,31633963,1613332113,51,963,SRX1033328,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940882,SAMN03701899,simple,9606,Homo sapiens,GSM1691199,GEO,SRA268955,05,2017,Liu,MM1.S cells,24h mRNA-seq data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691199
SRR2033086,24037719,1225923669,51,734,SRX1033329,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940881,SAMN03701900,simple,9606,Homo sapiens,GSM1691200,GEO,SRA268955,05,2017,Liu,MM1.S cells,36h mRNA-seq data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691200
SRR2033087,38733525,1975409775,51,1181,SRX1033330,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940880,SAMN03701901,simple,9606,Homo sapiens,GSM1691201,GEO,SRA268955,05,2017,Liu,MM1.S cells,48h mRNA-seq data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691201
SRR2033088,107081493,5461156143,51,3521,SRX1033331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940879,SAMN03701902,simple,9606,Homo sapiens,GSM1691202,GEO,SRA268955,05,2017,Liu,MM1.S cells,0h ribosome footprint data,MM1.S cells,untreated,MM1.S,GSM1691202
SRR2033089,89928275,4586342025,51,2916,SRX1033332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940878,SAMN03701903,simple,9606,Homo sapiens,GSM1691203,GEO,SRA268955,05,2017,Liu,MM1.S cells,6h ribosome footprint data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691203
SRR2033090,90280200,4604290200,51,2919,SRX1033333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940877,SAMN03701904,simple,9606,Homo sapiens,GSM1691204,GEO,SRA268955,05,2017,Liu,MM1.S cells,12h ribosome footprint data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691204
SRR2033091,92072428,4695693828,51,2889,SRX1033334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940876,SAMN03701905,simple,9606,Homo sapiens,GSM1691205,GEO,SRA268955,05,2017,Liu,MM1.S cells,24h ribosome footprint data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691205
SRR2033092,50140701,2557175751,51,1642,SRX1033335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940875,SAMN03701906,simple,9606,Homo sapiens,GSM1691206,GEO,SRA268955,05,2017,Liu,MM1.S cells,36h ribosome footprint data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691206
SRR2033093,102519121,5228475171,51,3313,SRX1033336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP058501,PRJNA284399,28578850,"",SRS940874,SAMN03701907,simple,9606,Homo sapiens,GSM1691207,GEO,SRA268955,05,2017,Liu,MM1.S cells,48h ribosome footprint data,MM1.S cells,0.5 nM bortezomib,MM1.S,GSM1691207
