Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR2043958,10143803,513573657,50,249,SRX1042053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948438,SAMN03742487,simple,100226,Streptomyces coelicolor A3(2),GSM1698362,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_M1,cell culture,M145,GSM1698362
SRR2043959,17337483,875376089,50,452,SRX1042054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948437,SAMN03742488,simple,100226,Streptomyces coelicolor A3(2),GSM1698363,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_M2,cell culture,M145,GSM1698363
SRR2043956,4853579,485692590,100,266,SRX1042055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948436,SAMN03742485,simple,100226,Streptomyces coelicolor A3(2),GSM1698360,GEO,SRA270326,05,2016,Jeong,cell culture,TSS_TEX,cell culture,M145,GSM1698360
SRR2043957,5295196,660904194,124,331,SRX1042056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948435,SAMN03742486,simple,100226,Streptomyces coelicolor A3(2),GSM1698361,GEO,SRA270326,05,2016,Jeong,cell culture,TSS_TAP,cell culture,M145,GSM1698361
SRR2043960,16538119,837718433,50,449,SRX1042057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948434,SAMN03742489,simple,100226,Streptomyces coelicolor A3(2),GSM1698364,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_T1,cell culture,M145,GSM1698364
SRR2043961,16557033,837204191,50,428,SRX1042058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948433,SAMN03742490,simple,100226,Streptomyces coelicolor A3(2),GSM1698365,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_T2,cell culture,M145,GSM1698365
SRR2043962,14994962,759099274,50,379,SRX1042059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948432,SAMN03742491,simple,100226,Streptomyces coelicolor A3(2),GSM1698366,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_L1,cell culture,M145,GSM1698366
SRR2043963,15350264,770813973,50,383,SRX1042060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948431,SAMN03742492,simple,100226,Streptomyces coelicolor A3(2),GSM1698367,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_L2,cell culture,M145,GSM1698367
SRR2043964,17292840,875962686,50,451,SRX1042061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948430,SAMN03742493,simple,100226,Streptomyces coelicolor A3(2),GSM1698368,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_S1,cell culture,M145,GSM1698368
SRR2043965,15849845,798653920,50,404,SRX1042062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948429,SAMN03742494,simple,100226,Streptomyces coelicolor A3(2),GSM1698369,GEO,SRA270326,05,2016,Jeong,cell culture,RNA_S2,cell culture,M145,GSM1698369
SRR2043966,19101972,914213536,47,483,SRX1042063,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948428,SAMN03742495,simple,100226,Streptomyces coelicolor A3(2),GSM1698370,GEO,SRA270326,05,2016,Jeong,cell culture,Ribo_M,cell culture,M145,GSM1698370
SRR2043967,21467666,1019228254,47,574,SRX1042064,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948427,SAMN03742496,simple,100226,Streptomyces coelicolor A3(2),GSM1698371,GEO,SRA270326,05,2016,Jeong,cell culture,Ribo_T,cell culture,M145,GSM1698371
SRR2043968,23725610,1123141721,47,637,SRX1042065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948426,SAMN03742497,simple,100226,Streptomyces coelicolor A3(2),GSM1698372,GEO,SRA270326,05,2016,Jeong,cell culture,Ribo_L,cell culture,M145,GSM1698372
SRR2043969,22247790,1071969965,48,591,SRX1042066,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP058830,PRJNA285265,27251447,"",SRS948425,SAMN03742498,simple,100226,Streptomyces coelicolor A3(2),GSM1698373,GEO,SRA270326,05,2016,Jeong,cell culture,Ribo_S,cell culture,M145,GSM1698373
