Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,protocol,compartment,analysis,replicate,strain,GEO Accession
SRR2052911,16250647,828782997,51,523,SRX1050328,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954647,SAMN03763400,simple,9606,Homo sapiens,GSM1704503,GEO,SRA271639,09,2016,Reid,Huh7 cells,6 h infection cytosol ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,6 h infection,cytosol,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704503
SRR2052912,18073831,921765381,51,568,SRX1050329,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954645,SAMN03763401,simple,9606,Homo sapiens,GSM1704504,GEO,SRA271639,09,2016,Reid,Huh7 cells,6 h infection ER ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,6 h infection,ER,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704504
SRR2052913,18948536,966375336,51,615,SRX1050330,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954646,SAMN03763402,simple,9606,Homo sapiens,GSM1704505,GEO,SRA271639,09,2016,Reid,Huh7 cells,12 h infection cytosol ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,12 h infection,cytosol,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704505
SRR2052914,26865068,1370118468,51,842,SRX1050331,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954643,SAMN03763403,simple,9606,Homo sapiens,GSM1704506,GEO,SRA271639,09,2016,Reid,Huh7 cells,12 h infection ER ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,12 h infection,ER,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704506
SRR2052915,26423896,1347618696,51,845,SRX1050332,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954644,SAMN03763404,simple,9606,Homo sapiens,GSM1704507,GEO,SRA271639,09,2016,Reid,Huh7 cells,24 h infection cytosol ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,24 h infection,cytosol,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704507
SRR2052916,13129805,669620055,51,422,SRX1050333,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954642,SAMN03763405,simple,9606,Homo sapiens,GSM1704508,GEO,SRA271639,09,2016,Reid,Huh7 cells,24 h infection ER ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,24 h infection,ER,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704508
SRR2052917,31892235,1626503985,51,1023,SRX1050334,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954641,SAMN03763406,simple,9606,Homo sapiens,GSM1704509,GEO,SRA271639,09,2016,Reid,Huh7 cells,40 h infection cytosol ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,40 h infection,cytosol,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704509
SRR2052918,34039497,1736014347,51,1078,SRX1050335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954640,SAMN03763407,simple,9606,Homo sapiens,GSM1704510,GEO,SRA271639,09,2016,Reid,Huh7 cells,40 h infection ER ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,40 h infection,ER,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704510
SRR2052919,11895393,606665043,51,345,SRX1050336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954639,SAMN03763408,simple,9606,Homo sapiens,GSM1704511,GEO,SRA271639,09,2016,Reid,Huh7 cells,Interferon treatment cytosol ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,Interferon treatment,cytosol,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704511
SRR2052920,7444252,379656852,51,215,SRX1050337,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059187,PRJNA285961,29321322,"",SRS954638,SAMN03763409,simple,9606,Homo sapiens,GSM1704512,GEO,SRA271639,09,2016,Reid,Huh7 cells,Interferon treatment ER ribosome profiling (Rep 1),Huh7 cells,Huh7 cells,Interferon treatment,ER,ribosome profiling,Rep 1,DENV2 (M29095.1),GSM1704512
