Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,compartment,analysis,replicate,GEO Accession
SRR2060674,78647403,4011017553,51,2620,SRX1056749,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959376,SAMN03770657,simple,10090,Mus musculus,GSM1709012,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling Untreated 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,ER,Ribosome profiling,1,GSM1709012
SRR2060675,10680002,544680102,51,358,SRX1056750,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959345,SAMN03770658,simple,10090,Mus musculus,GSM1709013,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 0.5 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,ER,Ribosome profiling,1,GSM1709013
SRR2060676,10272599,523902549,51,341,SRX1056751,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959375,SAMN03770659,simple,10090,Mus musculus,GSM1709014,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 1 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,ER,Ribosome profiling,1,GSM1709014
SRR2060677,9291951,473889501,51,310,SRX1056752,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959374,SAMN03770660,simple,10090,Mus musculus,GSM1709015,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 2 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,ER,Ribosome profiling,1,GSM1709015
SRR2060678,7836885,399681135,51,259,SRX1056753,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959373,SAMN03770661,simple,10090,Mus musculus,GSM1709016,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 4 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,ER,Ribosome profiling,1,GSM1709016
SRR2060679,12238357,624156207,51,428,SRX1056754,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959372,SAMN03770662,simple,10090,Mus musculus,GSM1709017,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling Untreated 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,ER,Ribosome profiling,2,GSM1709017
SRR2060680,27383252,1396545852,51,944,SRX1056755,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959371,SAMN03770663,simple,10090,Mus musculus,GSM1709018,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 0.5 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,ER,Ribosome profiling,2,GSM1709018
SRR2060681,8062047,411164397,51,284,SRX1056756,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959370,SAMN03770664,simple,10090,Mus musculus,GSM1709019,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 1 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,ER,Ribosome profiling,2,GSM1709019
SRR2060682,18856341,961673391,51,661,SRX1056757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959369,SAMN03770665,simple,10090,Mus musculus,GSM1709020,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 2 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,ER,Ribosome profiling,2,GSM1709020
SRR2060683,8565355,436833105,51,301,SRX1056758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959368,SAMN03770666,simple,10090,Mus musculus,GSM1709021,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER Ribosome profiling 4 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,ER,Ribosome profiling,2,GSM1709021
