Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,molecule,genotype/variation,molecule subtype,GEO Accession
SRR2075925,45615984,2280799200,50,1354,SRX1070858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969987,SAMN03788107,simple,9606,Homo sapiens,GSM1720803,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_DMSO,ribo_DMSO_replicate1 [Sample 1],HEK 293 T-Rex_ribo_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720803
SRR2075926,34606362,1730318100,50,1040,SRX1070859,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969988,SAMN03788108,simple,9606,Homo sapiens,GSM1720804,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_DMSO,ribo_DMSO_replicate2 [Sample 2],HEK 293 T-Rex_ribo_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720804
SRR2075927,38951271,1947563550,50,1173,SRX1070860,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969989,SAMN03788109,simple,9606,Homo sapiens,GSM1720805,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_RocA003,ribo_RocA003 [Sample 3],HEK 293 T-Rex_ribo_RocA003,HEK 293 T-REx cell,RocA 0.03 uM,total RNA,,,GSM1720805
SRR2075928,36330862,1816543100,50,1099,SRX1070861,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969986,SAMN03788110,simple,9606,Homo sapiens,GSM1720806,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_RocA03,ribo_RocA03 [Sample 4],HEK 293 T-Rex_ribo_RocA03,HEK 293 T-REx cell,RocA 0.3 uM,total RNA,,,GSM1720806
SRR2075929,119173352,5958667600,50,3586,SRX1070862,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969968,SAMN03788111,simple,9606,Homo sapiens,GSM1720807,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_RocA3,ribo_RocA3 [Sample 5],HEK 293 T-Rex_ribo_RocA3,HEK 293 T-REx cell,RocA 3 uM,total RNA,,,GSM1720807
SRR2075930,34889642,1744482100,50,1073,SRX1070863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969985,SAMN03788112,simple,9606,Homo sapiens,GSM1720808,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rna_DMSO,rna_DMSO_replicate1 [Sample 6],HEK 293 T-Rex_rna_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720808
SRR2075931,39357105,1967855250,50,1208,SRX1070864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969984,SAMN03788113,simple,9606,Homo sapiens,GSM1720809,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rna_DMSO,rna_DMSO_replicate2 [Sample 7],HEK 293 T-Rex_rna_DMSO,HEK 293 T-REx cell,DMSO,total RNA,,,GSM1720809
SRR2075932,30833894,1541694700,,947,SRX1070865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969967,SAMN03788114,simple,9606,Homo sapiens,GSM1720810,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rna_RocA003,rna_RocA003 [Sample 8],HEK 293 T-Rex_rna_RocA003,HEK 293 T-REx cell,RocA 0.03 uM,total RNA,,,GSM1720810
SRR2075933,35172206,1758610300,50,1083,SRX1070866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969983,SAMN03788115,simple,9606,Homo sapiens,GSM1720811,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rna_RocA03,rna_RocA03 [Sample 9],HEK 293 T-Rex_rna_RocA03,HEK 293 T-REx cell,RocA 0.3 uM,total RNA,,,GSM1720811
SRR2075934,27422851,1371142550,50,845,SRX1070867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969982,SAMN03788116,simple,9606,Homo sapiens,GSM1720812,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_rna_RocA3,rna_RocA3 [Sample 10],HEK 293 T-Rex_rna_RocA3,HEK 293 T-REx cell,RocA 3 uM,total RNA,,,GSM1720812
SRR2075935,35626643,1781332150,50,1071,SRX1070868,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059825,PRJNA287879,27309803,"",SRS969981,SAMN03788117,simple,9606,Homo sapiens,GSM1720813,GEO,SRA274158,06,2016,Iwasaki,HEK 293 T-Rex_ribo_PP242,ribo_PP242 [Sample 11],HEK 293 T-Rex_ribo_PP242,HEK 293 T-REx cell,PP242 2.5 uM,total RNA,,,GSM1720813
