Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,strain,GEO Accession
SRR2087761,16405284,2493603168,76,1407,SRX1081749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979503,SAMN03840619,simple,7955,Danio rerio,GSM1808905,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_2-4Cell,Whole embryos,2-4 cells,TL/AB,GSM1808905
SRR2087762,16164090,2456941680,76,1391,SRX1081749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979503,SAMN03840619,simple,7955,Danio rerio,GSM1808905,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_2-4Cell,Whole embryos,256 cells,TL/AB,GSM1808906
SRR2087763,14614266,2221368432,76,1207,SRX1081749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979503,SAMN03840619,simple,7955,Danio rerio,GSM1808905,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_2-4Cell,Whole embryos,1k cells,TL/AB,GSM1808907
SRR2087764,18381570,2793998640,76,1576,SRX1081750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979504,SAMN03840620,simple,7955,Danio rerio,GSM1808906,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_256Cell,Whole embryos,Dome,TL/AB,GSM1808908
SRR2087765,18025404,2739861408,76,1551,SRX1081750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979504,SAMN03840620,simple,7955,Danio rerio,GSM1808906,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_256Cell,Whole embryos,Shield,TL/AB,GSM1808909
SRR2087766,16554589,2516297528,76,1365,SRX1081750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979504,SAMN03840620,simple,7955,Danio rerio,GSM1808906,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_256Cell,Whole embryos,Bud,TL/AB,GSM1808910
SRR2087767,15909763,2418283976,76,1373,SRX1081751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979502,SAMN03840621,simple,7955,Danio rerio,GSM1808907,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_1KCell,Whole embryos,28 hours post fertilization,TL/AB,GSM1808911
SRR2087768,15969908,2427426016,76,1382,SRX1081751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979502,SAMN03840621,simple,7955,Danio rerio,GSM1808907,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_1KCell,Whole embryos,5 days post fertilization,TL/AB,GSM1808912
SRR2087769,13946018,2119794736,76,1158,SRX1081751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979502,SAMN03840621,simple,7955,Danio rerio,GSM1808907,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_1KCell,Whole embryos,2-4 cells,TL/AB,GSM1808905
SRR2087770,18379138,2793628976,76,1578,SRX1081752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP060373,PRJNA288987,1,"",SRS979501,SAMN03840622,simple,7955,Danio rerio,GSM1808908,GEO,SRA275803,07,2018,Makar,Whole embryos,2012-07-26_Dome,Whole embryos,256 cells,TL/AB,GSM1808906
