Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,GEO Accession
SRR2188086,98760826,3555389736,36,2257,SRX1166328,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046668,SAMN04014717,simple,5691,Trypanosoma brucei,GSM1862950,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_1 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862950
SRR2188087,86223360,3104040960,36,1906,SRX1166329,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046667,SAMN04014718,simple,5691,Trypanosoma brucei,GSM1862951,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_2 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862951
SRR2188088,64636189,2326902804,36,1382,SRX1166330,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046665,SAMN04014719,simple,5691,Trypanosoma brucei,GSM1862952,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_3 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862952
SRR2188089,68616219,2470183884,36,1464,SRX1166331,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046666,SAMN04014720,simple,5691,Trypanosoma brucei,GSM1862953,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_1 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862953
SRR2188090,45749193,1646970948,36,949,SRX1166332,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046664,SAMN04014721,simple,5691,Trypanosoma brucei,GSM1862954,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_2 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862954
SRR2188091,48551383,1747849788,36,1002,SRX1166333,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046663,SAMN04014722,simple,5691,Trypanosoma brucei,GSM1862955,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_3 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862955
SRR2188092,86171690,3102180840,36,1935,SRX1166334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046662,SAMN04014723,simple,5691,Trypanosoma brucei,GSM1862956,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_1 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862956
SRR2188093,38236277,1376505972,36,886,SRX1166335,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046661,SAMN04014724,simple,5691,Trypanosoma brucei,GSM1862957,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_2 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862957
SRR2188094,69724475,2510081100,36,1488,SRX1166336,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046660,SAMN04014725,simple,5691,Trypanosoma brucei,GSM1862958,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_3 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862958
SRR2188095,99555799,3584008764,36,2329,SRX1166337,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046659,SAMN04014726,simple,5691,Trypanosoma brucei,GSM1862959,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF mRNA replicate_1 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862959
