Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,strain,sex,tissue,cell_line,treatment,BioSampleModel
SRR2442876,8186008,417486408,51,264,SRX1257802,Control_1_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442877,8345279,425609229,51,271,SRX1257803,Control_1_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442878,15234108,776939508,51,496,SRX1257804,Starv_C1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442879,15537188,792396588,51,508,SRX1257805,Starv_C2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442880,5427889,276822339,51,178,SRX1257806,Starv_C1_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442881,5456591,278286141,51,179,SRX1257807,Starv_C2_sRNA,miRNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442882,16759139,854716089,51,562,SRX1257808,Starv_C1_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442883,16612366,847230666,51,551,SRX1257809,Starv_C2_ribo,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073449,SAMN04095714,simple,7227,Drosophila melanogaster,S2_Control,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells cultured in regular serum-containing medium,Oregon R,NA,NA,NA,S2,cultured in conventional medium containing 10% heat-inactivated fetal bovine serum,Model organism or animal
SRR2442884,13750451,701273001,51,446,SRX1257810,Asp20_1_1_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
SRR2442885,13678151,697585701,51,442,SRX1257811,Asp20_1_2_mRNA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP063822,PRJNA295955,1,"",SRS1073451,SAMN04095715,simple,7227,Drosophila melanogaster,S2_tsR-Asp20,Peking University,SRA299317,10,2016,Makar,"",Drosophila S2 cells transfected with  tsRNA-Asp20,Oregon R,NA,NA,NA,S2,transfected with 100nM tsRNA-Asp20,Model organism or animal
