Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,ip antibody,GEO Accession
SRR2518205,70654801,6005658085,85,2682,SRX1287937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090269,SAMN04112935,simple,10090,Mus musculus,GSM1891620,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (3xFLAG-Rpl10a cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of 3xFLAG-Rpl10a at endogeneous locus,none,GSM1891620
SRR2518206,65951935,5605914475,85,2493,SRX1287938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090268,SAMN04112936,simple,10090,Mus musculus,GSM1891621,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (3xFLAG-Rpl10a cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of 3xFLAG-Rpl10a at endogeneous locus,none,GSM1891621
SRR2518207,135959467,10332919492,76,4548,SRX1287939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090267,SAMN04112937,simple,10090,Mus musculus,GSM1891622,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPL10A-Ribo-Seq (3xFLAG-Rpl10a cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of 3xFLAG-Rpl10a at endogeneous locus,"anti-FLAG M2 magnetic beads (Sigma, Catalog# M8823, Lot# SLBL1128V)",GSM1891622
SRR2518208,138062582,10492756232,76,4780,SRX1287940,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090266,SAMN04112930,simple,10090,Mus musculus,GSM1891623,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPL10A-Ribo-Seq (3xFLAG-Rpl10a cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of 3xFLAG-Rpl10a at endogeneous locus,"anti-FLAG M2 magnetic beads (Sigma, Catalog# M8823, Lot# SLBL1128V)",GSM1891623
SRR2518209,66623108,5662964180,85,2526,SRX1287941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090265,SAMN04112931,simple,10090,Mus musculus,GSM1891624,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (Rps25-3xFLAG cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rps25-3xFLAG at endogeneous locus,none,GSM1891624
SRR2518210,59972999,5097704915,85,2269,SRX1287942,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090264,SAMN04112932,simple,10090,Mus musculus,GSM1891625,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (Rps25-3xFLAG cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rps25-3xFLAG at endogeneous locus,none,GSM1891625
SRR2518211,166225802,12633160952,76,5751,SRX1287943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090263,SAMN04112933,simple,10090,Mus musculus,GSM1891626,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPS25-Ribo-Seq (Rps25-3xFLAG cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rps25-3xFLAG at endogeneous locus,"anti-FLAG M2 magnetic beads (Sigma, Catalog# M8823, Lot# SLBL1128V)",GSM1891626
SRR2518212,147724635,11227072260,76,4824,SRX1287944,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS1090262,SAMN04112934,simple,10090,Mus musculus,GSM1891627,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPS25-Ribo-Seq (Rps25-3xFLAG cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rps25-3xFLAG at endogeneous locus,"anti-FLAG M2 magnetic beads (Sigma, Catalog# M8823, Lot# SLBL1128V)",GSM1891627
SRR5453819,110026413,9462271518,86,3803,SRX2741985,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128586,SAMN06759988,simple,10090,Mus musculus,GSM2579679,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (RPL22-3xHA cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rpl22-3xHA at endogeneous locus,"anti-HA antibody (Abcam , catalog # ab9110)",GSM2579679
SRR5453820,124471436,10704543496,86,4317,SRX2741986,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128587,SAMN06759987,simple,10090,Mus musculus,GSM2579680,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Total Ribo-Seq (RPL22-3xHA cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rpl22-3xHA at endogeneous locus,"anti-HA antibody (Abcam , catalog # ab9110)",GSM2579680
