Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell cycle phase,molecule subtype,GEO Accession
SRR2536828,53809448,2744281848,51,1343,SRX1295642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094449,SAMN04122423,simple,9606,Homo sapiens,GSM1898006,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep1,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898006
SRR2536829,43152364,2200770564,51,1100,SRX1295643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094447,SAMN04122424,simple,9606,Homo sapiens,GSM1898007,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep2,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898007
SRR2536830,16000000,8.16e+08,51,405,SRX1295644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094448,SAMN04122425,simple,9606,Homo sapiens,GSM1898008,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep3,HeLa S3_M_RNA-Seq Exp1,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898008
SRR2536831,16000000,8.16e+08,51,402,SRX1295644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094448,SAMN04122425,simple,9606,Homo sapiens,GSM1898008,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep3,HeLa S3_M_RNA-Seq Exp2,HeLa S3 cells,M phase,Total mRNA (RNA-seq),GSM1898009
SRR2536832,16000000,8.16e+08,51,397,SRX1295644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094448,SAMN04122425,simple,9606,Homo sapiens,GSM1898008,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep3,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898010
SRR2536833,2561824,130653024,51,67,SRX1295644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094448,SAMN04122425,simple,9606,Homo sapiens,GSM1898008,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp1,M RNA-Seq Exp1 Rep3,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898011
SRR2536834,16000000,8.16e+08,51,388,SRX1295645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094435,SAMN04122426,simple,9606,Homo sapiens,GSM1898009,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp2,M RNA-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp1,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898012
SRR2536835,16000000,8.16e+08,51,390,SRX1295645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094435,SAMN04122426,simple,9606,Homo sapiens,GSM1898009,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp2,M RNA-Seq Exp2 Rep1,HeLa S3_M_Ribo-Seq Exp2,HeLa S3 cells,M phase,ribosome-protected fragments (Ribo-seq),GSM1898013
SRR2536836,16000000,8.16e+08,51,388,SRX1295645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094435,SAMN04122426,simple,9606,Homo sapiens,GSM1898009,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp2,M RNA-Seq Exp2 Rep1,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898014
SRR2536837,7088124,361494324,51,175,SRX1295645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064313,PRJNA297338,1,"",SRS1094435,SAMN04122426,simple,9606,Homo sapiens,GSM1898009,GEO,SRA302029,09,2016,Makar,HeLa S3_M_RNA-Seq Exp2,M RNA-Seq Exp2 Rep1,HeLa S3_G1_RNA-Seq Exp1,HeLa S3 cells,G1 phase,Total mRNA (RNA-seq),GSM1898015
