Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,GEO Accession
SRR2829316,64253386,3212669300,50,1526,SRX1387628,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135992,SAMN04217699,simple,4932,Saccharomyces cerevisiae,GSM1919464,GEO,SRA307391,08,2016,Chartron,Yeast,"Soluble polysomes, replicate 1",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919464
SRR2829317,69015077,3450753850,50,1644,SRX1387629,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135991,SAMN04217700,simple,4932,Saccharomyces cerevisiae,GSM1919465,GEO,SRA307391,08,2016,Chartron,Yeast,"Soluble monosomes, replicate 1",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919465
SRR2829318,58702247,2935112350,50,1395,SRX1387630,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135990,SAMN04217701,simple,4932,Saccharomyces cerevisiae,GSM1919466,GEO,SRA307391,08,2016,Chartron,Yeast,"Membrane polysomes, replicate 1",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919466
SRR2829319,54436365,2721818250,50,1295,SRX1387631,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135989,SAMN04217702,simple,4932,Saccharomyces cerevisiae,GSM1919467,GEO,SRA307391,08,2016,Chartron,Yeast,"SRP72-bound polysomes, replicate 1",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919467
SRR2829320,63066754,3153337700,50,1508,SRX1387632,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135988,SAMN04217703,simple,4932,Saccharomyces cerevisiae,GSM1919468,GEO,SRA307391,08,2016,Chartron,Yeast,"SRP72-bound monosomes, replicate 1",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919468
SRR2829321,47373837,2368691850,50,1137,SRX1387633,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135987,SAMN04217704,simple,4932,Saccharomyces cerevisiae,GSM1919469,GEO,SRA307391,08,2016,Chartron,Yeast,"Soluble polysomes, replicate 2",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919469
SRR2829322,40688220,2034411000,50,979,SRX1387634,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135986,SAMN04217705,simple,4932,Saccharomyces cerevisiae,GSM1919470,GEO,SRA307391,08,2016,Chartron,Yeast,"Soluble monosomes, replicate 2",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919470
SRR2829323,43006606,2150330300,50,1028,SRX1387635,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135985,SAMN04217706,simple,4932,Saccharomyces cerevisiae,GSM1919471,GEO,SRA307391,08,2016,Chartron,Yeast,"Membrane polysomes, replicate 2",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919471
SRR2829324,35282582,1764129100,50,844,SRX1387636,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135984,SAMN04217707,simple,4932,Saccharomyces cerevisiae,GSM1919472,GEO,SRA307391,08,2016,Chartron,Yeast,"SRP72-bound polysomes, replicate 2",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919472
SRR2829325,43859396,2192969800,50,1055,SRX1387637,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065322,PRJNA300274,27487213,"",SRS1135983,SAMN04217708,simple,4932,Saccharomyces cerevisiae,GSM1919473,GEO,SRA307391,08,2016,Chartron,Yeast,"SRP72-bound monosomes, replicate 2",Yeast,BY4741,srp72::SRP72-TAP-HIS3MX,,GSM1919473
