Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,agent,GEO Accession
SRR2873530,27281176,1773276440,65,910,SRX1402243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141530,SAMN04226644,simple,9606,Homo sapiens,GSM1921989,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 control batch1 RP,PC3 cell line,PC3,none,GSM1921989
SRR2873531,27362945,1778591425,65,918,SRX1402243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141530,SAMN04226644,simple,9606,Homo sapiens,GSM1921989,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 control batch1 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921990
SRR2873532,33723715,2192041475,65,1125,SRX1402244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141529,SAMN04226645,simple,9606,Homo sapiens,GSM1921990,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase batch1 RP,PC3 cell line,PC3,none,GSM1921991
SRR2873533,33890338,2202871970,65,1136,SRX1402244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141529,SAMN04226645,simple,9606,Homo sapiens,GSM1921990,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase batch1 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921992
SRR2873534,36340467,2362130355,65,1327,SRX1402245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141527,SAMN04226646,simple,9606,Homo sapiens,GSM1921991,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 control batch2 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921993
SRR2873535,36505188,2372837220,65,1335,SRX1402245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141527,SAMN04226646,simple,9606,Homo sapiens,GSM1921991,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 control batch2 RP,PC3 cell line,PC3,none,GSM1921989
SRR2873536,38036091,2472345915,65,1379,SRX1402246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141528,SAMN04226647,simple,9606,Homo sapiens,GSM1921992,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase 1 batch2 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921990
SRR2873537,38271664,2487658160,65,1389,SRX1402246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141528,SAMN04226647,simple,9606,Homo sapiens,GSM1921992,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase 1 batch2 RP,PC3 cell line,PC3,none,GSM1921991
SRR2873538,32374675,2104353875,65,1169,SRX1402247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141526,SAMN04226648,simple,9606,Homo sapiens,GSM1921993,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase 2 batch2 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921992
SRR2873539,32339375,2102059375,65,1171,SRX1402247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP065528,PRJNA300627,26878238,"",SRS1141526,SAMN04226648,simple,9606,Homo sapiens,GSM1921993,GEO,SRA308231,02,2016,Loayza-Puch,PC3 cell line,PC3 ASNase 2 batch2 RP,PC3 cell line,PC3,L-Asparaginase,GSM1921993
